报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,
基本每股收益(元),0.13,0.09,0.04,0.18,0.13,0.06,0.03,--,0.11,0.05,0.04,0.17,0.11,0.07,0.05,0.19,0.13,0.09,0.03,0.14,0.09,0.05,0.03,0.16,0.08,0.06,0.04,0.14,0.08,0.12,0.06,0.34,0.19,0.14,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.83,--,2.73,2.69,2.76,2.72,2.66,2.61,2.63,1.93,1.88,1.87,1.94,1.9,1.87,1.93,1.92,1.88,1.81,2.37,2.31,2.25,2.13,2.19,2.11,2.08,2.01,1.98,2.07,2.03,2,2.97,2.89,2.8,2.78,2.71,3.57,3.44,3.35,3.44,3.36,3.25,3.3,3.23,3.12,3.03,3.22,3.03,2.99,2.61,2.69,2.49,2.34,1.73,1.79,3.23,2.64,2.7,2.83,3.17,2.43,3.56,1.98,1.77,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.07,--,0.23,0.1,0.02,0.51,0.26,0.18,0.06,0.44,0.34,0.26,0.08,0.38,0.29,0.18,0.06,0.46,0.38,0.37,0.18,1.03,0.86,0.44,0.05,0.56,0,--,0,0.1,0,0,0,0.24,0,0,0,1.48,0,0,0,0.92,0,0.54,--,0.89,0.4,0.89,0.3,0.94,0.41,0.68,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),317372,204167,104165,455568,316129,187915,93412,405526,291940,188475,88921,381395,278093,177847,88483,370504,270747,174275,84877,157594,113690,76293,34147,130053,94344,60393,29191,139973,103494,71867,37136,191940,102920,67626,35788,128755,91353,59350,28867,122676,92726,58312,28322,112528,84481,54444,27505,110987,84074,54243,26304,100858,73592,48332,25069,84357,31916,60668,29221,51279,24648,39206,19844,30616,20114,16152,--,15057,7371,7511,3269,2624,916,--,
主营业务利润(万元),46257,30779,16885,70629,49090,214131,13521,61781,45320,29792,13602,62406,50634,32760,16158,67904,50835,35370,16739,38836,27068,18491,8561,31802,30440,20791,9929,39359,36608,27094,11017,49658,29338,19663,--,36642,24564,16741,8407,34706,25059,17328,8829,33110,24669,16782,8302,31305,23739,15623,8049,29659,22375,14842,7480,25277,11951,20089,10356,20419,10609,15455,8614,7271,4476,3981,--,3813,1932,2413,1145,1101,420,--,
营业利润(万元),17617,12177,7768,27942,18727,8533,3882,19651,13899,10180,5024,26052,19528,12495,7020,23594,21831,15057,5628,17771,11626,7511,3961,18064,12040,8839,4928,12775,8295,10636,4202,31626,18863,13274,5616,15187,9156,6434,3513,16269,11844,8912,4651,15822,12661,8588,4982,14667,10891,7125,4148,13432,10644,7248,3768,9492,4866,8452,4463,9689,5934,10319,5934,7748,0,4439,--,3846,0,0,1216,1286,447,--,
投资收益(万元),1309,976,189,2697,2053,1316,245,2863,2092,1539,1152,13571,2728,2251,2008,4763,3409,1380,813,785,953,256,762,1272,2051,1809,867,6883,281,2643,81,9042,5822,3678,1483,2867,1572,1388,-55,-728,475,729,421,1977,1098,854,688,807,956,949,405,1399,1154,705,437,4290,3856,2553,1747,616,350,496,199,649,642,870,--,25,7,433,7,112,9,--,
营业外收支净额(万元),3621,2119,-181,2484,2284,680,419,6412,4249,-261,327,465,-1218,-971,-28,7954,-243,-663,-132,-1156,-700,-478,-380,140,-1172,-1047,-453,4099,--,--,--,-2128,--,--,--,-1319,0,--,0,-2744,0,0,0,-1582,0,-657,0,-365,-303,-281,-115,-482,0,-367,0,-1039,0,-430,0,-99,0,0,0,0,-180,0,--,0,-94,-267,0,0,--,--,
利润总额(万元),21238,14296,7587,30426,21011,9213,4301,26062,18147,9920,5351,26517,18310,11524,6992,31548,21587,14394,5497,16615,10926,7033,3581,18204,10868,7792,4475,16874,8879,11132,4208,29498,15384,11316,5095,18875,10813,8043,3795,15837,11877,9611,5209,18995,14220,10047,5964,18125,12871,8705,4812,17019,11908,7866,3830,12971,8868,10575,5943,10206,6338,10728,6029,9072,4969,4875,--,3573,1889,2701,1202,1398,456,--,
净利润(万元),13596,8989,4171,18711,13223,6192,3082,17005,12010,5597,4113,18286,12028,7676,4780,20469,14206,9143,3626,11014,7456,4367,2806,13042,6430,4572,3520,11617,6753,7351,3870,21301,11773,9020,3807,11517,8000,6342,2667,10715,8960,7357,3784,12472,9947,6711,3954,11309,8680,5876,3342,11183,8217,6039,2712,10353,7052,9231,5079,8969,5652,9778,5486,7624,4190,4146,--,3040,1607,2296,1023,1190,388,--,
