报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.05,0.13,0.04,0.69,0.72,0.72,0.07,0.14,0.09,0.09,0.09,0.86,0.86,0.77,1.05,0.58,0.15,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,7.26,7.57,7.54,4.7,3.83,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.13,--,0.09,0.22,1.58,0.95,0.23,
主营业务收入(万元),202528,135848,48832,218570,145393,91647,39243,160266,107801,64838,33555,173777,138820,104550,189997,142742,84437,
主营业务利润(万元),40968,27897,9792,43924,26756,16929,8742,28525,17625,13400,8482,62336,54425,43403,267518,45712,104083,
营业利润(万元),19298,16031,4378,67873,69763,67709,3374,7034,4656,4652,4748,38422,37357,31342,48495,19289,4654,
投资收益(万元),3225,2757,1653,66312,65742,65242,1552,3173,2100,1428,655,2738,2100,1502,1581,2156,--,
营业外收支净额(万元),94,48,32,71,39,23,0,15,5,5,5,556,--,--,-0,624,222,
利润总额(万元),19392,16079,4410,67944,69802,67732,3374,7049,4661,4657,4753,38978,37357,31342,48495,19913,4876,
净利润(万元),16527,13665,3825,67176,69281,67330,3105,6444,4204,4134,4101,33489,32038,26863,36628,17280,4416,
净利润(扣除非经常性损益后)(万元),15959,13170,3798,3738,5870,3933,3105,5935,4079,4010,--,32928,--,26863,36586,15648,4294,
经营活动产生的现金流量净额(万元),8635,18557,1543,20467,11787,6486,22864,-40748,-26994,-17043,-5734,13496,4259,7764,55256,33077,6897,
现金及现金等价物净增加额(万元),15914,75350,-7690,-14537,-18936,-1611,6221,-106700,-75827,-86284,-48074,99366,123830,-20667,24648,-23259,1536,
总资产(万元),1007542,1030647,930115,913219,876465,881356,562731,558243,547405,520856,494597,504643,525600,366519,368219,311881,316710,
流动资产(万元),213164,271152,186344,178433,196623,224574,195758,213440,226483,221770,200597,235377,260070,98537,92283,72715,72664,
总负债(万元),386065,411876,450888,438009,399127,404030,230586,229226,220638,194147,165400,164172,186461,201891,234130,214419,242948,
流动负债(万元),292187,313004,348465,335091,329969,330879,180989,148651,140151,123592,121089,89598,98461,110891,111830,114419,129454,
股东权益不含少数股东权益(万元),621476,618771,479227,475209,477338,477326,332144,329017,326767,326708,326623,340471,339139,164628,134089,97462,64807,
净资产收益率加权(%),3.06,2.72,0.8,16.17,16.98,17.28,0.94,1.94,1.26,1.23,1.22,14.89,16.74,17.77,31.64,23.53,7.05,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
