报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,1991-12-31,1991-06-30,1990-12-31,1990-06-30,
基本每股收益(元),0.01,0.03,0.05,-0.23,-0.17,-0.09,-0.03,0.01,0.01,0.01,0.01,0.35,0.04,0.03,0.01,0.04,0.01,0.03,0,0.04,0.02,0.02,0,0.04,0.08,0.03,0,0.07,0.13,0.05,0.02,0.07,0.03,0.04,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,1.85,--,1.76,1.75,1.74,1.71,1.75,1.77,1.74,1.72,1.69,1.7,1.7,1.65,1.7,1.63,1.85,1.85,1.85,1.77,2.26,2.32,2.21,2.22,2.21,2.14,2.12,2.11,2.12,2.11,2.1,2.07,2.04,2.01,1.95,1.94,1.96,1.91,1.85,1.8,1.67,2.12,2.09,2.06,2.05,2.02,2.01,1.97,2.41,1.01,1.94,1.82,1.72,2.06,1.95,1.75,2.48,2.41,2.39,2.77,2.61,4.88,4.68,6.78,5.23,4.9,1.54,1.7,1.27,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.14,--,0.26,0.53,0.4,0.5,0.75,0.34,0.14,0.96,0.89,0.37,0,-0.05,-0.6,-0.69,-0.37,0.5,0.35,0.41,0.4,0.89,0.69,-0.68,0.1,0.99,0,--,0,0.79,0,0,0,0.63,0,0,0,1,0,0,0,0.82,0,-0.74,--,0.17,0.08,-0.1,-0.13,0.35,0.09,-0.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),124776,92469,49346,167524,119882,80046,42640,185781,139095,98227,54300,212960,160532,105810,52642,211525,151711,102607,47330,191553,136076,89051,40914,187115,139601,87368,40542,214508,163426,99092,42643,155199,107476,72164,36731,151013,112030,73951,33172,147734,108054,73290,40171,163747,110515,76886,38883,151909,114434,70753,30262,47936,28928,18308,6915,28229,12809,31736,12071,27593,10010,15340,1907,17343,7621,5147,1258,5034,3296,6071,1634,1789,401,365,121,296,116,191,89,
主营业务利润(万元),39940,31612,15403,38985,24174,15229,9620,56485,46425,28558,13943,74509,59050,39088,18397,78811,53014,35598,17395,78569,50621,31918,15679,65426,51854,29539,14325,97436,56597,33133,14802,52518,32442,21862,--,47259,32397,23782,11319,52433,37503,24783,13959,51964,33122,25612,13258,47663,34299,23342,11901,14410,8399,5555,2402,9502,6425,7440,2728,5198,2793,4408,237,-843,95,-59,-93,244,142,344,141,152,55,1,4,38,4,29,2,
营业利润(万元),-6726,-1878,4025,-24332,-16207,-9214,-2721,-1587,1055,816,1408,20485,7700,7001,2859,8378,5534,6343,2815,10571,6153,4250,2440,9258,14177,5599,1734,21476,31545,11284,4191,9020,7577,6012,4295,11185,8905,7718,3413,16800,12297,8103,4110,23456,12277,10897,6778,18826,12498,7436,4093,4336,2812,1590,644,3069,3279,3113,420,-535,561,646,-666,-73,0,-4,0,434,0,0,143,182,55,3,4,21,4,15,2,
投资收益(万元),1912,1901,1966,1705,1717,1718,-7,3734,1770,1770,--,24023,351,816,-409,302,524,807,-435,1075,1229,1193,-363,626,-1094,201,-675,-471,9198,-8,-11,3715,466,402,-9,-523,-1298,-1158,-30,-992,-597,-453,-249,-1287,-853,-626,-323,-264,392,96,-203,304,425,425,519,-397,-590,4502,802,2908,1136,2389,806,2843,1027,2001,534,1112,490,978,234,373,249,145,0,0,0,0,0,
营业外收支净额(万元),293,401,72,2223,181,-280,-309,2687,-321,-285,247,3640,2444,55,108,3186,-191,-45,-28,-26,3,24,34,73,269,-51,-31,668,--,--,--,--,--,--,--,-5,0,--,0,-711,0,0,0,116,169,0,0,-224,-86,-90,-8,-23,-26,-24,0,11,-4,34,0,-175,0,0,0,0,3,0,30,0,28,0,0,0,--,0,--,--,--,--,--,
利润总额(万元),-6433,-1476,4097,-22110,-16026,-9494,-3030,1100,734,531,1655,24125,10144,7056,2968,11564,5343,6298,2786,10545,6157,4274,2474,9331,14446,5548,1703,22145,31536,11255,4166,9351,6795,6181,4509,10668,8086,6469,3333,15261,11772,7721,3948,22512,11753,10253,6444,18827,13724,7748,3998,4712,3285,1996,1199,3237,2699,7678,1313,2200,1690,3067,128,2762,1377,1984,522,1567,672,1365,351,536,246,150,80,11,3,6,1,
净利润(万元),659,2309,4028,-13729,-9524,-5246,-1918,447,456,388,316,19758,2146,1835,302,2259,372,1650,234,2235,1191,1178,218,2476,4302,1858,105,3390,6537,2625,712,2556,1069,1522,1318,1221,417,328,675,3861,3766,2633,1212,5845,3719,3083,1966,7055,4961,2940,1824,3864,2580,1527,974,2567,1912,6722,1096,2541,1456,2315,113,2087,992,1780,478,1399,586,1183,316,421,209,128,53,1,3,4,1,
