报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
基本每股收益(元),-0.15,-0.09,-0.05,0.02,-0.1,-0.09,-0.03,-0.64,-0.32,-0.14,-0.05,-0.16,-0.09,-0.06,-0.03,0.07,0.05,0.04,0.03,0.17,0.07,0.05,0.02,0.18,0.16,0.12,0.03,0.21,0.13,0.1,0.02,0.39,0.21,0.15,--,0.14,0.09,0.5,0.49,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,1.76,1.78,1.86,1.89,1.88,1.86,3.78,3.74,3.64,3.62,2.78,2.76,2.73,2.7,2.7,2.68,2.59,2.56,3.71,3.79,3.63,2.24,2.34,--,--,2.07,1.88,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.08,-0.2,-0.16,0.07,-0.07,-0.22,-0.12,0.13,0.19,-0.16,-0.16,0.28,0.08,-0.16,-0.08,0.17,0.07,-0.24,-0.14,0.18,-0.1,0,0.42,--,--,0.06,0.31,
主营业务收入(万元),314068,208544,112652,461657,319816,193984,94994,385984,253185,159076,81690,329263,229330,140431,60063,288985,205760,133047,61662,232995,150419,82772,36150,168516,109157,68684,30225,139668,100292,66130,27676,105001,69972,43317,80298,51889,30651,70710,65342,
主营业务利润(万元),19123,15104,6664,32580,22471,15243,8050,19905,15630,11257,5544,26057,18111,10822,5260,44730,33153,22910,10787,32663,17365,11315,4641,19682,13716,8828,3284,18335,11686,7985,3028,14882,10355,6841,12283,7028,4801,10621,10911,
营业利润(万元),-31393,-18744,-9498,-25213,-25248,-16201,-4726,-52113,-29287,-17329,-7301,-19719,-10774,-7465,-3700,8995,7221,5818,2818,9968,4877,2976,420,4953,3814,2908,617,4782,3243,2376,303,5246,2834,1970,4634,1627,1061,3795,3746,
投资收益(万元),-163,-83,-55,11348,147,122,-83,525,171,91,--,239,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
营业外收支净额(万元),1251,723,439,12523,7716,1002,293,806,575,465,716,-47,219,121,60,543,410,255,194,391,149,112,95,200,146,91,-0,478,--,--,--,157,--,--,4,2,1,11,5,
利润总额(万元),-30142,-18021,-9059,-12689,-17532,-15199,-4433,-51307,-28711,-16864,-6585,-19765,-10554,-7344,-3640,9538,7631,6073,3012,10359,5026,3087,515,5153,3960,2998,617,5260,3355,2490,343,5403,2887,1952,4639,1629,1062,3806,3751,
净利润(万元),-12099,-6948,-3718,1907,-7913,-6957,-2152,-51174,-26111,-11483,-4395,-13049,-6864,-4781,-2503,5888,4391,3298,1400,6426,2989,2160,374,3762,3191,2444,536,4385,2727,2079,326,4458,2240,1501,3863,1383,813,3518,3409,
净利润(扣除非经常性损益后)(万元),-12643,-7250,-3903,-14086,-11124,-7394,-2276,-51616,-26504,-11800,-5022,-12885,--,-4872,--,5510,--,3106,--,6115,--,2074,--,3609,--,1922,0,3993,0,1965,0,3848,0,0,3883,--,--,--,--,
