报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.34,0.26,0.06,0.38,0.34,0.5,0.1,0.51,0.43,0.3,0.02,1.14,0.78,0.51,0.79,0.66,0.48,
每股净资产(元),3.55,3.46,3.33,3.27,3.23,6.28,5.52,4.37,4.3,4.17,5.98,5.96,5.61,3.57,3.07,2.28,2.75,
每股经营活动产生的现金流量净额(元),-0.23,-0.53,-0.41,-0.15,-0.81,-1.25,-0.53,-0.94,-0.9,-0.52,-0.33,-0.75,-1.02,-0.82,0.23,-0.31,-0.72,
主营业务收入(万元),134522,90056,25432,162614,124858,84346,17966,74706,52212,34807,3973,62800,53160,31147,49980,36706,24565,
主营业务利润(万元),40803,27950,7893,45810,35299,23813,5680,25126,18446,11384,1316,20078,15690,8638,14341,10578,4653,
营业利润(万元),18289,13764,3619,21277,17080,12518,2903,11456,10215,7189,326,11974,9250,5461,9421,7337,2958,
投资收益(万元),39,-23,-18,-20,-3,--,--,--,--,--,--,--,--,--,--,-3,-23,
营业外收支净额(万元),839,557,263,1201,1077,950,241,582,47,-42,46,2302,1446,1481,1426,1409,1576,
利润总额(万元),19128,14320,3882,22478,18157,13468,3144,12038,10261,7147,372,14276,10695,6942,10847,8746,4533,
净利润(万元),14984,11257,2645,16677,14593,10751,2186,10410,8753,6131,327,12725,7994,5187,8151,6545,3288,
净利润(扣除非经常性损益后)(万元),--,10859,--,15706,--,10113,--,10199,8758,6162,--,9540,--,4076,7086,5497,2106,
经营活动产生的现金流量净额(万元),-10127,-23314,-17899,-6402,-35625,-27497,-11354,-19303,-18529,-10613,-4474,-10274,-13955,-8414,2313,-3185,-3174,
现金及现金等价物净增加额(万元),-24588,-25313,-30355,9899,-4081,-9570,1449,-10466,-19763,-11577,-5333,24465,26767,-9422,8198,1605,1580,
总资产(万元),401174,384316,332638,350539,334946,297082,252910,177242,157855,148509,125305,132223,138066,83448,70158,43562,28307,
流动资产(万元),319736,308215,261553,282520,273385,245407,207633,153737,134596,134447,114424,121420,129861,76688,64367,40258,26975,
总负债(万元),229615,216767,171112,192060,179387,145494,120988,83642,69309,62548,43038,50250,60783,46323,38223,19869,16128,
流动负债(万元),215580,196385,153625,175155,155207,143260,119616,82584,68726,61950,42247,49539,60018,45881,38181,19842,16128,
股东权益不含少数股东权益(万元),156250,152523,146778,144133,142050,138207,118673,89887,88281,85659,81911,81583,76852,36684,31497,23346,12180,
净资产收益率加权(%),9.94,7.52,1.82,12.81,11.46,8.84,2.01,12.16,10.06,7.33,0.4,26.96,22.52,15.22,29.72,37.66,55.46,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
