报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),-0.24,-0.1,-0.03,0.05,0.05,0.04,0.04,0.5,0.47,0.38,0.45,1.5,1.28,0.94,0.44,1.56,1.39,-0.04,-0.05,0.04,0,0.03,0,0.17,0.14,0.07,0.03,0.1,0.08,0.04,0.02,0.05,0.01,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,8.9,--,6.48,6.22,5.66,5.83,6.22,2.46,2.46,2.51,2.38,2.41,2.4,2.4,2.37,2.29,2.25,2.22,2.2,2.16,2.11,2.09,2.05,2.04,2.04,2.03,2.01,2.03,2.06,2.05,2.04,2.05,2.03,2.02,2,3.58,3.52,3.51,3.46,1.25,0,1.13,1.64,1.14,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.08,--,0.59,0.33,0.54,2.08,1.57,-0.12,-0.12,0.33,0.08,0,-0.02,0.37,0.11,0.07,-0.15,0.71,0.11,-0.18,-0.32,0.39,0.22,0.01,0.07,-0.35,0,0,0,0.1,0,0,0,0.13,0,0,0,0.07,0,0.2,0,0.78,0,0.43,
主营业务收入(万元),392137,287340,175269,748084,686423,432460,207232,1116584,905421,606693,303533,1279928,751692,537884,261371,950221,733115,0,0,24290,22309,15394,7384,32313,24743,15545,9318,30540,24286,17535,9850,19855,13015,7083,2538,21598,14107,8526,4891,24144,18780,13676,5553,26159,19277,16048,6720,17342,9415,6387,2187,10048,10005,5869,
主营业务利润(万元),21904,29158,20205,169845,127104,94882,58330,309592,248694,183101,104220,395025,241754,174642,81216,324248,265037,0,0,9568,10136,7872,4288,14863,11731,6804,3963,12412,9236,5712,3066,7555,5031,2344,--,4226,3089,2195,883,3849,2695,1947,866,3645,2599,1955,638,3926,2354,1404,501,3704,4126,2909,
营业利润(万元),-58012,-22752,-5137,29221,24254,19651,15467,166042,147208,117373,70292,239856,154498,114156,52354,189836,170097,-569,-588,1497,1773,2155,431,6053,5988,3132,2015,4773,3698,2124,1159,2639,1882,549,114,1121,778,739,244,886,673,643,326,996,673,452,-74,1439,923,572,45,1834,1648,1385,
投资收益(万元),-4508,-3023,-1427,-2211,-608,706,137,2325,577,401,303,-491,--,--,--,0,0,--,--,2283,--,0,0,0,0,0,--,--,6,6,--,50,51,7,7,75,-69,-56,0,58,38,53,0,0,0,0,0,0,-0,-0,0,0,26,39,
营业外收支净额(万元),-10475,-6768,-3822,-13728,-209,-163,-34,1304,749,763,39,465,346,-165,-104,-924,-543,0,0,612,185,191,200,617,392,388,-8,29,--,--,--,--,--,--,--,-7,0,0,0,-2,0,0,0,-1,0,0,0,-19,0,0,0,0,0,0,
利润总额(万元),-68486,-29520,-8959,15493,24045,19488,15433,167346,147957,118136,70332,240321,154844,113992,52250,188911,169554,-569,-588,2109,1958,2346,632,6671,6381,3520,2007,4802,3795,2161,1198,2617,1879,545,115,1223,776,703,259,980,717,695,328,1029,697,473,-64,1465,920,570,53,1685,1675,1421,
净利润(万元),-57992,-23233,-6670,11057,12653,10464,9845,119363,112119,89819,54078,178855,106819,78085,36470,128254,115881,-569,-588,509,40,367,9,2190,1845,837,364,1298,978,479,261,584,128,7,5,506,181,291,117,457,323,411,209,840,609,454,18,1184,783,492,17,1392,1362,1438,
净利润(扣除非经常性损益后)(万元),-47382,-16466,-2855,19478,12799,10584,9867,120948,111454,89166,--,123925,--,78194,--,130796,--,-569,--,-1286,--,280,--,1989,0,700,0,1303,0,445,--,583,0,-10,--,401,0,274,0,409,0,411,0,754,0,377,0,1133,0,0,0,0,0,0,
经营活动产生的现金流量净额(万元),-39802,-35973,-13128,9779,39335,1803,12994,73042,83503,49694,-9832,406418,49147,27490,45328,173495,130785,-1524,-1543,4264,1031,45,-289,4695,1416,930,-1933,9094,1403,-2250,-4108,5015,2816,110,845,-4416,-8921,-4090,-4106,1308,-11741,210,-668,1637,339,134,448,502,-399,828,0,3199,0,0,
现金及现金等价物净增加额(万元),-13840,14709,85786,-30808,59171,19043,-18740,-281646,-185134,-78294,-32150,185922,-128148,-120644,-8071,78487,34271,-1524,-1543,-1518,934,387,-528,5445,2283,1259,-1998,8356,848,-2566,-4270,3490,2081,-563,588,-14884,-16082,-12345,-13425,7278,-9917,817,715,2522,-629,-611,-1204,18366,18257,590,0,3682,0,0,
总资产(万元),1625814,1651796,1743062,1618328,1632624,1604442,1577721,1543494,1661362,1651202,1674047,1654629,1059444,1026443,1075947,1047481,1113716,32009,31991,36022,53683,52924,51146,48338,47434,47387,44947,41198,38793,40002,40735,34191,32578,29743,30698,29630,37281,37833,37222,41533,37859,41209,44528,40079,39183,36042,37485,32167,30935,10497,0,10228,7574,5304,
流动资产(万元),559964,604534,704402,587933,624842,613264,605359,581726,648731,746443,785979,770817,397924,388203,455831,439670,497623,32009,31991,36022,50712,49948,48265,45399,44417,44331,41916,38121,35502,36613,37335,30905,30642,27775,28350,28145,35437,36198,35527,39852,36293,39592,43046,38574,37283,34078,35424,30119,29141,9610,0,9468,6740,4372,
总负债(万元),683725,671942,736211,603834,575797,536922,482790,473917,560338,566872,578630,623488,467691,457743,557080,516092,548871,607,607,4050,14060,12919,12661,10344,6818,9212,8050,6488,5052,7548,9682,4084,3431,1853,2719,1883,9959,10724,9527,14123,10772,14221,18266,14088,13484,10605,12488,7185,6449,5379,0,5602,3116,2208,
流动负债(万元),486584,489259,554728,453868,411177,403631,403144,384666,457831,452525,463440,497628,330641,327298,423280,337407,363759,607,607,3595,12946,11554,11547,9215,5729,8123,7151,5761,4476,6912,8553,3347,2767,1204,2089,1254,9331,10127,8972,13568,10241,13666,17729,13571,12893,10058,11941,6638,5942,4887,0,5216,2907,2194,
股东权益不含少数股东权益(万元),922957,956724,979892,985162,1025475,1035583,1062576,1038144,1069269,1053027,1063655,1000782,540046,518207,472113,486341,518166,31403,31384,31972,30332,30660,30556,30548,30203,29195,28722,28358,28038,27539,26859,26598,26139,26019,26018,25878,25554,25837,26299,26182,26050,26139,25937,25728,25497,25343,24906,24888,24487,5118,0,4626,4458,3096,
净资产收益率加权(%),-6.08,-2.39,-0.68,1.11,1.23,1.01,0.94,11.71,10.83,8.75,5.24,19.24,20.81,15.55,7.61,30.57,26.76,-1.8,-1.86,1.66,0.13,1.2,0.03,7.44,0,2.91,0,4.69,0,1.76,--,2.22,0,0.03,--,1.95,0,1.11,0,1.75,0,1.58,0,3.32,0,1.81,0,11.62,0,10.1,0,27.01,36.07,79.51,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
