报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1998-03-31,1997-12-31,1996-12-31,
基本每股收益(元),0.08,0.05,0,0.09,0.06,0.04,0,0.18,0.15,0.08,0.05,0.43,0.43,0.38,0.27,2.13,1.98,1.61,0.52,0.96,0.63,0.34,0.17,0.17,0.03,0.11,-0.12,0.16,0.17,0.17,0.06,0.37,0.23,0.13,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.16,4.11,4.11,4.07,6.66,6.38,6.2,4.54,3.41,4,3.66,3.51,3.74,3.57,3.44,3.52,3.39,3.5,3.52,3.52,3.4,3.42,3.28,3.18,3.22,3.13,2.95,2.84,2.97,2.9,2.79,2.73,2.79,2.72,3.95,3.89,3.92,3.83,3.76,3.7,3.58,3.53,3.74,3.69,3.59,3.56,3.64,2.99,2.87,3.03,2.82,2.7,2.76,2.74,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.33,--,0.18,0.2,0.18,3.14,2.96,2.78,1.23,2.11,1.44,0.9,0.47,0.64,0.41,0.48,0.04,1.14,0.47,0.34,0.08,0.82,0.47,0.3,0.09,1.01,0,0,0,0.47,0,0,0,0.37,0,--,0,0.88,--,0,0,0.98,0,0.36,--,0.69,--,0.4,0.9,0.26,0.96,--,0.32,--,--,--,--,
主营业务收入(万元),692020,442152,210118,976355,714947,466502,232083,973654,748753,492241,206638,788154,603110,391997,198071,821188,646606,447712,213233,548632,404625,248475,107511,369961,273485,179614,81396,532870,440829,310093,137540,520221,386681,245327,111430,383504,272740,174914,85551,307130,240407,160339,76253,249588,184439,115234,55961,183688,142400,91759,39207,152002,116030,77494,34185,126768,96905,64243,123538,66147,112187,60292,102536,53582,--,111450,115760,
主营业务利润(万元),72214,46526,18374,84767,58896,35046,10346,84923,63068,42664,18916,129566,112338,91549,48256,318044,284869,205802,68220,150479,110932,58039,24425,49333,30740,22505,5611,62780,55369,42310,15641,63725,53971,36264,--,52950,42272,29350,15403,62953,53978,36339,15772,52359,39747,28782,13313,42976,33725,20953,8514,31863,24045,16267,6427,29923,23413,16417,31821,17833,25123,13358,22277,12155,--,26708,--,
营业利润(万元),13148,9867,-123,20303,13243,6848,-903,28436,22914,13250,8017,74458,74132,67227,30054,223623,197951,152947,51676,67170,43322,21760,9967,3312,-4388,35,-6673,5925,10082,9666,2650,16790,17545,9615,5632,11686,12253,9866,5553,23104,18317,13237,5317,17212,14499,11670,4180,14336,11214,6251,1538,10632,7825,5361,1131,7848,0,6819,13273,6993,10960,6708,10683,6465,--,11936,--,
投资收益(万元),2708,2216,625,7690,4538,4028,2989,1339,118,-320,-133,359,-316,32,-129,2619,3030,1207,665,2214,582,454,921,-1805,-2001,-1340,-964,-100,259,9,37,1600,1144,877,468,1620,1112,1424,445,-53,-115,-293,-72,-131,14,20,338,605,157,449,137,776,1010,871,300,2607,2034,1253,2966,622,1951,765,503,0,--,0,--,
营业外收支净额(万元),4223,535,388,1400,1641,1343,968,2217,1453,839,35,1663,2580,1152,56,-1047,-242,368,234,-76,12,43,9,617,65,150,24,5546,--,2645,--,--,--,--,--,-202,0,0,0,-1542,0,0,0,-414,0,374,0,-864,-202,0,-2,-272,12,12,0,-869,-626,0,-745,0,234,0,0,0,--,--,--,
利润总额(万元),17371,10402,266,21704,14883,8191,65,30653,24367,14089,8052,76121,76712,68379,30110,222576,197710,153314,51910,67094,43334,21803,9977,3930,-4323,184,-6649,11471,12678,12311,4356,24082,19705,10792,5593,20142,18675,11165,5843,21986,18380,13064,5264,16934,15096,12092,4482,14195,11237,6857,1712,11568,9133,6524,1624,10073,0,7469,15497,7600,13146,8568,12534,6698,--,11725,--,
净利润(万元),13892,8562,172,16252,11639,6708,197,25358,21388,11845,6695,60228,60215,54156,23442,174672,158639,128449,41554,58648,38619,20714,9657,9256,1697,6213,-6655,8747,9704,9495,3518,20729,12838,7179,3641,16400,14624,7996,4178,19074,12724,8886,3696,14749,10199,7771,3413,11524,8580,5768,1861,8674,7003,5253,1272,10521,9207,7305,10957,7140,11308,6407,10226,6259,--,11258,10359,
