报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.17,0.08,0.08,0.54,0.73,0.43,0.16,0.77,0.67,0.41,0.12,1.19,0.88,0.59,1.23,0.42,0.57,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,8.86,--,8.44,10.22,3.94,2.91,1.28,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.76,--,0.28,0.81,1.28,1.05,1.62,
主营业务收入(万元),181805,116473,39831,305026,209917,142647,58164,308810,236059,158125,56306,336479,243820,165959,309500,249901,153842,
主营业务利润(万元),66735,41065,14056,106835,72667,49290,19628,97625,73684,50361,17105,110952,83531,57325,107028,80075,55516,
营业利润(万元),18117,8949,4212,27180,35115,20344,7239,35078,30466,19415,5641,49009,35648,22670,43697,17120,19912,
投资收益(万元),7705,5011,2495,8907,7546,4194,2210,2222,162,62,--,8,--,--,102,8,29,
营业外收支净额(万元),419,545,-160,-501,5,318,250,1226,1728,186,416,1392,1735,1562,1044,364,601,
利润总额(万元),18535,9494,4051,26679,35120,20662,7489,36305,32193,19602,6057,50401,37384,24232,44741,17484,20513,
净利润(万元),13847,6478,3229,21458,29192,17381,6261,30789,26897,16335,4924,42672,30416,19735,36983,12617,17158,
净利润(扣除非经常性损益后)(万元),6998,1787,1246,14355,29234,17110,--,29276,25428,16177,--,41728,--,18552,36085,25521,15972,
经营活动产生的现金流量净额(万元),-4611,9635,-24958,12073,-20083,392,-25864,30861,-32923,5361,-30469,59702,11284,26921,38372,31503,48601,
现金及现金等价物净增加额(万元),-86622,1820,28555,-71214,-27403,4888,3291,-152793,-117923,-34298,-35173,226047,196920,229410,17312,44471,38909,
总资产(万元),446253,462121,441373,449658,426516,440224,433178,457932,410735,448627,444662,456586,400021,433374,201455,175468,116797,
流动资产(万元),315082,350994,306939,292194,309270,335446,334486,356442,285871,365371,367147,381248,341968,376167,144061,134457,88943,
总负债(万元),90799,114039,85829,97344,66457,91977,74836,105866,62566,111018,90068,106911,62247,92641,83215,88216,78360,
流动负债(万元),84179,107439,77036,90086,59894,84918,67579,99113,55906,104234,83453,100331,56769,87127,78621,84083,75755,
股东权益不含少数股东权益(万元),355484,348105,355544,352315,360059,348247,358342,352067,348169,337609,354594,349675,337775,340733,118239,87252,38335,
净资产收益率加权(%),3.91,1.83,0.91,6.17,8.2,4.87,--,8.89,8.01,4.69,1.4,16.92,13.34,8.08,35.48,22.05,58.26,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
