报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.05,0.05,0.02,0.12,0.18,0.17,0.03,0.15,0.13,0.08,0.01,0.14,0.07,0.06,0.01,0.37,0.22,0.12,0.01,0.36,0.14,0.06,0,0.15,0.05,0,-0.11,-0.34,0.07,0.05,0.02,0.17,0.11,0.07,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,4.38,--,--,--,--,--,3.7,3.69,3.63,3.59,6.11,6.08,5.18,5.91,6.11,6.09,5.86,5.77,8.42,8.42,8.31,8.26,8.15,8.26,5.14,5.13,5.08,5.07,5.01,4.98,4.92,4.89,4.83,4.82,4.79,4.77,4.68,4.65,4.57,4.54,4.45,4.92,4.83,4.8,4.74,4.69,4.61,4.58,4.59,4.49,4.45,4.41,4.39,4.47,1.87,0.32,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.44,--,--,--,--,--,0.05,--,0.14,0.26,0.22,0.57,-0.01,-0.22,-0.21,0.17,0.18,0.02,-0.31,0.41,0.84,0.71,0.21,-0.23,0.42,0.83,0.02,0.34,-0.34,-0.67,-0.52,0.81,0,--,0,1.66,0,0,0,0.12,0,0,0,0.16,0,0,0,0.19,0,0.02,--,-0.11,-0.02,-0.14,0.04,--,--,--,
主营业务收入(万元),566005,382679,145254,1201002,967092,724592,313773,1439268,956009,688124,307841,1105159,874482,702646,384431,953691,871590,530071,224934,794325,560686,374106,132701,562798,329684,200634,64278,217663,151796,99055,46193,168647,122908,77565,35309,144554,100343,67193,31109,133397,97667,63749,31545,133688,78334,50564,24277,96279,75074,50811,14907,55943,32512,16963,4711,22684,9301,20870,9088,18216,11362,8880,
主营业务利润(万元),72445,59271,25065,103240,83547,55076,30376,142826,100104,65422,29537,122681,78991,55516,25534,143699,87636,47329,18843,97124,55887,32456,13906,59821,35401,20024,2905,25518,17351,11339,4939,23179,15890,10251,--,18931,12157,8679,3862,21525,13955,9661,3782,17785,11381,7563,3090,15710,11469,8202,2391,12896,6571,4310,1253,8164,2902,6848,2693,5674,4133,3370,
营业利润(万元),2319,5480,-1344,24488,35725,36456,6681,34091,27427,15799,3850,23784,8463,8871,2969,65089,37494,15295,2185,45883,18067,8859,1687,14669,183,-4518,-11228,-5427,3463,2211,826,5055,3470,2108,644,3963,2305,1845,676,5519,3430,2554,653,5497,2947,2146,586,3489,3213,2241,632,4587,2941,1782,527,3653,1506,4296,1655,3479,2742,1987,
投资收益(万元),4331,-1511,421,41467,42884,44420,1806,6715,4841,2451,645,4636,1898,866,-436,6182,6624,3003,-171,9234,8533,5339,-454,7584,3236,738,-1452,-562,17,17,--,--,--,0,0,-157,-86,-59,-30,-119,-87,-59,-29,-118,-80,-53,-27,605,-77,-75,-6,-8,692,-2,0,0,3,0,0,0,0,0,
营业外收支净额(万元),7671,3072,2624,5866,5094,2530,1797,3579,661,494,2,2515,414,204,116,-8,-35,10,5,1102,1329,1047,107,5755,2775,1309,-9,-7599,117,101,--,197,--,--,--,-86,0,--,0,-111,0,0,0,-122,0,0,0,-2,0,0,0,-42,-13,-8,0,76,0,255,0,--,--,--,
利润总额(万元),9990,8551,1280,30355,40819,38986,8479,37670,28088,16293,3852,26299,8877,9075,3084,65081,37459,15305,2190,46985,19397,9906,1794,20424,2958,-3209,-11237,-13026,3579,2312,819,5253,3461,2092,634,4001,2454,1805,647,5491,3301,2475,620,5519,2881,2059,556,4413,3129,2161,626,4546,3628,1781,623,3740,1547,4551,1699,3616,3250,1872,
净利润(万元),10537,10034,3680,25775,37954,35668,7002,25230,20657,11544,1650,21184,10405,9003,1202,33740,20263,10610,1189,32833,12896,5086,164,9308,3011,186,-6830,-8374,1218,927,299,2961,1888,1212,348,2084,1191,987,442,3848,2335,1831,425,3776,2312,1807,412,3517,2505,1721,462,3682,3097,1410,534,3256,1316,3556,1138,3187,2822,1170,
净利润(扣除非经常性损益后)(万元),8036,9819,4364,-5501,5081,2290,--,20968,--,10492,--,19231,--,8851,--,28340,0,10605,--,30705,0,3391,--,6521,--,-256,0,3242,0,827,--,2532,0,1205,--,1760,0,969,0,3572,0,1850,0,3218,0,1836,0,2027,0,1725,0,3691,2432,1332,--,3157,1283,3438,1138,--,--,--,
经营活动产生的现金流量净额(万元),91455,43765,4472,47827,92507,44992,9233,8204,806,24257,8346,26070,21473,39516,20263,50984,-1080,-20065,-18502,15069,16294,2145,-18453,24811,50363,42767,12887,-13678,7299,14428,280,5873,-5918,-11647,-8967,14149,1128,696,2052,28931,4681,327,1202,2167,-8420,956,-8611,2476,203,496,-1859,3009,0,294,--,-1774,-357,-2221,358,--,--,--,
现金及现金等价物净增加额(万元),-47568,-30040,43437,-94475,-124862,-8813,-75766,101595,138201,-28157,-14135,-7541,-1500,-24710,-41800,31364,62021,13317,68681,26364,-25163,-10424,-26013,36427,835,5341,6457,-39300,-38977,-20069,-5614,1499,-9612,-10783,-9187,-978,-13823,-13768,-7850,11285,7303,-5082,-1266,5019,8452,6514,-6604,-16003,-24320,-21602,-5563,15852,0,-523,--,-6747,-6815,41728,503,--,--,--,
总资产(万元),2041164,2095913,2088304,2016164,2048380,2207585,2232989,2265042,2235946,2020737,1982419,1896530,1807602,1742022,1639376,1631955,1500154,1351699,1429804,1298910,1281051,1249637,1212913,1213547,1170311,1161685,1122041,1108376,220855,222917,220501,227290,233327,222031,215951,226322,210409,204371,219194,220411,226692,225984,230387,227852,198323,177120,169515,161682,156706,148642,135073,137344,114776,104720,99832,97262,91449,94491,42264,39839,31589,--,
流动资产(万元),560004,664097,692544,634056,643343,787994,816200,841652,831816,639038,641811,556230,572639,519902,444658,436802,469877,377768,467849,343323,334079,314762,243881,248765,206586,215256,192773,170786,115148,115952,113350,119424,136394,118768,113654,122183,103758,97268,111903,112658,113224,104529,107873,104727,118689,97074,87518,80797,76957,72284,--,--,--,--,62333,0,0,0,0,--,15272,--,
总负债(万元),1029895,1082172,1089253,1025178,1047307,1204829,1238117,1277954,1255971,1343484,1305644,1223036,1149360,1087450,983779,895816,916227,734554,797388,668430,671704,647956,626547,628326,596725,594089,563744,538481,120205,123061,121061,128467,135825,125309,120546,131588,116669,111193,126853,128648,136938,136814,142825,140875,115960,94648,88616,81494,77741,70382,58161,60959,40676,30168,27841,25067,22107,23903,23530,22243,18161,--,
