报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.17,0.09,0.05,0.44,0.27,0.12,0.05,0.44,0.36,0.19,0.09,0.4,0.35,0.3,0.1,0.66,0.58,0.46,
每股净资产(元),2.92,2.83,5.72,5.59,5.4,5.23,5.25,5.18,5.1,5.38,5.38,5.29,5.22,5.16,2.82,2.72,2.06,1.47,
每股经营活动产生的现金流量净额(元),0.34,0.29,0.24,0.26,0.17,0.28,0.33,0.55,0.26,0.12,0.19,0.15,0.04,0.03,0.06,0.54,0.72,0.31,
主营业务收入(万元),39370,26147,10936,51464,33703,19445,8544,46371,34747,17484,7824,29654,20979,14789,6754,32195,27296,22353,
主营业务利润(万元),10909,7236,3104,14072,9122,5212,2369,12680,9566,5218,2339,8621,6057,4311,1966,9887,8754,7516,
营业利润(万元),3193,1833,514,4809,2781,902,392,5158,4240,2003,912,3666,2709,2019,702,5296,4975,3833,
投资收益(万元),9,9,9,17,4,2,--,--,--,--,--,--,--,--,--,--,32,-2,
营业外收支净额(万元),1200,513,169,974,733,590,273,789,565,425,237,912,1022,884,249,1081,714,698,
利润总额(万元),4392,2346,682,5783,3514,1492,665,5946,4805,2428,1150,4578,3732,2903,951,6378,5689,4531,
净利润(万元),3769,2041,611,4892,3057,1318,596,4969,4065,2150,1013,3964,3265,2536,839,5546,4882,3844,
净利润(扣除非经常性损益后)(万元),--,1605,--,4064,--,817,--,3198,--,1784,--,3188,--,1785,628,4628,4275,3251,
经营活动产生的现金流量净额(万元),7711,6543,2676,2938,1870,3162,3640,6166,2934,1319,2116,1633,449,352,507,4504,6044,2600,
现金及现金等价物净增加额(万元),2947,2935,1908,-3250,-6285,-1626,1402,-16946,-16129,-12859,-4779,27504,27983,30863,-1332,-1204,4233,1840,
总资产(万元),89106,89095,86127,85669,77547,76175,74198,73477,73011,68266,67656,67339,66364,66675,31229,30275,24116,18762,
流动资产(万元),46846,47081,44144,45709,39029,38442,37301,38128,44032,42011,46236,50360,49986,52512,17702,17720,16173,12449,
总负债(万元),23478,25394,21794,23067,17022,17554,15359,15463,15893,8051,7454,8147,7851,8891,7558,7463,6831,6387,
流动负债(万元),20930,22782,19142,20387,13489,13885,11624,11598,13874,6955,6258,7059,7114,8132,6786,6467,6637,6317,
股东权益不含少数股东权益(万元),65374,63433,64059,62554,60485,58575,58789,58014,57118,60215,60202,59192,58513,57784,23671,22813,17285,12375,
净资产收益率加权(%),5.88,3.21,0.96,8.11,5.17,2.25,1.02,8.02,6.38,3.57,--,9.67,8.03,10.53,3.61,27.66,32.92,36.62,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
