报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.15,0.14,0.03,-0.12,-0.03,0,0,0.05,0.05,0.03,0.01,0.08,0.06,0.03,0.01,0.11,0.07,0.04,0.01,0.23,0.15,0.08,0.01,0.37,0.18,0.1,0.02,0.46,0.26,0.15,0.06,0.95,0.67,0.37,1.12,0.76,1.11,1.06,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,1.47,1.44,1.7,1.69,1.65,1.62,1.59,3.18,1.8,1.73,1.66,2.68,2.49,2.41,2.33,4.92,4.71,4.61,9.47,9.41,9.14,5.77,5.4,--,4.28,3.17,0,0,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.05,-0.08,-0.07,0.17,-0.01,-0.02,-0.02,0.16,-0.08,-0,0,0.23,-0.09,-0.15,-0.13,0.14,-0.33,-0.25,-0.5,0.27,-0.04,-0.11,1.32,--,0.95,0.4,0,0,0,0,0,
主营业务收入(万元),13512,7848,3290,31320,24881,18212,7432,43277,28392,17654,5701,37697,25986,15372,5293,37014,24338,13557,5024,35298,24116,13934,3981,31434,20156,10734,3927,24155,14420,8363,2756,18377,11786,6924,17714,12326,17575,15078,13187,10762,7403,2066,37,
主营业务利润(万元),4312,2296,777,8858,7758,5772,2781,14734,12044,7062,2611,16668,11964,6646,2499,16167,10753,6157,2095,17423,11089,6490,1638,14209,8704,4570,1602,10681,6327,3664,1057,7583,4846,2876,7380,5011,6744,5841,4923,2783,2649,476,3,
营业利润(万元),10667,10927,1623,-11791,-3066,-278,221,2621,3824,2031,447,5961,4411,1922,275,5452,3755,1432,368,7711,5232,2635,333,8040,4209,2210,254,5298,2988,1669,370,3910,2677,1492,4521,3050,4491,4237,3637,2224,2119,263,-17,
投资收益(万元),16210,15552,1501,621,55,--,--,0,--,--,--,37,37,37,37,129,--,--,--,-618,-618,-618,-108,1215,625,385,--,--,0,--,--,0,--,0,--,--,--,--,-2,2,-1,0,0,
营业外收支净额(万元),764,258,201,-202,579,418,183,1097,284,162,106,1536,1290,1131,282,2739,1810,1566,24,356,39,36,8,282,17,14,4,--,199,--,--,--,--,3,2,2,-23,18,0,0,0,0,0,
利润总额(万元),11431,11186,1824,-11993,-2487,139,404,3718,4107,2192,553,7497,5701,3053,557,8190,5565,2998,392,8067,5271,2671,341,8322,4227,2224,258,5528,3187,1845,372,4067,2680,1495,4524,3052,4468,4256,3628,2283,2117,262,-18,
净利润(万元),11180,10908,1986,-8885,-1890,208,351,3566,3553,1946,481,6420,4746,2588,507,7059,4712,2522,368,7026,4590,2372,331,7386,3590,2057,387,4614,2571,1514,301,3826,2469,1373,4161,2810,4116,3937,3332,2069,2117,244,-18,
净利润(扣除非经常性损益后)(万元),-4481,-4042,-1509,-9134,-2217,-14,229,2792,3355,1835,405,5301,--,1774,--,4833,--,1195,--,7348,--,2874,--,6147,--,1556,0,4442,0,1316,0,3331,0,1247,3787,--,3780,3599,0,0,0,0,0,
经营活动产生的现金流量净额(万元),724,862,1133,5785,3066,-12899,-2818,6955,1103,-2130,-1299,1432,-3749,-5988,-4556,10781,-2317,-1344,-1067,5097,-2351,-134,105,4543,-1795,-2996,-2554,1428,-3287,-2537,-2517,1344,-213,-417,4888,1136,3524,1482,0,0,0,0,0,
现金及现金等价物净增加额(万元),-14279,-12937,-3290,1745,-14597,-5774,-3784,-1860,-6292,-8652,-2688,-12527,-15343,-14297,-5998,-14581,-22764,-16648,-8506,39023,-11395,-5028,-6438,5398,-6920,-4452,-4050,36,-6917,-4023,-2736,13017,15175,-2440,2809,1421,1256,867,0,0,0,0,0,
总资产(万元),122543,122293,162721,158837,154168,158767,144095,144411,142768,138918,139976,139734,137315,132611,134848,138407,130005,128166,128274,136028,84039,85829,78067,82433,70411,67512,62237,61973,54045,52839,51774,50378,53564,33012,27596,--,18996,14649,9933,7654,4755,2056,182,
流动资产(万元),106789,106445,106551,95493,89431,94217,79454,79701,80440,76438,77496,76684,79885,79623,85196,90306,87551,88738,90668,98539,50138,54313,47067,53337,43900,44443,40745,41094,36645,36418,35844,34510,37730,17268,17928,--,13702,11349,7122,6361,3869,1621,171,
总负债(万元),7582,7600,37217,32532,18202,20440,21634,22251,20603,17951,15867,16055,15203,13310,17471,21466,17932,18277,20950,30496,24908,28884,22899,23540,15309,14231,13464,10597,4695,4539,4329,3235,7778,11616,7573,--,3134,2902,2139,3192,2362,1780,150,
流动负债(万元),7087,6603,32727,26483,11513,13940,15451,16153,13799,11201,9029,9131,8836,7086,10721,14475,14646,14775,16909,26456,23683,27658,21673,23214,15011,13972,13325,10457,4595,4438,4229,3135,6948,10116,5473,--,3071,2902,1994,3192,2362,1780,150,
股东权益不含少数股东权益(万元),114961,114693,106328,104357,111353,113451,112314,111963,111925,110379,113462,112976,111301,109141,107283,106774,104383,102193,100040,100379,54213,51981,49960,53616,49840,48307,46665,49254,47210,46154,47444,47143,45786,21396,20023,--,15862,11746,7794,4462,2393,276,32,
净资产收益率加权(%),10.17,9.95,1.87,-8.21,-1.7,0.19,0.31,3.18,3.16,1.74,0.42,5.84,4.35,2.4,0.47,6.83,4.6,2.49,0.37,12.97,8.51,4.49,0.63,14.36,--,4.22,0,9.62,0,3.25,0,13.78,0,6.63,23.19,--,29.86,33.04,0,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
