报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),-0.08,0.01,-0.1,0.28,0.21,0.14,-0.11,0.38,0.28,0.37,0.37,0.28,0.23,0.14,
每股净资产(元),3.35,3.44,3.37,3.47,3.4,3.16,--,3.01,--,2.63,2.27,2.03,1.75,1.53,
每股经营活动产生的现金流量净额(元),0.23,0.15,-0.02,0.38,0.25,0.04,-0.08,0.04,--,-0.01,0.38,0.17,0.12,0.23,
主营业务收入(万元),43131,30722,5917,68732,50617,30978,5491,78911,60896,73780,77215,59382,69407,68380,
主营业务利润(万元),8043,6464,730,17926,12677,8465,910,19015,13856,18451,17381,13705,11808,10852,
营业利润(万元),-2031,112,-2179,4043,2892,2000,-1842,5074,3535,5537,5413,3955,3330,2702,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),574,383,251,1271,784,551,133,1515,1343,826,1123,994,744,169,
利润总额(万元),-1456,496,-1929,5314,3676,2551,-1710,6589,4878,6362,6536,4949,4074,2872,
净利润(万元),-1561,203,-1969,4620,3228,2169,-1719,5738,4167,5540,5588,4183,3428,2159,
净利润(扣除非经常性损益后)(万元),--,-162,--,3448,--,1663,--,4370,--,4760,4556,3259,2729,1992,
经营活动产生的现金流量净额(万元),4644,3089,-405,7700,4954,620,-1145,577,-1823,-121,5752,2535,1741,3413,
现金及现金等价物净增加额(万元),-10829,-10141,-5883,19927,21971,-2386,-1789,814,-338,2078,-990,-5076,2273,2032,
总资产(万元),146666,153005,153194,151104,147889,125066,--,121703,--,114379,114485,99616,93822,81498,
流动资产(万元),95995,102462,104986,107661,108736,85616,--,81518,--,72819,72503,58586,61991,60692,
总负债(万元),78963,83539,85051,80991,79169,77374,--,76179,--,74594,80239,68958,67347,58451,
流动负债(万元),76249,80694,82076,77886,76163,74137,--,72682,--,70524,75647,62995,57845,48729,
股东权益不含少数股东权益(万元),67703,69466,68143,70112,68720,47693,--,45524,--,39786,34246,30658,26475,23047,
净资产收益率加权(%),-2.26,0.29,-2.85,8.75,5.65,4.65,-4,13.45,--,14.97,17.05,14.64,13.84,10.56,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
