报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.18,0.15,0.07,0.21,0.17,0.14,0.09,0.21,0.17,0.13,0.08,0.25,0.18,0.14,0.09,0.21,0.13,0.11,0.07,0.09,0.07,0.05,0.02,-0.18,-0.11,-0.02,0,0.01,0.01,0.01,0,0.01,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.51,--,2.31,2.28,2.24,2.16,2.08,2.06,2.02,1.95,1.93,1.91,1.88,1.86,1.92,2.01,2.04,2.03,2.03,2.03,2.03,2.02,2.06,2.06,2.37,2.31,2.32,2.32,2.31,2.31,2.56,2.63,2.62,2.58,2.67,2.66,2.63,2.61,2.62,2.61,2.58,2.49,2.55,2.51,2.46,2.42,3.02,3.19,1.74,1.6,1.39,1.37,1.34,2.31,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.1,--,0.27,0.05,0.14,0.12,-0.14,-0.25,-0.02,0.4,0.23,0.05,0.12,0.36,0.19,-0.01,-0.1,0.07,-0.32,-0.39,-0.29,0.46,0.1,0.01,-0.2,0.48,0,0,0,0.13,0,0,0,0.65,0,0,0,0.08,0,0,0,-0.21,0,-0.09,--,-0.72,-0.72,-0.56,-0.22,--,--,0.15,--,--,--,--,--,--,
主营业务收入(万元),166218,116020,62821,192000,134850,95947,54989,210636,157797,111489,60787,192649,116904,84885,48757,169032,121275,85439,45891,141891,100674,70796,37861,117771,80333,53213,28998,107649,75055,52515,29467,79933,51724,32707,18492,78144,47728,30072,16868,58249,38410,26537,13388,60973,38741,26495,12907,53887,25953,17940,8983,61796,38874,28400,14177,50790,21681,44919,20127,34605,12770,30770,16181,36526,18829,29333,20487,14246,
主营业务利润(万元),36871,24870,11990,37602,26136,18166,10341,34757,24702,17380,9557,36792,21436,15697,8671,28993,19676,13878,8106,20857,16507,11052,5333,18304,14704,9056,4601,19833,15336,10677,5277,16796,11237,7573,--,11869,9794,6295,2822,8734,8805,6318,3155,16878,13107,9016,3675,16154,7985,5955,2980,18154,12066,8566,4017,15708,7327,13502,6595,11494,2201,4973,2612,2608,841,5567,1590,1142,
营业利润(万元),15536,11999,6192,14788,11524,8279,5457,14732,10674,8123,4821,15525,8082,6540,3917,9874,6023,4994,3195,3252,2293,1617,781,-4789,-2919,-648,92,-38,209,472,105,-969,-602,141,211,673,611,361,142,-8459,-2147,-89,741,2645,3186,2265,1213,2388,1924,2403,1581,6071,5416,3940,--,6585,3130,5972,2851,6007,473,1988,1229,2683,885,3103,2052,1576,
投资收益(万元),74,24,--,76,50,50,--,50,50,--,--,50,50,--,--,--,--,--,--,65,65,65,65,-125,-124,0,--,--,-0,-0,-0,--,--,0,0,-11,-10,-5,-4,-103,-10,-5,-4,97,-11,-6,-5,-25,160,-2,-2,-86,-3,-2,-2,-30,-2,17,19,-14,0,0,0,-24,-15,-63,0,0,
营业外收支净额(万元),69,70,27,73,-237,154,55,-728,-12,-28,-3,47,38,42,20,-191,-35,-20,-15,-9,101,43,-21,-1039,-968,-71,-5,1249,--,--,--,--,--,--,--,-7,0,0,-17,1158,0,0,0,35,0,0,0,1499,620,0,-5,0,-11,-10,0,62,0,50,11,508,0,0,0,0,--,--,--,--,
利润总额(万元),15605,12069,6218,14860,11287,8433,5512,14004,10662,8095,4818,15573,8121,6582,3936,9683,5988,4975,3179,3243,2393,1659,760,-5828,-3888,-719,86,1211,610,588,211,1041,817,545,248,676,575,338,121,-7401,-833,1238,726,2416,3090,2233,1186,3862,2704,2347,1575,3961,5402,3929,1629,6618,3190,6345,3081,6501,568,2366,1227,3016,872,3064,2046,1573,
净利润(万元),11497,9127,4370,9876,7760,6152,3966,9290,7594,5809,3473,11027,6057,4885,2900,7021,4549,3823,2342,3053,2337,1608,720,-5957,-3785,-709,86,360,180,156,83,334,167,142,76,230,121,107,63,-7961,-1181,806,502,1263,1823,1554,745,3005,1928,1616,1127,2976,3723,2707,1140,6491,2865,5708,2702,5940,409,1704,1043,2560,739,3064,1738,1335,
净利润(扣除非经常性损益后)(万元),11443,9071,4356,9774,8039,6023,3929,9874,7613,5850,3477,8605,--,4849,--,5885,--,3850,--,3080,--,1594,--,-4920,--,-626,0,-725,0,76,0,-1421,0,-252,--,222,0,131,0,-9126,0,-599,0,195,0,1581,0,1282,0,1671,0,2952,3714,2696,--,6452,2798,5368,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),17382,16853,15981,19540,2079,193,-307,12241,9385,6608,4652,17674,9010,1623,4831,4015,-4692,-8607,-567,13621,7761,1785,3948,12251,6566,-288,-3452,2380,-10809,-13259,-9701,15664,3316,379,-5804,14143,8910,5431,-1977,3955,1469,-1487,87,19286,6850,2426,-1146,2473,3966,4947,1058,-6308,0,-2631,--,-21316,-16295,-12659,-4419,10940,--,2949,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-4318,-3717,16039,9276,-3153,-2837,-921,-10811,-11077,-11660,-7238,-734,-285,-5863,-6096,3344,-5062,-9346,-1543,10915,2951,-1102,3781,-4772,-2002,-5025,-5703,-2078,-9429,-11638,-11394,9125,-528,-3084,-5466,608,-1870,-3133,-2733,1046,-2620,-1982,-1509,2473,-2864,-2115,-2022,-200,-1215,-1266,-1544,-1062,0,-2045,--,-16826,-16071,22336,671,-1421,--,-191,--,--,--,--,--,--,
总资产(万元),294497,298043,293497,281073,173801,173262,175731,172222,170129,172849,181304,182952,154777,148167,149913,158583,152402,146078,151949,152025,145342,141433,143784,139644,148840,157548,158243,158090,158485,157939,170974,173661,170671,166435,167077,162249,159427,158230,172061,166446,172516,173640,171472,172875,174459,174839,176624,173673,179175,167843,165010,162844,155585,154664,152158,150192,132957,123627,80497,71384,64557,64560,59739,41741,34359,35566,26303,16856,
流动资产(万元),114985,117230,111654,98722,90966,91252,93392,89302,88742,91990,99339,100107,98810,91733,92673,100352,97999,90623,95550,94673,86304,80499,80992,75278,83364,86667,85855,84644,85066,82271,94542,96476,94106,90795,91670,95911,92905,91024,104484,98113,103166,103301,100512,100172,105084,108403,109430,106400,113072,104194,--,100708,0,0,103321,0,0,0,33819,24432,24911,27376,25934,14030,9902,14745,11852,6859,
