报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
基本每股收益(元),-0.1,-0.07,-0.06,0.01,0,-0.06,-0.05,-0.17,0.06,0.06,0.02,0.02,0.14,0.11,0.06,0.48,0.43,0.33,0.11,0.25,0.16,0.11,0.03,0.37,0.25,0.2,0.08,0.51,0.38,0.26,0.1,0.51,0.44,0.35,0.16,0.51,0.38,0.22,0.35,0.22,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.67,3.63,7.22,7.15,7.07,7.04,3.47,3.34,3.22,3.18,3.09,6.12,6.02,7.79,4.82,4.75,4.62,4.5,4.39,4.29,4.22,2.91,2.71,2.55,--,--,2.05,1.7,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.05,0.12,0.01,0.14,0.09,0.22,0.26,-0.09,0.01,0.05,0.01,0.25,0.13,0.27,0.04,0.35,0.16,0.08,-0.11,-0.28,-0.25,0.09,0.2,0.61,--,0.61,0.08,0.47,
主营业务收入(万元),28887,17390,12109,84450,57815,38376,14321,57822,45627,33102,9925,55778,41597,31078,10907,54953,40882,27160,11862,37043,26114,14327,6006,26782,17704,10036,4439,19041,13470,8155,3557,16068,12452,8119,3479,13346,9915,6264,11060,8613,
主营业务利润(万元),4868,2961,1871,18680,10510,5962,1891,7091,10363,7304,2954,11029,11922,8966,3118,20123,14925,9966,3842,9810,6340,4130,1594,6155,4218,2475,1047,4567,3434,2168,885,4191,3375,--,972,3272,2449,1498,2514,1736,
营业利润(万元),-6389,-4521,-2425,-5300,-290,-1909,-2292,-14943,1065,912,124,1156,5849,4522,822,10161,9546,6829,2377,4335,3151,2328,555,3248,2351,1344,434,2605,2215,1449,504,2421,1987,1543,673,2238,1684,978,1473,973,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,--,0,--,0,--,--,--,0,--,0,0,0,0,0,--,--,--,--,--,
营业外收支净额(万元),189,163,93,6005,1268,110,82,5005,2288,2284,729,548,436,463,500,640,5,107,40,904,295,110,61,205,21,14,22,279,--,225,--,--,--,--,--,1,-1,-1,-0,-3,
利润总额(万元),-6199,-4359,-2332,705,977,-1799,-2210,-9938,3353,3196,853,1704,6286,4984,1321,10801,9551,6936,2416,5240,3447,2438,616,3453,2372,1358,456,2884,2442,1675,653,2463,2034,1565,694,2239,1682,977,1473,970,
净利润(万元),-6235,-4288,-2299,364,92,-2516,-1968,-6864,2427,2423,634,878,5672,4480,1202,9212,8049,5870,2029,4555,2931,2061,523,3016,2019,1141,388,2533,1888,1312,481,2089,1713,1330,589,1894,1443,839,1300,836,
净利润(扣除非经常性损益后)(万元),-6341,-4370,-2378,-4751,-986,-2597,-2037,-11130,483,479,14,459,--,4012,--,8665,--,5768,--,3678,--,1953,--,2823,0,1126,0,2290,0,1087,0,1591,0,1027,448,1486,--,656,1014,645,
