报告日期,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.76,1.71,1.94,1.68,1.69,1.5,1.52,0.83,
每股净资产(元),11.07,11.01,--,--,--,6.15,--,--,
每股经营活动产生的现金流量净额(元),0.49,1.85,2.63,2.89,2.35,2.07,2.22,0.95,
主营业务收入(万元),41064,88428,89594,91899,78542,57008,47714,39288,
主营业务利润(万元),14134,34816,35326,32809,30606,25370,23269,12911,
营业利润(万元),6145,14543,15256,14236,14407,11430,10009,4616,
投资收益(万元),407,750,700,829,681,545,416,478,
营业外收支净额(万元),267,392,450,212,-21,879,1884,1603,
利润总额(万元),6412,14935,15706,14448,14386,12309,11894,6220,
净利润(万元),4774,10715,12161,10535,10600,9403,9530,5216,
净利润(扣除非经常性损益后)(万元),4566,10415,12005,10393,10560,0,--,--,
经营活动产生的现金流量净额(万元),3075,11588,16462,18112,14707,12941,13926,5921,
现金及现金等价物净增加额(万元),755,-5141,5600,2587,1643,933,3539,1732,
总资产(万元),122822,119533,114588,103926,95439,77816,61226,50735,
流动资产(万元),44983,39890,40826,33103,32040,31303,22358,19837,
总负债(万元),45327,42782,45706,44299,44406,35244,25301,23155,
流动负债(万元),34615,33093,27854,28712,25658,24550,17080,19778,
股东权益不含少数股东权益(万元),69285,68932,62017,53393,46058,38523,32768,24761,
净资产收益率加权(%),6.74,16.46,21.07,21.44,24.97,27.05,33.96,23.75,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
