报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.07,0.03,-0.08,0.07,0.06,0.08,0.05,0.27,0.24,0.16,0.08,0.55,0.42,0.33,0.14,0.65,0.41,0.35,0.16,0.88,0.61,0,
每股净资产(元),4.95,4.91,5.88,5.96,5.95,5.95,9.09,9.04,9.01,8.94,11.79,11.7,11.57,11.48,11.5,11.37,11.15,11.27,3.02,2.9,2.03,0,
每股经营活动产生的现金流量净额(元),-0.07,-0.05,-0.14,0.04,0.11,0.13,0.06,0.23,0.13,0.17,0.15,0.81,0.3,0.3,0.29,0.44,0.16,0.17,-0.13,0.87,0.64,0,
主营业务收入(万元),39289,26295,11104,52278,37000,25409,12488,45461,33042,22275,10691,38246,27894,18664,9482,37529,26724,17244,8311,32061,22892,17586,
主营业务利润(万元),20137,13573,5722,28191,20111,13917,6842,25269,18426,12509,6077,21322,15555,10451,5289,21202,15127,9992,4818,18968,13177,9631,
营业利润(万元),-709,-922,-1966,-1019,-555,438,101,1444,1617,1491,527,4064,3390,2669,1012,5474,3284,2645,1063,6728,4456,2666,
投资收益(万元),1077,747,239,-346,-319,-226,-114,-325,-234,-125,-24,-18,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),2024,1377,342,2160,1491,1031,462,1922,1447,629,309,1974,1138,956,470,1002,621,449,171,646,689,539,
利润总额(万元),1315,455,-1624,1141,936,1470,564,3365,3064,2120,836,6038,4528,3626,1481,6476,3906,3094,1234,7374,5145,3205,
净利润(万元),1537,610,-1536,1343,1130,1595,621,3470,3107,2131,830,5520,4216,3292,1409,5919,3649,2875,1175,6602,4591,2840,
净利润(扣除非经常性损益后)(万元),--,-1362,--,-314,--,877,--,2353,--,1718,--,4231,--,2583,--,5392,--,2636,1175,6316,4265,2497,
经营活动产生的现金流量净额(万元),-1718,-1220,-2720,799,2102,2606,728,3013,1723,2175,1505,8078,3002,3018,2861,4410,1581,1704,-949,6551,4788,3490,
现金及现金等价物净增加额(万元),-38971,-42615,-40726,-21080,-18171,-6825,-1965,-14272,-10772,-6907,-3004,431,-3229,-2724,2219,86420,84146,86367,-1033,4818,4040,6238,
总资产(万元),134889,134014,132638,135509,131768,127084,128516,127235,126519,125584,126944,126596,121192,121019,119867,118629,116156,117208,26984,26593,19937,13369,
流动资产(万元),95963,99918,99771,103678,103768,100514,104653,104987,109512,112338,115222,115580,111953,111837,114407,113278,110797,112064,24936,24505,18652,12099,
总负债(万元),19247,19216,17986,19249,15652,10593,9969,9258,8874,8900,8531,8958,4812,5503,4612,4754,4531,4322,4094,4846,4718,1442,
流动负债(万元),9880,9024,8907,9963,6316,6099,7289,6347,4813,4640,4029,4580,2842,3367,3708,3787,3558,3288,3000,3690,4478,1442,
股东权益不含少数股东权益(万元),115729,114823,114629,116165,115953,116108,118124,117513,117139,116164,117858,117023,115675,114751,114951,113732,111459,112696,22669,21500,15219,11927,
净资产收益率加权(%),1.32,0.53,-1.33,1.15,0.97,1.35,0.53,2.97,2.65,1.81,0.71,4.8,3.68,2.87,1.23,7.14,-6.79,5.49,--,35.65,34.07,38.15,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
