报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.13,0.05,0.01,0.35,0.2,0.09,-0.01,0.39,0.24,0.12,-0.04,0.47,0.26,0.16,-0.05,0.43,0.26,0.19,0.58,0.23,0.41,0.36,0.48,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,5.39,5.18,5.08,5.16,5.21,5.06,2.28,2.09,1.74,1.79,1.69,1.59,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.07,-0.27,-0.52,0.05,-0.48,-0.59,0.54,-0.21,0.38,0.59,0.53,
主营业务收入(万元),37883,20844,7282,54862,32915,18732,6295,46100,28662,16941,5418,41176,25883,15754,4794,38318,22154,14105,30981,12683,24425,22203,20440,
主营业务利润(万元),20689,10930,3349,28392,16180,8842,2523,22725,14651,8693,2529,19903,12429,7839,2188,17776,10725,6854,15831,6372,12558,11339,10575,
营业利润(万元),8481,3537,130,11346,6364,2635,-338,7898,4652,2406,-577,6159,3342,2250,-592,4940,2727,1940,5782,2177,4245,3820,4747,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,34,--,0,--,--,--,0,--,--,--,--,0,
营业外收支净额(万元),660,82,35,214,135,75,11,513,483,108,58,392,265,30,1,119,92,71,301,170,66,161,10,
利润总额(万元),9141,3619,165,11559,6499,2710,-327,8411,5134,2514,-519,6551,3608,2280,-591,5059,2819,2011,6083,2347,4311,3981,4757,
净利润(万元),7977,3188,216,9963,5821,2571,-215,7226,4361,2133,-517,5560,3068,1937,-591,4261,2390,1706,5139,2012,3603,3181,4061,
净利润(扣除非经常性损益后)(万元),7778,3118,186,9786,5707,2508,-224,6790,3950,2041,-566,5198,--,1912,--,4160,--,1646,4883,1867,3546,3049,3357,
经营活动产生的现金流量净额(万元),8714,-2136,-6357,16743,4827,454,-4058,11630,1197,-1492,-5284,8506,-886,-3158,-6124,574,-5739,-5245,4814,-1875,3334,5153,4017,
现金及现金等价物净增加额(万元),-29658,-27998,-30619,18338,3176,-926,-4675,6669,-2324,-3863,-6099,3554,-3938,-7401,-5890,36271,32931,-5914,972,-4751,-1462,3575,4253,
总资产(万元),113533,108590,104653,110872,96136,92534,89100,93293,84366,80137,75996,81897,73379,69131,67770,73865,69203,28482,29014,22143,24545,23621,18089,
流动资产(万元),72139,71031,66618,96493,81785,78065,75196,78827,71193,67277,63029,68875,63261,59472,59151,66315,63269,22691,23538,17296,19825,20753,16268,
总负债(万元),23285,25348,22763,29110,17927,17811,16306,20682,14762,12980,10138,15700,9823,8882,6490,11994,9203,8256,10494,6750,8637,8779,6108,
流动负债(万元),18982,20903,18559,24869,16354,16222,14704,19568,13656,11853,9005,14562,9423,8482,6090,11594,9203,8256,10494,6750,8637,8779,6045,
股东权益不含少数股东权益(万元),90030,83028,81559,81299,77927,74292,72278,72518,69510,67063,65763,66102,63460,60249,61279,61871,60001,20227,18520,15393,15908,14843,11981,
净资产收益率加权(%),9.39,3.85,0.26,13.12,7.72,3.49,-0.3,10.43,6.41,3.17,-0.78,8.55,4.91,3.17,-0.96,12.65,9.93,--,30.6,13.21,22.53,23.44,42.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
