报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,1989-12-31,
基本每股收益(元),0.2,0.08,-0.01,0.12,0.12,0.02,-0.02,0.11,0.1,0.07,-0.08,0.04,-0.08,-0.07,-0.06,0.07,0,0.01,0.02,0.09,0.07,-0.02,-0.08,0.18,0.07,-0.01,-0.05,0.15,0.03,0.02,-0.05,0.15,0.06,0.11,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.33,2.26,2.29,2.36,2.29,2.29,2.3,2.25,2.24,2.15,2.14,2.22,2.11,2.03,2.1,2.15,2.04,2.03,2.08,2.12,2.08,2.13,2.17,1.81,1.64,1.55,1.53,1.59,1.67,1.7,1.67,1.69,1.6,1.61,1.6,1.62,1.56,1.56,1.54,1.57,1.46,1.46,1.14,1.23,1.94,1.95,1.92,1.86,2.42,2.38,2.43,2.39,2.38,2.14,2.12,2.2,2.78,2.6,2.39,2.55,--,0,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.09,0.11,-0.13,0.28,0.02,0.04,0.13,0.91,0.56,0.34,0.07,0.63,0.47,0.32,0.02,-0.55,-0.57,-0.52,-0,-0.49,-0.13,0.01,0.07,0.25,0,0,0,0.59,0,0,0,0.63,0,0,0,-0.05,0,0,0,0.18,0,0,--,-0.16,0.06,0.18,0.17,0.12,--,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),67028,41942,16469,109236,75451,45877,19996,106954,69606,44868,16766,87795,59446,37398,14491,80015,50576,32764,14694,91961,62629,41740,10701,78013,41111,18915,8052,53643,36838,23911,9789,62641,46172,34724,22215,66336,32175,22054,9368,41231,32690,22540,9831,49497,35958,23536,9758,41002,29124,18228,7691,33605,22376,14795,5740,22303,10122,25686,15382,30122,12726,26546,9561,14673,7015,6234,3839,9495,5286,7590,3142,14125,6957,--,--,--,--,
主营业务利润(万元),11382,6653,1924,13308,8750,4655,1451,12937,8639,6263,1015,9093,6287,3722,1254,11405,6309,3978,2080,11832,6921,3695,730,9737,5610,2970,951,8898,4833,3101,786,7064,4071,3551,--,9510,3664,2439,860,6765,4355,2958,1100,5967,4016,2700,1158,7083,4633,3180,1159,5471,3297,2195,634,2165,1176,3946,2776,5672,1430,5941,1062,-3275,-1163,-3644,-1348,-668,1134,762,1625,4341,0,--,--,--,--,
营业利润(万元),4052,1602,-316,2286,1916,-30,-610,2171,1455,1213,-1228,-1234,-582,-814,-958,2119,409,287,353,2345,1553,19,-1130,2264,802,-395,-668,1794,361,137,-655,1256,-222,726,1262,2543,-476,-499,-826,-1690,-45,309,-239,-1440,-624,-482,-278,750,-274,43,-323,-1970,-1531,-986,-1516,-8221,-2432,-2595,-296,-538,-1678,432,-1498,-2446,0,-3127,0,108,0,1218,0,3140,0,--,--,--,--,
投资收益(万元),0,--,--,18,18,18,2,203,171,95,61,50,10,--,--,53,37,--,--,--,--,0,0,--,0,--,0,132,132,132,0,494,0,0,0,-2,21,44,2,-155,14,12,-1,1846,-42,-34,-4,189,431,-54,-6,1552,664,464,-106,-1114,2299,1776,64,-215,682,100,603,5440,4339,2998,230,1318,514,1871,850,757,0,--,--,--,--,
营业外收支净额(万元),94,92,15,107,144,69,41,-11,-19,-51,13,5296,29,37,25,55,52,45,41,384,147,114,26,60,66,53,-11,-187,--,--,--,534,--,--,--,752,0,0,-9,-164,0,0,0,720,0,0,0,395,0,0,0,1227,1669,1074,0,0,0,3188,0,4135,0,--,0,0,335,0,252,575,0,0,0,--,--,--,--,--,--,
利润总额(万元),4145,1693,-301,2392,2060,39,-569,2160,1436,1162,-1216,4061,-553,-777,-933,2174,461,332,393,2730,1701,133,-1104,2324,868,-342,-679,1607,575,412,-646,1790,361,1255,1775,3293,761,-605,-833,-2009,-92,312,-239,1126,-657,-506,-269,1334,291,143,-312,808,801,552,-1152,-9409,449,2368,1263,3381,781,3317,709,4106,3367,26,-854,2009,1864,5207,2676,3874,2079,--,--,--,--,
净利润(万元),2724,1079,-181,1725,1605,301,-283,1503,1326,952,-1077,517,-1121,-948,-898,928,28,89,214,1315,1005,-298,-1123,2461,941,-155,-658,2132,427,313,-631,2017,793,1523,1919,3249,658,-634,-799,-2469,-592,-96,-316,1068,-692,-545,-293,613,27,-77,-348,591,321,216,-716,-6389,131,1785,935,2555,508,2548,469,3284,2756,7,-861,1678,1633,4591,2275,3333,1767,--,--,--,--,
