报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.19,0.36,0.13,0.24,0.12,0.09,0.03,0.24,0.24,0.15,0.05,0.39,0.32,0.42,0.18,1.37,0.84,0.51,0.87,0.76,0.7,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.95,9.67,9.52,9.34,3.92,3.56,3.05,2.18,1.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-1.08,-1.4,-1.56,0.75,0.36,0.39,0.08,0.14,0.07,
主营业务收入(万元),212115,120322,57578,84182,28778,19835,8390,44635,30882,18961,8119,48543,34215,22815,8762,48691,32518,21373,40304,32686,21235,
主营业务利润(万元),125073,68414,32107,43864,13308,9104,4081,20259,14501,9263,3934,21602,15242,10044,3656,18414,12490,8038,13654,9990,6635,
营业利润(万元),14604,9150,3405,4534,1673,1242,618,4227,3661,2126,921,6276,5233,3746,1646,8226,5426,3225,5827,4151,2948,
投资收益(万元),-29,-23,-61,60,105,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),60,39,26,292,16,10,32,31,191,191,-0,867,481,-18,-15,1066,220,240,11,-129,-97,
利润总额(万元),14663,9189,3432,4826,1689,1252,650,4258,3852,2317,920,7143,5714,3728,1631,9292,5646,3465,5839,4022,2851,
净利润(万元),12377,7593,2781,3345,1571,1140,392,3149,3259,2065,726,5237,4322,2823,1194,6871,4190,2548,4344,2853,2101,
净利润(扣除非经常性损益后)(万元),12332,7561,2760,3117,1559,1132,363,3116,3116,1922,--,4596,--,2836,--,6071,4025,2368,4335,2949,2067,
经营活动产生的现金流量净额(万元),-8820,3973,-12468,-1313,-6286,-4532,-6287,-2337,558,-4766,-8044,-13282,-14393,-9306,-10400,4989,1823,1953,406,709,224,
现金及现金等价物净增加额(万元),-11148,8713,-12533,8860,-9424,-8627,-8054,-8566,-3857,-6617,-4888,-22910,-18932,-18588,-18665,44199,2184,2666,1814,2661,61,
总资产(万元),259382,239979,223978,220468,94970,95588,99602,97770,96244,94121,92056,88416,89895,81612,75678,79394,35309,33808,29538,24822,21428,
流动资产(万元),142505,128310,118091,114765,81472,82000,86714,84583,84185,82584,80527,77495,80616,72599,67840,71582,28139,26691,22352,17690,14231,
总负债(万元),63787,49998,37981,37297,24110,25100,29214,27671,25858,24365,23606,20945,23250,16922,12039,16958,15716,15887,14161,13907,15952,
流动负债(万元),63274,49460,37418,36704,23980,24960,29094,27511,25858,24365,23406,20745,23250,16922,12039,16958,15716,15887,14161,11907,15952,
股东权益不含少数股东权益(万元),195673,190038,185976,183033,70453,70021,69874,69482,69622,68931,67603,66866,65951,64452,63502,62296,19449,17807,15259,10915,5477,
净资产收益率加权(%),6.55,4.07,1.51,4.18,2.24,1.63,0.56,4.62,4.76,3.04,1.08,8.1,6.7,4.44,1.9,36.75,23.96,15.3,33.04,35.86,40.75,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
