报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,
基本每股收益(元),0.16,0.12,0.06,0.21,0.18,0.13,0.06,0.19,0.17,0.14,0.07,0.2,0.2,0.14,0.06,0.19,0.18,0.12,0.05,0.17,0.16,0.11,0.05,0.15,0.14,0.1,0.05,0.17,0.15,0.1,0.06,0.15,0.12,0.08,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.18,--,2.11,2.05,2.03,1.97,1.97,1.91,1.9,1.85,1.84,1.79,1.79,1.74,1.72,1.69,2.02,1.96,1.94,1.9,2.21,2.16,2.13,2.09,2.35,2.52,2.29,2.25,2.3,2.07,4.04,3.96,4.01,3.93,3.84,3.76,3.82,3.74,3.68,3.61,3.55,3.48,3.62,3.56,3.48,3.4,3.44,2.87,2.89,2.76,2.82,2.73,2.66,1.93,3.43,3.11,3.11,3.13,3.18,3.32,3.05,2.76,2.62,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.14,--,0.33,0.18,0.13,-0.04,-0.07,0.14,0.1,0.19,0.17,0.13,0.02,0.27,0.31,0.21,0.14,0.37,0.29,0.21,0.18,0.22,0.24,0.21,0.11,0.26,0,0,0,0.32,0,0,0,0.59,0,0,0,0.34,0,0,0,0.42,0,0.21,--,0.02,0.31,0.46,0.29,0.65,--,-0.54,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),281286,192992,91211,308418,247428,165842,83515,297987,234232,163909,82184,260465,205352,132169,64637,218658,168979,113057,54965,186570,141985,94572,46812,145022,109440,71867,35062,118398,83762,57193,23453,80775,60361,41226,19198,75691,60539,46166,29364,56436,42460,29209,13709,51842,39829,27395,13145,45077,34210,22620,10856,45977,35678,24861,11590,73184,40234,60200,28500,55509,28631,54933,30362,52821,28993,47539,23484,39377,20356,37267,18594,--,11555,
主营业务利润(万元),54813,37466,18938,71426,56320,38711,18805,66930,54064,37938,20252,65976,52919,35725,17556,62983,51119,34054,16406,57799,45262,30547,14405,47965,36974,25414,12130,43691,32800,22808,9764,32206,24894,16680,--,41669,35751,28767,20973,27083,21178,14403,6552,25429,19690,13305,6351,19297,14576,9528,4731,16557,13269,9237,4177,19322,10027,16663,7964,13665,6474,10268,5452,2381,1614,1629,1066,2137,1303,2251,1345,--,215,
营业利润(万元),21465,15653,7006,24844,21490,15501,7123,18675,19260,14121,6666,20375,19622,13706,5877,19335,18327,12609,5509,17859,16297,11080,4736,13912,12456,9106,3954,13590,11805,8494,3773,10672,8821,6384,3001,21626,19707,17637,15136,8026,6101,4559,2197,8624,6650,4494,1803,7806,6215,4142,1927,6767,5244,3630,1698,6675,3395,4938,2273,3658,1270,2616,1657,2674,0,1972,0,2298,0,0,1391,--,0,
投资收益(万元),2590,2083,531,2773,732,680,359,644,403,217,0,348,321,36,-8,230,228,256,22,814,413,246,227,68,166,172,-16,261,409,53,204,697,702,574,502,307,323,297,30,1434,1412,715,231,536,471,433,472,141,131,119,77,318,173,113,41,79,0,498,412,1181,652,1783,1008,1932,1256,1675,762,1184,434,878,234,--,0,
营业外收支净额(万元),3336,1923,836,985,709,151,8,5207,1059,947,37,466,190,182,108,83,-61,-87,-11,-502,57,30,-5,1235,835,353,225,-203,--,--,--,--,--,--,--,-772,0,0,0,-53,0,0,0,-134,0,0,0,-285,0,0,0,-285,-190,-100,0,-545,0,-49,0,-257,0,0,0,0,-52,0,-23,0,-18,-14,0,--,--,
利润总额(万元),24800,17575,7842,25830,22199,15652,7131,23882,20319,15068,6704,20841,19813,13889,5985,19418,18266,12522,5498,17356,16354,11110,4731,15146,13292,9459,4179,13387,11708,8407,3778,11532,8788,6336,2972,21634,19443,17147,14220,10750,7502,5205,2392,9122,7068,4876,2269,7662,6080,4003,1986,6801,5229,3643,1734,6232,3296,5388,2648,4581,1807,4322,2650,4536,2971,3614,1903,3417,1807,3258,1668,--,281,
净利润(万元),17274,12264,5640,18165,15697,11141,5124,16504,14795,10598,4904,14955,14581,10065,4451,13564,13250,9084,3973,12304,12037,8159,3527,11098,10039,7220,3187,10061,8890,6338,2812,7844,5908,4156,1971,14190,12308,10814,9005,7420,5055,3520,1646,6318,4742,3255,1560,5002,3728,2384,1245,4447,4192,3023,1467,4890,2657,4402,2156,3879,1541,3656,2350,4091,2638,3398,1811,2905,1535,2786,1418,--,298,
