报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.23,0.1,0.08,0.56,0.46,0.32,0.11,0.51,0.38,0.24,0.08,0.67,0.52,0.33,0.12,0.58,0.46,0.32,0.26,1.24,0.94,0.56,0.21,0.93,0.73,0.44,0.18,0.82,0.82,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,6.92,6.73,6.81,6.68,6.54,6.4,12.82,12.49,12.09,11.73,3.76,3.55,0,0,0,2.98,2.49,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.42,0.33,0.01,0.71,0.47,0.37,0.18,1.17,0.53,0.3,-0.13,0.91,0,0,0,1.65,1.1,--,--,--,
主营业务收入(万元),153539,100669,42811,167383,126238,84209,38037,130080,93572,55210,24173,100631,77201,49980,23022,95789,71642,46686,19618,80389,57537,36206,15681,50243,36231,22496,10745,44220,38653,30110,20029,13441,
主营业务利润(万元),46328,28797,12368,52045,39508,26932,11686,42192,30654,19257,9036,40759,31135,20025,8835,36212,27907,18580,8006,30563,21848,13555,5375,18662,13908,8674,3951,16005,13136,9548,6564,4113,
营业利润(万元),11577,5339,1563,12543,9943,7743,2617,11935,8691,5790,2030,16859,13166,8312,3315,14658,12178,8515,3534,15055,10693,5933,2249,9629,7120,4557,1853,7728,6607,5248,3463,2087,
投资收益(万元),4771,240,230,1183,871,559,303,796,415,416,--,349,0,0,--,--,--,--,--,--,--,--,0,--,0,0,11,-55,53,-50,-157,--,
营业外收支净额(万元),547,333,294,1332,1289,63,-15,731,500,173,171,349,291,262,7,340,120,-13,-2,358,331,2,1,193,262,123,-2,--,161,-20,-1,-10,
利润总额(万元),12124,5672,1857,13875,11232,7806,2602,12666,9191,5964,2201,17208,13457,8574,3322,14998,12298,8502,3533,15413,11024,5935,2250,9822,7382,4680,1851,7731,6769,5219,3305,2077,
净利润(万元),11454,5009,1545,12572,10306,7137,2564,11449,8557,5298,1837,14884,11521,7403,2788,13057,10240,7039,2864,12128,8724,4699,1767,7771,6078,3697,1538,6385,6231,4966,3013,1910,
净利润(扣除非经常性损益后)(万元),6235,4739,1293,11491,9275,7065,2577,10883,8137,5155,1691,14600,--,7195,--,12757,--,7050,--,11889,--,4699,1766,7603,0,0,0,6373,5105,--,--,--,
经营活动产生的现金流量净额(万元),4574,-2474,-655,15772,8168,5113,-1997,13474,8768,5804,-13,6386,9382,7299,174,15898,10436,8193,2000,13030,5895,3318,-1067,7626,1770,1083,1197,13819,8353,7959,4569,3882,
现金及现金等价物净增加额(万元),5452,10809,25160,3777,1542,1350,2770,-1442,339,-1965,1255,-37225,-26139,-19672,-12133,-17491,-15055,-12760,-4247,60497,66233,99081,-1139,-2276,-974,-5098,-5310,-1071,4421,1325,1656,-471,
总资产(万元),343956,328092,316840,261553,257847,250858,243566,230100,234068,226954,203769,188894,180980,169730,168736,169279,168451,163753,163940,160824,159944,185217,80022,77216,77395,62252,56994,58704,41830,26803,20481,15295,
流动资产(万元),152138,139912,136603,86769,81943,83922,82437,69350,77325,71853,67833,57986,70204,70104,75618,77962,88937,83537,94811,95299,106459,132667,28723,26032,32314,23622,20627,23150,25654,14839,11204,7278,
总负债(万元),121627,113397,100668,90192,88618,84578,78576,67766,74690,71165,42045,31024,26398,19451,16579,20089,22280,20841,20756,21295,24891,54145,48535,47499,46358,33593,30970,33740,22966,12271,9645,7333,
流动负债(万元),106242,110141,97551,88027,87091,82148,76119,65289,72442,69947,40786,29752,23912,17000,14110,17598,18683,17101,16793,18794,20388,33158,30004,34183,30028,20119,17367,20021,18782,12271,8620,7183,
股东权益不含少数股东权益(万元),216688,209600,211618,171361,169229,166281,164990,162333,159379,155789,161724,157871,154582,150279,152158,149189,146170,142913,143185,139529,135054,131073,31487,29717,31036,28660,26024,24964,18864,14532,10742,7870,
净资产收益率加权(%),5.71,4.55,0.81,7.56,6.21,4.3,1.57,6.99,5.45,3.38,1.06,9.75,7.59,4.94,1.85,9.09,7.15,4.97,2.02,14.14,13.16,14.65,0,27.17,0,0,0,29.21,37.26,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
