报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.29,0.19,0.06,0.47,0.4,0.26,0.08,0.48,0.38,0.24,0.07,0.43,0.6,0.43,0.43,
每股净资产(元),--,--,--,--,--,3.47,--,3.36,--,--,--,3.74,3.44,2.35,2.17,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.37,--,-0.38,--,-0.72,--,0.79,-0.3,0.58,0.35,
主营业务收入(万元),229901,156825,69717,334626,241314,165522,71886,318722,231263,159338,68165,324775,308803,246752,214945,
主营业务利润(万元),61991,40388,17638,84043,60882,41118,17566,80648,58369,38886,16086,78642,73569,60455,52389,
营业利润(万元),12208,7528,2604,16238,13607,8265,2505,15432,12767,8031,2088,16802,15640,15526,9958,
投资收益(万元),4533,2914,1058,7494,5901,3191,794,5865,4551,2626,776,3364,1591,3379,696,
营业外收支净额(万元),717,516,212,1548,671,504,237,1615,468,301,134,975,7576,1190,5184,
利润总额(万元),12926,8044,2815,17786,14279,8769,2742,17047,13235,8332,2222,17778,23216,16716,15143,
净利润(万元),11475,7339,2505,15944,12697,7798,2420,14142,11104,7077,1999,12770,17581,12693,12774,
净利润(扣除非经常性损益后)(万元),10773,6835,2325,14707,12137,7387,2218,12791,10616,6810,1844,11726,11567,10634,7190,
经营活动产生的现金流量净额(万元),-4647,-7836,-8755,7122,-9024,-10937,-9999,-11320,-23460,-21339,-17984,23379,-8899,17054,10332,
现金及现金等价物净增加额(万元),-2759,2115,24031,6774,4430,-12188,-10041,-22263,-29561,-32811,-22861,-9325,35854,3445,-502,
总资产(万元),404987,402140,397882,399301,406208,353751,336801,334278,--,--,--,308180,302851,222660,187814,
流动资产(万元),303342,298415,299357,297359,313651,263852,249298,243469,--,--,--,232806,235217,159398,134608,
总负债(万元),226822,225069,222561,227026,234258,249377,233341,233203,--,--,--,183617,187754,151237,118537,
流动负债(万元),206107,204115,201214,204708,225221,240274,227797,222792,--,--,--,181697,180078,147033,118008,
股东权益不含少数股东权益(万元),176827,175683,173890,170774,169980,102427,101474,99054,--,--,--,110238,101382,69321,63926,
净资产收益率加权(%),6.38,4.16,1.45,12.42,10.82,7.63,--,12.84,9.87,6.33,--,12.17,23.39,19.15,22.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
