报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.3,0.19,0.08,0.64,0.59,0.35,0.12,0.83,0.63,0.77,0.64,
每股净资产(元),--,--,--,--,--,3.66,--,3.65,--,3.12,2.56,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.38,--,0.79,--,0.89,0.21,
主营业务收入(万元),12032,7823,3291,17328,13329,8622,3752,20643,14917,17186,17952,
主营业务利润(万元),4898,3144,1402,7454,5852,3745,1526,9049,6522,7944,7315,
营业利润(万元),2432,1623,668,3661,3157,1965,659,4822,3691,4495,3788,
投资收益(万元),208,208,102,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-56,-136,3,380,304,79,76,61,33,11,239,
利润总额(万元),2376,1486,671,4041,3461,2044,735,4882,3725,4506,4027,
净利润(万元),2023,1259,561,3485,2948,1744,617,4163,3169,3847,3200,
净利润(扣除非经常性损益后)(万元),2071,1375,559,3162,2690,1676,552,4113,--,3838,3019,
经营活动产生的现金流量净额(万元),1169,554,170,4513,3694,1885,1428,3928,2294,4473,1061,
现金及现金等价物净增加额(万元),-5806,7873,-714,5640,16571,-924,-424,324,-495,1399,186,
总资产(万元),48393,48442,47414,47996,48718,29407,--,25431,--,18023,16820,
流动资产(万元),24649,27832,27363,28744,30458,13969,--,14606,--,13780,12759,
总负债(万元),10571,11483,9814,10961,12214,11106,--,7185,--,2404,3995,
流动负债(万元),3264,4156,2486,3634,4886,6739,--,7185,--,2404,3995,
股东权益不含少数股东权益(万元),37822,36959,37601,37034,36504,18302,--,18246,--,15619,12825,
净资产收益率加权(%),5.4,3.36,1.5,15.27,16.19,9.69,3.33,24.77,--,27.44,28.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
