报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.1,0.1,0.05,0.51,0.39,0.27,0.05,0.9,0.48,0.33,0.08,0.89,0.8,0.84,0.6,0.52,
每股净资产(元),3.88,3.87,7.71,7.66,7.54,7.42,7.35,5.8,--,5.23,--,4.9,4.02,3.21,2.37,1.77,
每股经营活动产生的现金流量净额(元),-0.79,-0.59,-0.06,-1.77,-2.01,-1.98,-1.65,0.59,--,-0.78,-0.69,0.8,0.84,0.85,0.6,0.37,
主营业务收入(万元),26476,21378,8270,41901,30761,22604,8911,47347,30199,22053,8289,46155,41535,35409,29458,26528,
主营业务利润(万元),7224,5882,2228,12215,8743,6364,2344,12853,8324,5934,2539,12621,10966,8936,7758,5835,
营业利润(万元),1101,1293,342,3845,2950,2106,236,5913,3066,2085,528,5620,5152,4479,3969,3232,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),729,474,129,1109,868,594,273,1225,678,491,91,1417,1170,2277,849,949,
利润总额(万元),1830,1767,472,4954,3817,2699,509,7138,3744,2576,619,7037,6322,6756,4818,4181,
净利润(万元),1704,1641,394,4410,3333,2329,430,6292,3325,2284,557,6202,5607,5903,4203,3639,
净利润(扣除非经常性损益后)(万元),--,1538,--,3882,--,2052,--,5753,3050,2084,--,5494,5167,4473,3916,3296,
经营活动产生的现金流量净额(万元),-13584,-10093,-510,-15179,-17278,-16966,-14191,4096,-4019,-5483,-4844,5605,5871,5935,4229,2625,
现金及现金等价物净增加额(万元),-15735,-1734,1895,4299,5665,7553,11599,2771,-232,-2753,-4296,416,7121,5224,4087,2916,
总资产(万元),115751,123499,112290,104339,100455,98448,98103,75109,74177,69482,--,69587,64739,48800,32244,21565,
流动资产(万元),93437,104987,93453,85510,82051,80087,80704,57408,57251,52372,--,51621,47238,32369,23370,13528,
总负债(万元),49264,57075,46170,38613,35805,34803,35070,34506,36541,32888,--,35276,36630,26298,15645,9169,
流动负债(万元),47841,55621,44675,37087,34148,30216,30512,27728,30183,23600,--,22927,27780,17948,9895,7169,
股东权益不含少数股东权益(万元),66487,66424,66120,65726,64650,63645,63033,40603,37636,36594,--,34311,28108,22502,16599,12396,
净资产收益率加权(%),1.29,2.48,0.4,8.1,6.33,4.47,0.68,16.8,--,6.44,1.37,19.87,22.16,30.19,28.99,34.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
