报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.49,0.27,0.27,1.37,1.03,0.6,0.19,1.43,0.96,1.2,1.28,
每股净资产(元),--,--,--,--,--,7.34,--,7.11,--,6.01,4.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,1.52,--,1.01,--,1.76,1.93,
主营业务收入(万元),83421,55196,25035,120589,91412,59645,26137,112099,81528,120899,130484,
主营业务利润(万元),19183,12120,5553,24701,18659,12089,5295,23065,17086,21647,20045,
营业利润(万元),8971,4685,2231,9381,6899,3850,1350,9235,5891,7955,8197,
投资收益(万元),305,160,15,55,41,53,-99,673,460,705,1435,
营业外收支净额(万元),699,724,252,676,535,494,151,977,893,540,584,
利润总额(万元),9670,5408,2482,10057,7435,4344,1501,10212,6784,8496,8781,
净利润(万元),7765,4211,1946,8234,6160,3589,1126,8595,5786,7199,7501,
净利润(扣除非经常性损益后)(万元),6833,3088,1665,8695,6774,4538,1346,6893,4716,6878,6062,
经营活动产生的现金流量净额(万元),5889,971,-3134,15260,10011,9149,1627,6069,-5457,10567,11553,
现金及现金等价物净增加额(万元),9399,3763,6285,1659,3400,4008,-782,6958,-1344,-2473,6350,
总资产(万元),126311,118736,119186,91634,94902,94020,--,92165,--,77077,83012,
流动资产(万元),91471,84880,85832,58364,61902,61106,--,58865,--,44537,52604,
总负债(万元),41891,37712,36796,43293,48507,49997,--,49529,--,41016,54042,
流动负债(万元),31389,29087,32428,38887,43326,44712,--,32766,--,40415,53376,
股东权益不含少数股东权益(万元),83956,80513,81920,47915,45993,43673,--,42308,--,35903,28831,
净资产收益率加权(%),15.56,5.51,2.77,18.41,--,8.27,4.14,22.08,--,22.28,30.72,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
