报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.21,0.04,-0.08,0.41,0.05,-0.04,-0.09,0.34,0.03,-0.13,-0.11,0.11,-0.2,-0.32,-0.31,0.56,0.03,0.03,-0.04,0.42,0.02,0.02,-0.12,0.82,0.04,0.05,1.06,0.91,0.65,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.44,3.3,5.68,5.98,5.42,5.41,5.64,5.69,5.29,5.29,9.86,9.98,9.33,4,3.95,2.89,1.98,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.33,-0.38,-0.46,0.35,-0.41,-0.3,-0.32,0.71,-0.1,-0.11,-0.16,0.78,-0.09,-0.11,0.71,0.76,0.79,0.61,0.18,
主营业务收入(万元),31692,15860,4929,32668,16431,9637,3413,28955,14603,7320,2662,24732,11238,4535,1531,24126,12013,7656,2972,18896,8316,5125,1633,12301,5690,4016,13020,12772,7752,4976,4259,
主营业务利润(万元),22347,12122,3791,30828,15366,8808,3211,27963,14210,7052,2600,23501,10449,4121,1273,22733,11315,7260,2833,17195,7530,4549,1341,11125,5228,3665,11706,7780,5802,3820,2987,
营业利润(万元),3895,590,-1563,6555,218,-961,-1739,5717,211,-2420,-2099,794,-4407,-5565,-3435,6019,209,155,-720,3957,-321,-107,-1018,3295,-410,-129,3935,2955,2553,830,701,
投资收益(万元),961,763,510,1880,585,232,22,448,302,-145,-59,-171,-397,-394,-298,299,-181,-76,--,70,-27,-27,--,115,--,0,--,84,58,53,28,
营业外收支净额(万元),588,432,289,1027,704,232,104,618,256,99,167,1453,1034,56,5,550,244,242,240,920,579,367,256,1191,657,398,1229,--,611,-0,-0,
利润总额(万元),4483,1022,-1274,7582,921,-729,-1635,6335,466,-2321,-1932,2247,-3373,-5509,-3429,6569,453,398,-480,4877,258,260,-762,4486,247,269,5163,4473,3164,1480,1112,
净利润(万元),4004,727,-1422,7268,913,-699,-1628,5943,521,-2295,-1927,1953,-3523,-5574,-3377,6139,311,281,-487,4626,219,218,-758,4144,174,224,4858,4166,2956,1422,1067,
净利润(扣除非经常性损益后)(万元),2849,-177,-1957,5010,-161,-1205,-1877,5320,236,-2417,-2042,1021,--,-5621,--,5864,--,275,--,4330,--,216,--,3719,--,224,4560,3703,2886,--,--,
经营活动产生的现金流量净额(万元),-6504,-5957,-5779,8334,-6101,-6326,-5435,7210,-3650,-4864,-3738,4259,-5808,-6765,-5050,3866,-4510,-3335,-3470,7818,-1131,-1204,-971,3943,-576,-485,3233,3497,3592,--,--,
现金及现金等价物净增加额(万元),872,-3557,-85,5210,-9261,-8713,-4506,-273,-9885,-3899,-889,-10805,-17717,-10913,-5525,-7830,-14692,-12683,-4118,-482,-8830,-7913,-3782,36320,34560,-1235,1858,-424,1523,--,--,
总资产(万元),134941,130175,130640,82465,70593,68917,71305,76232,67231,64259,66510,70534,61917,59844,63748,69163,60724,61326,63323,66028,58962,59031,61038,62651,57792,21830,22618,18264,16815,10531,8530,
流动资产(万元),59639,45767,46370,43030,32079,33238,35640,40236,30806,35061,33925,37650,29158,30061,34973,40327,33299,34614,41667,44744,38571,39426,42083,46413,44727,8919,10050,6333,8818,4062,3616,
总负债(万元),5858,4251,3982,6550,1737,1813,1958,5247,1681,1497,1613,3702,1384,1685,1298,3280,1129,1757,1178,3400,712,772,702,1551,680,3403,4413,4941,7448,2066,1561,
流动负债(万元),3764,3300,3024,6421,1601,1662,1799,5087,1515,1322,1437,3525,1384,1685,1298,3280,1129,1757,1178,3400,712,772,702,1551,680,3403,4413,4941,7408,1966,1461,
股东权益不含少数股东权益(万元),128076,124799,125756,74979,68624,67012,69247,70875,65452,62637,64762,66690,60408,58064,62374,65751,59505,59494,62022,62509,58101,58101,60176,60934,56965,18302,18078,13220,9054,8334,6819,
净资产收益率加权(%),3.39,0.65,-1.48,10.04,1.31,-1.01,-2.32,8.66,0.79,-3.52,-2.93,2.98,-5.57,-8.85,-5.27,9.65,0.51,0.45,-0.78,7.53,0.37,0.35,-1.25,12.54,--,0,31.04,37.41,30.28,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
