报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.02,0.19,-0.1,0.04,-0.06,-0.22,-0.18,0.02,-0.2,-0.1,-0.19,-0.94,-0.63,-0.48,-0.26,-1.02,-0.47,-0.27,-0.05,0.66,0.55,0.35,0.09,-0.74,-0.52,-0.45,-0.33,1.06,1.93,1.39,0.6,2.05,0.2,0.12,0.2,0.75,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.26,--,2.79,2.93,3.14,3.4,3.96,4.24,4.58,4.67,4.59,4.41,4.23,4.19,4.38,4.43,4.91,5.1,5.85,5.56,4.95,4.4,3.7,3.62,2.71,2.75,--,--,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.29,--,-0.52,-0.31,-0.29,-0.49,-0.17,-0.08,-0.05,1.09,0.91,0.46,0.17,-0.58,-0.62,-0.59,-0.38,2.29,2.3,1.63,0.8,2.22,0.35,0.13,0.32,0.93,--,--,0,
主营业务收入(万元),4410824,2997212,1483479,6437446,4742707,2994038,1420851,6193414,4608305,3020447,1523441,7205680,5370571,3464719,1569029,6890818,5245674,3422761,1643737,8057843,5974350,3819317,1740538,5573463,3867848,2285069,1075792,11496833,9538157,6216333,2802529,9387996,3288842,2040725,3619805,3387297,2929301,2410631,1903585,
主营业务利润(万元),136715,117747,79932,443279,369827,181553,71341,35253,14709,-47317,-11348,-79417,-61843,-64321,-61199,-344091,-31999,71918,117343,1349596,1105759,704137,288371,-254820,-161276,-243593,-156372,2750956,2887015,1939840,907522,2469286,381770,209872,420489,815834,580909,295443,34654,
营业利润(万元),-215221,-80556,-35987,1429,1956,-55617,-59748,439321,165555,211071,-157643,-600892,-432148,-314147,-179966,-680555,-216866,-33041,54829,988959,819259,513949,183710,-566294,-371496,-342609,-232637,1960518,2537961,1853279,807955,2422624,213205,107382,186306,638185,463876,197439,-122725,
投资收益(万元),111198,78768,36571,211640,121231,84617,39503,989895,585364,553668,28849,172857,132279,83328,37567,217314,185379,136528,66339,175386,129587,64128,28170,-125055,-141614,-114933,-82248,263791,318504,231421,58970,411492,140720,93730,149412,184213,73194,45916,35176,
营业外收支净额(万元),370031,361237,-26900,49299,66512,-82477,-90425,-64948,-28145,-13682,-62,-138843,-45248,-57909,-44917,-100185,-60786,-105216,-58626,-70376,-56425,-18200,-31760,-65024,-73923,-73999,-94519,-472861,--,--,9277,117928,--,--,116022,15609,16568,-5287,0,
利润总额(万元),154810,280681,-62888,50729,68467,-138094,-150172,374373,137410,197389,-157704,-739735,-477396,-372056,-224883,-780739,-277652,-138257,-3797,918583,762835,495750,151949,-631318,-445419,-416608,-327156,1487657,2608759,1880537,817232,2540552,278403,156340,302328,653794,480444,238225,-77703,
净利润(万元),18822,189667,-102909,36253,-65431,-227673,-188015,23547,-203366,-99000,-198796,-955916,-640279,-487154,-269548,-1044886,-477655,-271057,-50327,676096,563861,352610,88217,-754129,-530774,-461707,-335065,1083036,1971160,1415583,613222,1908536,151790,85381,122303,411250,381935,208664,-150094,
净利润(扣除非经常性损益后)(万元),-381447,-200209,-100275,-138218,-198928,-206397,-146323,-717960,-576373,-475701,--,-949416,--,-533850,--,-1046663,--,-272234,--,610062,--,276582,--,-1189265,--,-831391,0,1752035,0,1397489,--,428436,0,34857,76656,380252,--,--,0,
经营活动产生的现金流量净额(万元),566187,583867,110879,590132,439355,139893,-12834,-233813,-322190,-340154,-297218,-529928,-535268,-316652,-291745,-501106,-174656,-84661,-52367,1115183,934274,473137,169942,-587901,-633928,-605836,-387765,2337824,2352219,1668625,813935,2268268,316068,118033,197619,572281,680649,323393,0,
现金及现金等价物净增加额(万元),-2867,423554,-211279,-850087,-600916,-1036402,-12295,184510,202556,905672,354887,-62593,-861686,-614456,-74513,27950,-357709,-288558,-290249,245288,296799,-55667,-5747,1227111,1128044,1116998,230252,-607622,-167544,-530473,-273052,2635990,1533034,1455125,-25062,537841,154233,47465,0,
总资产(万元),15249480,15520499,14610699,14882039,15425698,15116444,16046518,16192581,16650054,16722130,17219527,16522806,15970794,15813683,16030502,15743661,15666422,15633940,15497067,15086786,15162711,14619865,14051070,13861952,13540312,13177192,12104721,11676284,12416822,12135173,11781114,11366344,7567932,7214015,5222951,5061811,4258244,3072752,0,
流动资产(万元),5158418,5630737,4872312,5084328,5527114,5094599,6099390,6482400,6144950,7158828,6843746,6345016,5979056,6092845,6522906,6338643,6253829,6178420,5982591,6102493,6235716,5844151,5687569,5519736,5692385,5479890,4572273,4401169,5529350,5262009,5370271,5444085,3648117,3489706,1738733,1457713,981808,1034714,0,
总负债(万元),10849949,10984087,10395713,10586244,11199079,11063108,11963819,11981200,12685893,12596330,13228047,12353054,11491563,11216539,11247146,10726616,10095164,9754317,9289502,8864811,9045054,8693650,8651688,8522687,8024415,7638995,6165237,5563819,5529020,5533885,5794558,5965228,3461854,3188201,2757593,2692079,3033026,2579269,0,
流动负债(万元),3589594,3738113,3638957,3539867,3831057,3689071,4825083,4812139,5048349,4753555,3914937,3990493,4314567,4632726,4961629,4731556,4614931,4082395,3253037,2840245,2865311,2912196,2831244,2706760,2764347,3120349,2749382,2393017,2924648,3070704,4067345,4351106,2017378,2116638,1659078,1367694,1462354,1365247,0,
