报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.36,0.24,0.09,0.41,0.3,0.15,0.1,0.58,0.38,0.22,0,0.01,-0.06,-0.06,-0.04,0.02,-0.18,-0.11,-0.06,-0.41,-0.16,-0.1,-0.06,0.06,-0.24,-0.12,-0.06,-0.77,-0.15,-0.15,-0.06,-0.21,0.01,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,0.51,0.51,0.53,0.57,0.36,0.42,0.48,0.53,0.79,0.84,0.89,0.94,0.64,0.77,0.82,0.88,1.51,2,2.09,2.16,2.37,2.38,3.36,3.34,3.34,3.31,3.46,3.43,3.41,3.36,3.59,3.55,3.5,3.45,1.91,1.76,1.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.05,0.03,0.02,0.1,0,-0,0,0.01,0.01,0.02,-0.01,0.07,-0.06,-0.07,-0.08,0.1,0.17,0.17,-0.04,-0.09,0,0,-0.14,0.15,0,--,0,0.32,0,0,0,0.21,0,0,0.5,0,0,
主营业务收入(万元),262627,165330,72329,332001,218267,124782,56754,241657,172474,115924,5556,20825,14380,8994,4937,18090,13596,9415,4408,20304,15553,10577,4562,17661,14136,9065,4112,32708,29418,18813,8410,34112,29815,19988,7436,29609,22442,14577,6784,29471,22417,15333,7273,28150,20761,13768,23037,22102,19883,
主营业务利润(万元),69741,47775,17794,77323,51556,30692,14061,59858,36769,24133,582,1313,932,492,232,50,-203,-449,-100,-150,-256,-296,-134,-109,-668,-647,-239,365,356,114,-32,1901,2506,1737,--,4333,3269,2265,1009,5505,4160,2794,1260,5286,3974,2704,5497,6336,5281,
营业利润(万元),38957,23290,9967,41202,29130,14484,7125,33843,21095,11632,10,-1299,-946,-1035,-672,-4329,-2959,-1908,-948,-6899,-2634,-1738,-940,-8489,-4207,-2102,-1109,-4556,-2734,-2108,-844,-2632,214,245,83,1246,1307,1108,486,3354,2495,1762,651,3485,2564,1802,3794,4256,3667,
投资收益(万元),-58,-58,--,68,256,256,--,452,457,-35,--,0,-0,-0,-0,0,--,--,--,51,57,57,57,0,--,0,--,1,1,1,0,81,31,--,0,20,9,3,1,12,9,6,0,-48,-55,-62,47,-0,75,
营业外收支净额(万元),1512,1544,-23,1691,1761,285,251,2177,1307,1302,12,1522,-17,-5,-6,4620,-3,-2,-6,72,32,35,11,8865,-10,8,10,-8856,--,-50,--,--,--,--,--,169,0,--,0,-63,0,0,0,-76,0,0,-52,0,0,
利润总额(万元),40469,24833,9944,42894,30891,14769,7376,36021,22402,12934,21,223,-963,-1040,-678,291,-2962,-1909,-954,-6826,-2602,-1703,-929,376,-4217,-2094,-1099,-13412,-2807,-2158,-875,-2823,166,219,62,1435,1388,1103,472,3303,2501,1742,645,3362,2485,1739,3789,4204,3725,
净利润(万元),31668,20347,8059,34705,25618,12377,6164,29563,19132,10800,21,223,-963,-1040,-678,325,-2959,-1907,-953,-6814,-2600,-1702,-929,961,-4018,-1971,-1026,-12923,-2546,-1956,-787,-2665,127,170,51,1018,989,759,323,2008,1494,1030,394,2002,1476,1020,2258,2486,2298,
净利润(扣除非经常性损益后)(万元),30187,18834,8074,33263,24126,12136,5919,24647,14235,5901,10,-1299,--,-1035,--,-4286,--,-1909,--,-6959,--,-1791,--,-7889,--,-1983,0,-4065,0,-1892,0,-2483,0,178,--,899,0,756,0,1993,0,1046,0,2094,0,1057,0,0,0,
经营活动产生的现金流量净额(万元),21567,26830,-1741,-9882,-3911,-3979,-6967,-6188,-1531,-3142,140,-1161,785,450,380,1651,24,-44,33,107,196,374,-157,1209,-1049,-1101,-1319,1698,2762,2153,-507,-1184,50,58,-1238,1387,-2671,-3867,-4417,2895,4142,1167,-772,1948,650,-97,3086,0,0,
现金及现金等价物净增加额(万元),24229,44338,-11929,40777,44122,8117,-2073,23343,9925,-2426,910,1111,1519,2851,3276,-14,-301,-295,-63,-178,-130,393,155,628,-1735,-1853,-1632,-7557,-4412,-4315,-1742,-3435,-373,1062,2112,-11079,-11142,-13305,-3436,-5444,691,-326,1228,24406,25039,23877,-973,0,0,
总资产(万元),1170559,1107130,1001484,974902,918103,829483,739769,704852,601679,512341,31728,30128,30741,30083,30799,25874,25982,26442,27535,28166,31782,32588,32863,36268,41465,42909,44711,47448,53292,53484,58297,58913,59250,59954,60347,55020,55085,51598,53508,54827,55706,51593,53540,47679,48581,47427,25313,22405,18128,
流动资产(万元),333898,316159,255922,246556,305157,277708,216309,202345,200258,147533,11362,10001,10610,10038,11071,5676,5345,5294,5927,6107,6374,6599,6265,5839,6476,6604,7493,9342,16929,15597,22076,23192,24897,26381,27528,22811,25755,24587,32934,34769,38896,37111,41202,36832,38310,36926,14373,13211,10912,
总负债(万元),769551,818177,710114,691589,644353,568970,485769,457016,446575,365569,21939,20360,22159,21578,21932,16214,19895,19302,19441,19117,18509,18416,17917,20100,29855,29177,29972,31617,26739,26284,29793,29558,26981,27608,27543,22421,22489,19211,19729,21382,21365,19576,19264,13850,15296,14667,12282,10195,8480,
流动负债(万元),544225,591265,467824,470416,413999,375981,305660,294338,247812,217174,21939,20360,22159,21578,21932,16214,19891,19298,19437,19113,18505,18412,17913,20096,20981,20303,21099,22744,26135,25080,28587,28351,25777,26104,26039,19899,20985,19207,19725,20974,20947,19093,18782,13781,15227,14598,12213,10150,8480,
股东权益不含少数股东权益(万元),398590,286851,291084,283024,273454,260213,254000,247836,155104,146772,9789,9768,8582,8505,8867,9545,5940,6991,7945,8899,13112,14011,14784,15713,10735,12782,13727,14753,25129,25720,26889,27676,30468,30511,30850,30609,30580,30350,31748,31425,31298,30834,32949,32554,32069,31613,11802,10835,8425,
净资产收益率加权(%),9.89,7,2.81,13.08,9.86,4.87,2.46,18.5,12.93,7.55,0.22,2.31,-10.63,-11.52,-7.37,3.57,-39.88,-24.01,-11.32,-55.37,-18.04,-11.45,-6.09,6.31,--,-14.31,0,-60.92,0,-7.33,0,-9.12,0,0.55,--,3.3,0,2.41,0,5.98,0,3.43,0,9.23,0,9.04,20.65,25.72,31.4,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
