报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.18,0.16,0.05,0.3,0.24,0.14,0.07,0.65,0.51,0.28,0.16,0.93,0.72,0.47,0.2,0.91,0.93,0.62,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,6.94,6.69,3.88,3.84,3.33,2.4,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.1,0.03,-0.01,0.84,0.54,0.78,
主营业务收入(万元),56935,34905,13126,69022,50339,30288,11172,66281,48336,30023,11027,56109,40200,24588,10110,55326,44762,31653,
主营业务利润(万元),19685,11815,4407,24081,17457,10423,3707,23532,17069,10645,3910,19344,13613,8274,3397,17489,14514,10121,
营业利润(万元),10170,5778,1763,10826,8470,4718,1381,10517,8375,4622,1588,8345,6616,3862,1629,7246,7428,5097,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,9,19,
营业外收支净额(万元),306,261,147,200,55,38,33,484,361,240,217,718,84,17,15,160,111,132,
利润总额(万元),10476,6039,1910,11026,8525,4756,1415,11002,8737,4862,1805,9063,6700,3879,1644,7406,7539,5230,
净利润(万元),7482,4483,1350,8243,6605,3789,1002,8790,6932,3784,1423,7408,5450,3173,1358,6205,6305,4201,
净利润(扣除非经常性损益后)(万元),7250,4280,1242,8083,6568,3766,980,8407,6639,3589,1245,6799,--,3159,1346,6086,6221,4097,
经营活动产生的现金流量净额(万元),3829,4427,1234,11140,8076,3440,-825,8118,5501,1321,589,5571,922,286,-95,5719,3697,5290,
现金及现金等价物净增加额(万元),2243,-1112,-3254,-11942,-3565,-1500,-3105,-8996,-8814,-5884,-2713,26733,25188,31199,-486,-812,2870,-619,
总资产(万元),139943,121141,114590,116604,117290,100300,93799,94996,91640,92648,88808,90405,82430,86086,45702,47553,45487,30831,
流动资产(万元),75652,63524,58091,63243,67897,65170,59804,61440,60574,63391,62110,63697,61677,66166,26237,28377,33949,19097,
总负债(万元),47706,31083,28010,32021,34272,22996,17348,19598,18208,22461,19535,22595,19367,25312,19227,21317,22777,14482,
流动负债(万元),45719,29096,26042,30037,32489,21210,15534,17802,17951,22204,17720,22322,17817,23762,17677,19767,21227,14482,
股东权益不含少数股东权益(万元),83710,82892,79759,78409,76771,73955,73208,72206,70349,67201,66381,64958,62950,60671,26379,26143,22658,16353,
净资产收益率加权(%),9.13,5.56,1.71,10.95,8.83,5.11,1.38,12.86,10.23,5.68,2.17,16.4,19.4,11.69,5.06,26.16,32.32,24.76,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
