报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
基本每股收益(元),0.09,0.01,-0.03,0.23,0.07,0.05,0,0.47,0.26,0.15,0.1,0.77,0.32,0.18,0.07,1.21,0.43,0.23,-0.08,1.02,0.39,0.25,0.01,1.52,0.61,0.46,0.94,0.46,1.04,0.75,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,7.87,7.4,7.23,14.19,14.12,13.34,13.14,13.13,13.21,12.62,12.48,12.82,12.82,3.68,3.51,3.06,0,2.2,1.39,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.14,-0.12,0.01,0.68,0.11,0.06,-0.41,-0.08,-0.5,-0.39,-0.16,0.85,0.39,0.28,0.25,0,0.5,1.07,
主营业务收入(万元),16466,6709,1749,19538,11601,7084,2652,31055,21217,13859,6004,34213,19055,11935,4650,24282,14565,9869,4363,18152,8577,4467,831,12546,7207,5268,11287,6164,11042,9317,
主营业务利润(万元),9207,3884,938,11889,6782,4251,1504,20382,13732,8993,4140,22650,12845,8046,2970,14956,8585,5181,1359,10856,5176,3032,626,9499,5443,3928,8576,4646,7851,5010,
营业利润(万元),1732,-19,-1023,4335,445,566,-460,10961,5644,3544,912,9548,3602,2272,310,6636,2694,1333,-699,6024,1885,1237,-445,6018,2521,1893,4338,2101,5269,3794,
投资收益(万元),60,60,--,--,--,--,--,-107,-107,-107,--,-128,--,0,--,-17,--,--,-7,653,558,551,--,716,280,280,--,0,6,-13,
营业外收支净额(万元),1227,364,240,2178,1748,1166,653,3234,2399,1049,579,1820,1363,425,300,2653,799,560,199,1461,1116,666,493,2241,763,479,759,--,--,623,
利润总额(万元),2958,345,-782,6513,2193,1732,193,14195,8043,4593,1491,11369,4965,2697,610,9289,3493,1893,-501,7485,3001,1903,49,8259,3284,2372,5097,2629,5673,4417,
净利润(万元),2486,279,-834,6156,1978,1522,102,13312,7391,4243,1348,10648,4315,2378,489,8053,2899,1520,-509,6775,2596,1660,38,7610,3066,2320,4724,2294,5203,3727,
净利润(扣除非经常性损益后)(万元),1970,204,-872,5232,1245,1079,-30,12996,7026,4259,1316,10165,--,2256,--,6380,--,1268,--,5649,--,817,--,6816,2669,1972,4458,0,5110,3269,
经营活动产生的现金流量净额(万元),22970,112,-727,16502,8811,8213,4518,12652,5896,5882,3849,2684,-1950,-1746,49,4543,714,413,-2719,-557,-3315,-2612,-1051,5669,1959,1389,1260,795,2517,5351,
现金及现金等价物净增加额(万元),22412,-4166,-1821,-5418,-4315,-3782,4347,8351,2816,2925,2419,3537,-204,18,-2082,-212,-6702,-5823,-4187,-17129,-17000,-7732,-3317,59890,-2366,-491,1105,-1429,-874,5736,
总资产(万元),321956,123759,129613,132023,127882,127187,127926,129311,123048,120154,118355,117202,109581,105913,99406,101583,94505,93066,91653,94079,88752,88407,86518,88728,23941,24020,22675,0,17788,15766,
流动资产(万元),147356,95578,100425,102313,97460,96284,97286,98223,92031,89180,87112,86605,80373,76630,71456,73136,66435,65702,66902,72384,66764,73813,74650,78274,15829,17427,16548,--,11335,13736,
总负债(万元),43663,5139,6554,8103,3365,3490,3896,5453,5295,5603,5505,5865,4885,3920,4459,7104,5163,5276,3884,5784,4510,5048,823,3033,5402,6319,7144,--,6768,8462,
流动负债(万元),43436,5012,4906,6455,3365,3490,3896,5453,5295,5603,5505,5865,4885,3920,4459,7104,5163,5276,3884,5784,4471,5048,719,2927,2144,3079,7015,--,6375,8462,
股东权益不含少数股东权益(万元),277889,118191,122590,123424,123081,122570,123890,123687,117666,114417,112664,111122,104467,101727,94641,94153,88999,87620,87592,88100,84156,83220,85525,85500,18384,17537,15295,0,11019,6950,
净资产收益率加权(%),1.83,0.23,-0.68,5.11,1.61,1.23,0.08,11.36,6.47,3.76,1.21,10.36,4.38,2.48,0.52,8.89,3.29,1.73,-0.58,7.85,3.07,1.96,0.04,39.97,0,14.13,35.9,0,62.74,73.97,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
