报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-03-31,2002-12-31,2001-12-31,
基本每股收益(元),0.36,0.27,0.07,0.78,0.48,0.3,0.08,0.6,0.38,0.24,0.07,0.52,0.37,0.25,0.08,0.43,0.31,0.2,0.06,0.4,0.3,0.21,0.06,0.3,0.23,0.16,0.06,-0.95,-0.39,-1.07,-1.32,0.25,0.22,0.15,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,5.91,--,5.66,4.91,4.64,4.56,4.34,4.23,3.91,3.8,3.7,3.54,3.37,3.2,3.04,2.97,2.39,2.17,2.73,2.05,1.66,2.98,3.04,2.97,2.87,2.74,3.19,3.22,3.25,3.21,3.26,3.18,3.16,3.12,3.09,3.03,1.87,2,0,1.82,1.64,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.37,--,1.17,0.75,0.37,2.15,1.19,0.75,0.37,1.31,1.29,0.49,0.11,0.85,1.17,0.06,0.15,2.05,0.76,0.38,0.27,0.83,0.68,0.26,0.05,0.5,0,--,0,0.5,0,0,0,0.07,0,0,0,0.4,0,0.61,--,
主营业务收入(万元),170299,113633,58015,226979,169486,107911,56030,219588,163805,103211,52488,209593,159640,104418,51672,185571,137897,89125,43929,168656,129435,82350,40588,144058,110037,67776,33205,125051,96154,57756,24084,135243,94344,57310,27768,99985,71558,44112,23251,83430,62129,38479,18118,60024,42578,27031,13193,50846,11209,39895,36374,
主营业务利润(万元),30742,20885,9173,42383,33243,21114,9694,46773,32854,21134,12876,42111,30886,21876,13540,38593,28872,18878,11950,37163,27748,17830,10311,27740,22422,15145,9614,28014,24096,12368,1435,31023,21880,14034,--,15489,14854,11082,4753,22019,16442,10308,4170,13815,9138,5285,2361,11602,1788,9540,8021,
营业利润(万元),17043,11771,4111,28724,15362,8610,4032,21839,16415,10131,3932,20360,15983,11126,4186,18357,14375,9137,3229,19278,14496,9660,3114,12287,10731,7291,3086,-4418,7933,2789,-2411,13540,11096,7070,2744,1889,5975,5607,1954,9772,8325,5083,1753,6032,4818,2806,1324,6031,559,4927,3894,
投资收益(万元),1869,1513,-51,10492,91,122,-26,-5,115,25,-23,248,155,149,-23,648,61,61,7,1017,22,22,--,763,1,1,1,-84,5,5,5,153,55,10,-87,-694,220,44,27,-82,233,123,32,1,1,1,1,4,0,--,--,
营业外收支净额(万元),332,231,122,-1958,228,130,82,529,-16,35,20,969,288,257,138,660,104,126,-1,-355,-510,-39,123,743,-231,-95,-64,-7214,--,-21336,--,--,--,--,--,-1368,0,--,0,-267,0,0,0,-97,0,0,0,-62,0,-88,-44,
利润总额(万元),17375,12002,4233,26766,15590,8740,4114,22367,16398,10167,3952,21329,16270,11383,4324,19017,14479,9263,3228,18923,13986,9621,3237,13030,10500,7196,3023,-11632,-1749,-18547,-26080,13158,10948,7112,2693,-173,5884,5649,1964,9423,8415,5149,1765,5936,4786,2813,1334,5972,521,4839,3851,
净利润(万元),9416,7181,1860,17112,9997,6335,1695,12657,8080,5104,1453,11009,7858,5299,1678,9016,6424,4170,1261,8342,6290,4449,1305,6240,4935,3413,1194,-19929,-8199,-22489,-27852,5155,4562,3074,1154,-6094,1845,2653,819,4326,4461,2730,944,3545,3207,1884,894,3884,349,3344,2614,
净利润(扣除非经常性损益后)(万元),9340,7007,1768,10039,9825,6237,1633,11930,8086,5077,--,9975,--,5111,--,8422,--,4004,--,8749,--,4503,--,5672,--,3483,0,-12736,0,-2074,--,5509,0,3039,--,-4982,0,2654,0,4577,0,2768,0,3612,0,1880,0,3956,0,3400,2668,
经营活动产生的现金流量净额(万元),45788,22942,12191,39593,26720,17866,7357,34007,19063,12643,7784,43230,24585,15820,7835,45222,24930,15675,7791,27504,27195,10327,2315,17779,24600,1329,3225,43059,15975,8070,5638,17555,14302,5386,1045,10454,3323,3711,1711,10451,10659,2062,-1621,1383,3479,1262,41,5667,0,--,--,
现金及现金等价物净增加额(万元),68967,60872,59838,41753,-23262,-21318,-19837,19701,33504,41270,-8163,-12160,-6912,11715,-7694,-29759,-21800,-17440,-4900,35296,31091,42027,17995,27129,10521,2947,2394,22407,12022,12118,18318,-726,-756,-638,-2679,-565,-4436,-6211,-6764,10510,7570,4409,4804,5553,10580,23936,198,1649,0,--,--,
总资产(万元),783291,776448,765162,692134,563902,546596,536862,534524,537188,529175,481098,477587,465887,462610,426313,417912,400267,391916,399365,390149,378540,356529,330397,308366,290229,286215,246094,234304,245633,231825,219444,219913,212797,216373,215492,211032,202447,198479,198463,205595,181483,173775,156493,130468,109846,106822,71813,68482,0,54954,48747,
流动资产(万元),274949,280871,284474,233725,143718,141648,142026,149559,166632,167848,122651,122811,145404,161112,133789,128629,142072,137936,156186,149655,151451,157218,129501,107375,93209,91445,87236,75121,95062,98835,95690,75748,67375,71620,70547,65698,65956,64933,62708,70971,57828,51858,50893,41740,39424,49748,24486,24116,0,20302,20775,
总负债(万元),485834,490013,483274,412911,367662,363051,352500,353489,361123,358633,332680,331873,324150,333275,307656,302415,290834,284443,300204,294666,283410,265849,244877,223977,210074,205067,178323,172598,171481,165514,163560,137731,130601,137487,139732,139434,124133,120909,121213,127587,106234,100400,83443,62770,44881,43183,45646,40404,0,29357,25744,
