报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-06-30,2001-12-31,2000-12-31,
基本每股收益(元),0.35,0.29,0.09,0.38,0.32,0.24,0.08,0.37,0.23,0.16,0.06,0.32,0.27,0.2,0.06,0.55,0.43,0.3,0.17,0.81,0.68,0.44,0.18,0.61,0.4,0.21,0.07,0.31,0.28,0.18,0.07,0.22,0.19,0.12,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,5.09,--,4.99,5.31,5.18,5.11,5.46,5.33,5.2,5.03,3.34,3.1,2.93,2.75,2.57,2.38,2.24,2.16,2.15,2.05,1.94,1.87,1.82,1.75,1.72,1.65,1.62,1.58,1.53,1.5,1.48,1.47,2.06,2.03,2,1.96,1.88,1.83,1.79,1.18,1.15,1.08,0,1.05,1.01,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.87,--,-0.17,0.03,-0.65,0.44,-0.47,-0.63,-0.36,0.63,0.43,0.39,0.14,1.19,0.9,0.7,0.34,0.6,-0.01,-0.07,0.02,0.23,-0.17,-0.16,-0.12,0.46,0,--,0,0.22,0,0,0,-0.04,0,0,0,0.1,0,0,0,0.58,0,0,0,
主营业务收入(万元),515360,356398,166263,655359,471181,313670,138273,563282,396707,249899,99732,488266,341588,220487,91545,428632,300519,200934,100337,343113,258537,172159,79169,251001,174920,107472,44320,197204,155167,103398,44334,169280,125965,83232,37481,127540,96626,59257,25240,131785,94247,58476,23549,101563,70558,43855,18081,58648,43660,27241,21595,49915,22484,38712,17441,
主营业务利润(万元),104667,72671,32536,125845,93629,63060,25873,103675,72407,45817,19501,92909,68838,44809,17897,91263,63354,43186,21760,83186,63466,42197,19304,64206,43543,25687,10114,46612,36039,23584,9829,36270,26844,18536,--,27991,19982,13118,5842,23596,17089,11353,5020,25403,18742,12279,5601,20258,14622,9235,7601,19375,8040,14604,6391,
营业利润(万元),30083,24262,8935,33912,27125,19528,6602,26273,18093,11391,4463,27222,23090,16789,6733,38297,30696,21363,11392,46696,39029,25895,11340,37954,25842,14112,4799,21304,18924,11873,4649,14823,12140,8123,3309,12583,9595,6208,2545,9073,7631,5567,2299,12623,10362,7221,2966,9632,6900,4734,3835,11287,4321,8497,4024,
投资收益(万元),3300,2122,928,2801,1702,1170,592,2901,1905,1161,770,2363,1398,957,522,1655,1174,936,556,1084,964,548,267,715,505,302,81,195,246,246,67,223,228,-12,-10,-251,-205,-128,14,-301,-115,-108,-97,-521,-219,-146,-73,-292,-219,-146,-122,-292,-146,-292,-52,
营业外收支净额(万元),833,542,107,1936,749,389,80,2572,869,628,192,1714,852,682,401,846,791,675,547,1018,659,429,122,283,235,102,15,-2,--,-40,--,98,--,--,--,51,0,--,86,0,0,0,0,-88,0,0,0,-49,0,0,0,0,0,0,0,
利润总额(万元),30916,24804,9043,35848,27874,19917,6682,28845,18962,12019,4655,28935,23942,17471,7133,39143,31488,22038,11939,47714,39688,26324,11461,38237,26078,14213,4813,21302,18996,11833,4604,14921,12209,8180,3347,12520,9530,6204,2683,8833,7586,5490,2193,12068,10225,7071,2884,9355,6700,4597,3723,10949,4177,8082,3944,
净利润(万元),12521,10460,3200,13712,11520,8696,2770,13454,8450,5643,2173,11735,9858,7137,2251,19863,15469,11013,6210,25194,21106,13576,5740,18983,12578,6699,2314,9746,8687,5628,2216,6964,5829,3770,1484,4847,4053,2544,1143,2838,2377,1849,681,4895,4337,3261,1345,2857,1991,1709,1233,4203,1524,2986,1926,
