报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-03-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.19,0.04,0.01,0.16,0.14,0.04,-0.01,0.12,0.1,0.03,-0.01,0.06,0.09,0.11,0.13,0.08,0.07,0.06,0,0.04,0.1,0.08,0,0.17,0.03,0.03,0,0.06,0.05,0.05,0,0.05,0.07,0.06,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.04,2.05,2.08,2.1,2.12,1.99,1.98,1.97,1.91,1.91,1.97,1.95,1.88,1.87,1.75,1.76,3.51,3.5,3.49,3.49,3.44,3.44,3.46,4.15,4.1,4,4.03,4,3.93,3.94,4,3.92,3.87,3.83,3.79,5,3.7,3.62,0,3.17,2.74,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.21,--,0.07,-0.38,-0,-1.53,-0.33,-0.1,-0.01,0.53,0.39,0.16,-0.02,1.15,1.02,0.94,1.01,1.05,0.43,0.63,0.69,0.7,0.57,0.42,0.43,0.5,0,0,0,-1.6,0,0,0,0.29,0,0,0,0,0,0,0,0,
主营业务收入(万元),116691,47699,19264,111544,69698,36269,6600,90794,49559,31069,8861,150847,98283,54014,26703,130637,83928,55173,14575,95592,72429,41223,6522,71658,47799,29111,7388,47684,40739,25703,8023,65726,47006,26514,7163,50694,44389,30763,6573,54157,41122,25900,6620,55551,39768,21938,6523,49287,5190,44339,38173,25634,
主营业务利润(万元),17820,5645,2672,12965,11475,5656,1109,8310,3528,4616,1233,10459,10326,8717,7766,11952,5717,4008,1127,3693,6486,5091,780,9870,6919,5179,1695,6881,7158,4669,1989,11879,8914,5642,1938,10525,8834,5984,1456,13821,8556,5313,1989,11797,9175,5199,1821,10692,1239,9641,8104,6129,
营业利润(万元),10294,2726,881,7711,7853,3169,-513,-2714,-2638,1037,-659,1401,2624,4345,5538,-120,1764,1705,-240,215,3254,3016,-86,5081,826,1357,-77,-1303,1807,1530,201,3358,2831,1865,251,1785,2592,1530,-371,4554,4448,2345,946,5168,4858,2557,999,6540,772,5802,4605,4756,
投资收益(万元),3285,2057,613,2461,1996,1129,545,1710,1465,758,382,391,391,447,246,719,1121,869,307,1895,872,482,239,522,321,200,42,-530,-497,-387,-321,-1661,-775,-507,-280,0,0,0,0,177,177,0,0,0,0,0,0,0,0,9,0,6,
营业外收支净额(万元),290,298,243,-644,-1423,-1618,82,12076,11738,211,34,353,125,106,30,470,222,130,3,378,8,-19,15,1442,28,35,5,--,--,-6,--,--,--,13,-38,25,0,0,0,96,0,0,0,-0,0,0,0,-11,0,0,0,0,
利润总额(万元),10584,3024,1124,7067,6429,1550,-432,9362,9100,1248,-624,1754,2749,4452,5568,350,1985,1835,-237,593,3262,2997,-72,6522,854,1392,-73,1731,1815,1524,200,3347,2838,1878,213,2042,2699,1626,-394,4985,4736,2411,1012,5300,4863,2553,1011,6529,759,5837,4614,4753,
净利润(万元),7529,1444,222,5354,4806,1232,-437,3918,3429,1106,-360,2018,2969,3724,4379,2613,2257,2024,98,1206,3365,2715,85,5800,1074,1091,20,1061,789,813,27,802,1094,789,30,844,1283,842,-185,1568,2468,1351,568,2829,2701,1381,603,3367,236,3285,4920,3184,
净利润(扣除非经常性损益后)(万元),6525,205,-598,4347,5356,2183,-487,-840,--,1004,--,--,--,3697,--,2492,--,1958,--,966,--,2598,--,2126,--,1064,0,-1521,0,817,--,436,0,780,--,690,0,778,0,1370,0,1306,0,2741,0,1384,0,0,0,0,0,0,
经营活动产生的现金流量净额(万元),17302,8338,4592,628,8023,-5018,3772,-50820,-36629,-52373,-7206,7088,2191,-12706,-103,-51184,-11122,-3501,-348,17933,13208,5472,-606,38397,34111,31645,16897,17594,7246,10612,11513,11743,9596,5833,6006,6967,4861,6729,-4807,-22417,-3735,-6548,3871,4096,3478,3239,-191,-2058,0,11218,5694,0,
现金及现金等价物净增加额(万元),55590,53666,23169,-29167,-20070,7662,-1165,880,5076,-12606,-594,14033,4741,-10489,4327,-31038,-32414,-52344,-44589,21403,19935,6980,-6043,5358,6124,6781,22752,12520,572,-5961,2796,6063,7882,7904,3865,-5105,-2740,-4516,-9733,2250,-3528,-4846,-1770,19163,16199,20621,-1820,-8986,0,6342,4493,0,
总资产(万元),913071,520941,495448,464135,449247,442247,396471,412807,371054,334733,281244,279650,258420,239977,222991,240797,222113,191202,194992,195930,167932,155722,138732,146881,132223,139653,168719,168885,137057,130006,141742,177830,161010,161586,150403,170887,156575,161313,158249,172569,134710,126843,118697,132671,112917,110684,65504,69129,0,53591,44950,40570,
流动资产(万元),589812,442194,417008,373967,360468,360398,313558,317086,263483,262648,217774,214960,200827,183278,170908,188992,134978,103899,108684,155398,129233,117216,100883,108873,99145,106345,135287,134217,103554,95855,106771,139144,121198,121144,110235,110820,92994,97293,94986,108864,68051,66342,61335,76339,63023,60575,34759,38680,0,33629,26482,25062,
总负债(万元),530848,439538,415648,385109,370686,367158,322963,338788,297880,266934,214762,212207,189444,169283,151178,172984,152252,121374,126798,127473,97849,85945,71121,79132,68585,75295,104413,104439,74558,67741,80351,116378,99388,100201,89963,111899,97134,102465,99564,113517,75421,68864,60677,75432,55984,53169,33254,37652,0,26508,21893,24284,
流动负债(万元),488086,395969,371198,341276,326342,317238,274724,290428,251339,231955,211532,208981,185853,165729,147624,169430,148918,118041,123622,124257,94581,83677,68839,76850,66738,73221,102486,102694,74558,67741,80351,116378,99388,100201,89963,91899,75168,80499,77598,91506,55421,51857,49170,65432,55973,53151,33243,37651,0,26493,21893,22691,
股东权益不含少数股东权益(万元),378361,77779,76556,76334,75786,72212,70543,70980,70418,69761,68295,68635,69677,70378,70997,66617,66261,66028,64102,64004,66163,65514,62883,62798,58812,58829,58764,58744,58535,58501,57715,57688,58040,58014,57256,55879,56297,55856,54900,55040,55927,54810,54029,53459,52941,53763,28657,28054,0,24544,21259,16286,
净资产收益率加权(%),6.67,1.87,0.29,7.27,6.55,1.72,-0.62,5.59,--,1.6,-0.53,2.98,4.26,5.38,6.36,4,3.47,3.11,0.15,1.9,5.09,4.23,0.14,9.6,--,1.85,0,1.8,0,1.39,--,1.39,0,1.36,--,1.52,0,1.52,0,2.89,0,2.49,0,6.29,0,3.75,0,12.84,0,14.34,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
