报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-06-30,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.26,0.06,0.02,0.25,0.32,0.21,0.07,0.14,0.11,0.01,-0.1,-1.42,-0.88,-0.58,-0.2,0.39,-0.01,-0.04,-0.01,-0.17,-0.08,-0.08,-0.03,0.01,0.02,-0.01,0,0.03,0.06,0.04,0.01,0.09,0.1,0.05,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.33,--,2.95,3.26,3.69,3.89,1.95,1.93,1.96,1.96,2.06,2.06,2.1,2.14,2.15,2.11,2.13,2.13,2.16,2.14,2.16,2.15,2.16,2.12,2.14,2.12,2.14,2.11,2.21,2.19,2.12,2.09,2.17,2.14,2.09,2.05,2.97,2.93,2.86,2.81,2.71,1.71,1.56,1.4,1.1,1.23,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.2,--,-0.31,-0.19,-0.33,0.86,-0.13,-0.11,-0.04,0.01,0.05,-0.05,0.02,0.3,0.09,0.01,-0.03,0.25,0.26,0.02,0.02,0.34,0.3,0.15,0.1,0.2,0,--,0,0.08,0,0,0,0.25,0,0.11,0,0.32,0,0.04,0,0.28,0,0.24,0.18,--,
主营业务收入(万元),327448,142016,68201,324928,196226,126904,47941,269014,190345,118639,44269,196350,118575,84656,34936,407129,50473,31508,14009,47235,34441,21871,9799,38776,29089,18328,8474,39578,33476,23446,10958,37711,28470,18561,8407,36002,27022,17272,8392,43294,30802,20487,9865,36996,26040,17335,8001,29492,21544,14945,6024,24795,12536,23392,20258,16970,
主营业务利润(万元),59671,24276,10202,60745,42468,27387,10065,51260,34768,20925,7742,-82,8453,8061,4685,66725,9423,5634,2492,10327,8202,5137,2388,10360,7708,4803,2068,9863,8330,5935,2678,9976,7320,4587,--,6674,5669,3489,1697,8767,6498,4471,2337,9067,6274,4439,1966,8341,6231,4422,1488,7063,3461,6951,7272,4926,
营业利润(万元),13955,2180,504,7177,13968,9256,2980,6898,4887,291,-4873,-67860,-43412,-28262,-9591,9629,-514,-749,-439,-4203,-1554,-1542,-661,-510,127,-124,-11,-688,409,304,243,1169,2020,1193,326,40,1014,612,187,686,1491,1250,853,3468,2334,1949,713,3046,2416,1961,477,3136,1567,2958,3790,1668,
投资收益(万元),1058,1214,403,65,--,0,0,488,488,488,79,707,--,0,--,--,-331,-196,-145,-974,-1019,-727,-177,-293,172,-508,-21,-134,-216,-205,-111,-342,485,317,165,257,539,341,169,656,427,198,-80,372,81,-227,-11,-40,-49,-28,1,5,2,168,-14,25,
营业外收支净额(万元),449,634,283,1169,1575,1108,177,36,669,333,189,-112,542,496,-78,3738,801,282,480,884,524,308,133,1303,885,70,40,1212,--,--,--,980,--,39,--,893,0,--,0,1975,0,0,0,114,0,0,0,37,42,0,0,-44,0,35,0,-130,
利润总额(万元),14404,2814,787,8346,15543,10365,3157,6935,5557,623,-4684,-67972,-42871,-27766,-9669,13367,287,-467,40,-3319,-1030,-1234,-529,793,1012,-54,29,524,1353,915,286,2149,2281,1232,347,1713,1914,1188,420,3832,2622,1693,693,4369,3003,2197,732,4012,2961,2283,800,4370,2425,3768,4245,1843,
净利润(万元),14786,3327,1143,11986,15522,10331,3170,6888,5488,508,-4632,-68828,-42693,-27877,-9890,10582,-287,-818,-154,-3955,-1763,-1817,-773,238,543,-277,4,584,1354,910,283,2049,2265,1212,346,1458,1869,1209,414,3376,2423,1666,761,4146,2856,2010,644,3809,2903,2133,534,3612,1840,3419,3539,1146,
净利润(扣除非经常性损益后)(万元),13279,1478,456,10748,13951,9227,2997,6370,4331,-312,--,-68880,--,-28335,--,7669,--,-1284,--,-5276,--,-2362,--,-2724,--,-672,0,-1258,0,-108,0,557,0,849,--,-356,0,832,0,1447,0,1503,0,3036,0,1552,0,3056,0,1959,0,3468,1679,2729,0,--,
经营活动产生的现金流量净额(万元),45066,4548,-7818,20214,-27743,4806,9147,71563,29385,10041,9824,-18167,-15085,-9215,-16133,41704,-2971,-2587,-859,244,1146,-1229,512,6802,1999,197,-646,5809,6009,401,453,7725,6929,3416,2289,4682,4437,2935,2039,1768,1246,-1716,1957,5698,7850,2577,1088,5314,1627,692,-283,3235,1474,2763,0,--,
现金及现金等价物净增加额(万元),49175,-8173,-4665,-28468,-35812,-15648,-22667,40246,16056,5309,24616,-33045,-29412,-2588,-2557,-17832,319,4582,2904,-3969,-2760,-466,-2202,4374,4451,2985,3075,-300,3223,-320,-502,-655,-1422,-1629,-547,-1077,-2813,-1209,-2407,1089,-1032,-970,3177,-1862,796,2608,-9,1926,3131,5014,9682,-2255,-1733,3224,0,--,
总资产(万元),688209,686846,663186,536594,506950,486109,457011,483372,469878,451794,474677,485829,485707,564733,520655,504429,99130,102672,96439,95645,86545,92392,85494,88035,90081,95460,90448,85397,87528,90871,87169,86096,85508,86273,87558,88317,84318,90181,92456,91863,95052,91707,92173,82540,80912,79721,63907,61373,60013,59234,62135,49427,43748,37975,25433,18922,
流动资产(万元),345613,345345,346397,248478,219191,197390,176925,202832,186406,162510,186172,191987,188190,269731,238545,242163,41526,44624,37648,35763,25616,29446,29790,31942,33917,28938,23239,19973,28337,31193,24677,24319,29833,30827,31944,33708,27272,31010,27609,29633,33315,30583,32682,25035,29348,34330,25367,23517,25506,26880,--,19265,16030,16058,0,9239,
总负债(万元),421677,430614,404720,399382,365823,349583,328666,355719,343586,330417,358426,364908,339247,403382,338323,312299,50384,54599,47772,47375,35752,41770,34417,36334,37818,44197,40826,35786,37106,40886,36662,35875,35348,37162,37485,38591,33630,39854,40762,40588,45211,42650,40963,32067,31726,31263,13878,12065,11218,11276,15970,32477,24396,20640,11021,11488,
