报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
基本每股收益(元),0.3,0.01,-0.11,0.08,-0.19,-0.34,-0.16,-0.07,0.04,0.01,0.05,0.19,0.26,0.2,0.09,0.28,0.25,0.12,0.06,0.22,0.2,0.13,0.06,0.24,0.21,0.13,0.05,0.15,0.17,0.18,0.15,0.51,0.4,0.25,--,0.28,0.14,0.38,0.35,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,2.38,2.45,2.5,2.49,2.4,2.38,2.25,3.47,3.41,3.38,3.31,3.24,1.86,1.84,1.76,1.74,1.68,1.71,2.49,4.77,4.62,4.51,2.37,2.19,--,--,1.75,1.36,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.1,0.11,-0.01,0.73,0.94,0.48,0.2,-0.34,-0.23,-0.32,-0.21,-0.99,-0.67,-0.3,-0.35,0.59,0.51,0.5,-0.2,-0.49,-0.53,-0.72,0.29,--,0.31,0.59,-0.35,
主营业务收入(万元),1283220,833209,356910,1648355,1214888,755397,355635,1558249,1129962,722235,346940,1362674,1017972,599139,273275,1069009,783084,433934,185576,742727,497015,294999,136593,445853,303708,173923,52503,269637,196900,123171,48921,163114,101796,61488,111731,89549,48192,106698,66318,
主营业务利润(万元),112259,51334,15587,95309,66287,35038,16116,83456,63916,37558,18882,78927,65765,39070,19541,71011,55606,31479,13920,50741,37114,21437,9994,32373,22332,13074,5795,18881,14638,9606,4362,14038,10226,5765,12031,7711,4625,10118,6114,
营业利润(万元),14976,-3635,-8620,2389,-15750,-19147,-9025,-4249,230,-1169,119,6065,13758,9781,4219,17607,16440,7566,2832,8961,8046,3759,1448,6424,5978,3727,1768,5153,5160,3712,1714,4491,3311,1485,3882,2042,986,2681,2661,
投资收益(万元),-119,24,--,11450,-1556,-1219,-769,592,-598,-484,-99,842,-346,-234,-80,600,-44,-12,3,365,3,4,19,1,4,4,--,-143,-144,-144,--,0,--,0,-12,--,--,-11,-1,
营业外收支净额(万元),4586,3342,2000,4277,1230,1504,656,3250,1147,1208,997,4635,562,556,405,1965,743,423,90,663,-615,-0,53,1296,657,243,86,202,--,--,--,--,--,44,100,78,-0,-20,-4,
利润总额(万元),19562,-293,-6620,6666,-14521,-17643,-8369,-999,1377,39,1117,10700,14320,10338,4624,19572,17183,7989,2922,9624,7431,3759,1501,7720,6635,3970,1854,5355,5375,3687,1624,4752,3419,1529,3982,2121,986,2661,2657,
净利润(万元),18352,640,-6287,4111,-11550,-14539,-6914,-2994,1591,472,2113,8033,11242,8571,3825,11909,10738,5035,1551,5804,5156,3323,1368,5373,4806,2983,1229,3316,3885,2767,1123,3165,2352,1039,2887,1551,705,2120,1961,
净利润(扣除非经常性损益后)(万元),12721,-2496,-8682,-12221,-12740,-15861,-7576,-6157,341,-722,1160,3134,--,8109,--,10184,--,4761,--,5283,--,3319,--,4321,--,2761,0,3275,0,2812,--,2973,0,1354,--,--,804,--,--,
经营活动产生的现金流量净额(万元),55083,26514,27396,59396,-1402,8790,-8299,-5728,220,560,-5401,25992,4154,4579,-377,31545,40364,20550,5339,-9214,-6243,-8703,-5676,-22272,-15096,-6890,-7884,13316,11486,7501,-1489,-3675,-3954,-4077,1633,1839,1770,3306,-1947,
现金及现金等价物净增加额(万元),23756,39963,17474,-4996,5003,28455,25764,-17328,7373,31224,29452,-5935,-7213,19018,1383,13239,29579,15647,4087,27335,37420,37336,43940,-8835,-942,-5484,495,3865,4071,6115,6509,11081,17657,-2145,831,-516,--,2622,368,
