报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-03-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.24,0.16,0.08,0.36,0.3,0.2,0.09,--,0.31,0.14,0.06,0.23,0.18,0.13,0.07,0.43,0.41,0.32,0.15,0.56,0.44,0.31,0.12,0.33,0.22,0.12,0.03,0.14,0.26,0.19,0.06,0.49,0.38,0.23,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.92,--,2.8,2.76,3.81,3.73,3.98,4.03,2.91,2.76,2.65,2.52,2.45,2.33,2.21,2.12,2.18,2.15,2.27,2.2,2.19,2.13,2.01,1.86,1.83,1.72,1.64,2.3,2.28,2.13,1.95,1.87,2.01,1.99,1.98,1.82,1.83,1.77,1.72,1.67,1.62,1.56,1.62,1.58,2.01,1.98,2.04,1.92,1.8,2.13,2.26,2.13,1.4,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.03,--,0.19,0.06,0.11,0.53,0.35,0.18,0.11,0.36,0.2,0.14,0.11,0.49,0.39,0.31,0.26,0.52,0.43,0.32,0.28,0.22,0.2,0.23,0.14,0.34,0,--,0,0.37,0,0,0,0.08,0,0,0,0,0,0,0,0.16,0,0.09,--,0.41,0.2,0.27,0.11,-0.69,--,0.05,0.06,--,--,--,
主营业务收入(万元),561295,358747,179773,741807,559266,360793,170103,657026,466213,304519,149473,609295,461763,301068,143250,587690,452950,296168,146820,548620,409272,266671,119055,361886,259840,154914,75568,431736,359440,237996,112937,426738,314566,193797,90687,339861,251955,159575,70395,241254,169187,106048,49989,184253,137390,81263,35903,121744,88856,55591,27359,88608,64661,39774,17922,72001,37742,98869,44167,77380,30431,56621,13387,56493,47121,37490,
主营业务利润(万元),99814,63785,29037,126613,94777,62778,29040,94470,67357,44188,20111,80719,63428,44326,20166,88818,74239,53685,26070,92243,72721,49930,20097,55662,38949,24003,8391,43802,46906,32577,12260,69966,55587,33693,13482,64125,51904,31921,14529,37334,22388,12745,5453,43464,33999,19071,6743,22170,17299,11544,5806,16516,12410,7156,3068,10787,7707,26846,10888,18021,6113,8365,1886,9391,7250,6890,
营业利润(万元),38542,26932,13879,56963,48574,32243,14175,42998,30909,21815,10405,36333,29278,21503,9936,51261,47525,36200,17919,61593,50625,35266,13800,36082,23224,13523,3537,10436,30717,22103,7117,52246,43304,26206,9451,43277,37965,22891,10103,21452,11189,5487,1870,28631,23843,12771,3952,12770,10325,7061,3654,8572,6111,2908,1221,3733,3985,19313,7747,12341,3584,4491,507,5392,4609,5069,
投资收益(万元),689,349,47,907,782,444,6,-43,-116,624,534,-256,-1150,-766,-401,2310,2561,1836,1067,5294,3200,1559,1072,7962,6193,4245,2311,9616,6936,4578,1992,10314,7725,4926,1935,5605,3802,2718,1328,3142,982,139,-208,-4340,1064,760,112,1603,1179,631,255,1700,1059,855,241,2827,2306,3838,1459,2025,1022,3106,667,2769,0,0,
营业外收支净额(万元),655,-580,197,2101,954,582,380,20858,19844,643,536,2311,1278,787,96,2485,2110,1125,73,4377,2379,2311,515,2560,592,79,49,411,--,--,-22,--,--,--,-11,-57,0,-94,0,-122,0,0,0,-176,0,0,0,29,19,19,17,106,148,160,109,167,0,246,0,-536,0,0,--,--,0,0,
利润总额(万元),39198,26352,14076,59063,49527,32825,14556,63856,50752,22458,10941,38643,30556,22289,10032,53746,49635,37325,17992,65970,53004,37578,14316,38642,23817,13601,3586,10847,30819,22151,7095,53128,43522,26314,9440,49242,41828,25667,11365,24553,12115,5624,1684,24315,24888,13518,4072,14427,11565,7750,3953,10378,7318,3923,1571,6728,6350,23397,9301,13946,4719,7870,1197,8225,4928,5056,
净利润(万元),33814,23014,11809,51542,42005,28091,12151,55785,44446,19748,9213,32338,25273,18694,8074,45032,41657,31651,14357,53262,42171,29989,11327,31619,20595,11538,3061,12980,24866,17760,5826,47288,35890,21753,8372,42955,36134,22171,9794,21189,9916,4564,1323,21217,20949,10892,3302,13052,9926,6727,3615,9077,6465,3685,1493,6334,5620,21450,8531,12656,4276,7296,1133,7571,4344,4449,
