报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.07,0.09,0.05,0.15,0.11,0.1,0.07,0.06,0.09,0.09,0.05,0.24,0.12,0.11,0.1,0.45,0.19,0.17,0.08,0.41,0.25,0.17,0.08,0.41,0.31,0.21,0.08,0.48,0.35,0.24,0.06,0.53,0.43,0.25,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.7,--,3.54,3.54,4.33,4.22,3.97,3.31,3.33,3.25,3.07,3.03,3.39,3.31,3.21,3.11,3.43,3.34,3.21,3.1,3.69,3.63,3.54,2.39,4.39,4.12,3.85,3.7,5.74,5.55,5.3,5.1,6.86,6.64,6.38,6.15,2.31,3.01,2.32,1.56,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.26,--,-0.2,-0.26,-0.19,-0.53,-0.66,-0.61,-0.33,0.03,-0.43,-0.17,-0.35,0.47,-0.35,-0.98,-0.59,0.49,0.23,0.02,-0.22,-0.15,-0.43,-0.48,-0.85,-0.33,0,--,0,0.92,0,0,0,0.43,0,0,-0.03,0.73,1.03,0,
主营业务收入(万元),323061,207674,93882,427854,321813,211729,99481,481602,338915,231083,97666,523681,340324,226478,101741,508387,344093,232395,113384,407543,275255,193373,100343,335437,224141,162287,67986,294544,222316,161898,65838,224345,159685,103601,41834,172108,121442,87038,37249,112798,81175,54089,23676,91513,60971,38485,15770,65869,61148,50897,
主营业务利润(万元),56440,38415,16744,78419,54437,36858,16625,75566,54330,36488,16420,84248,55160,38607,18587,86803,58749,40687,20951,75733,52155,36520,17533,61217,41385,28025,11563,59224,44040,30616,11028,43539,31506,19788,--,33863,22737,16287,6581,23000,16821,11710,5261,19105,13642,8946,3481,13460,13588,11258,
营业利润(万元),4277,4821,1735,9399,6989,6647,2444,3676,5841,4858,2661,17990,9440,8922,6492,25697,11534,10452,5540,24006,15104,10683,5217,20886,16558,11105,3858,22532,18283,12307,2518,19714,16410,9225,3719,14821,9869,7029,2789,11816,8285,5591,2570,9035,6241,3909,1782,6523,6057,4987,
投资收益(万元),901,491,334,3986,3786,3482,37,183,-4,39,-46,261,49,32,5,343,241,264,248,1326,1437,148,106,-485,-140,-98,-5,1067,1826,2017,212,2292,1462,1323,-1,1214,939,664,69,206,231,-40,3,38,0,0,0,14,-2,0,
营业外收支净额(万元),460,336,650,2214,1802,1251,3630,3371,1177,691,101,1055,569,515,121,641,465,492,82,374,270,273,102,888,-59,-25,-2,545,--,-35,--,--,--,--,--,-15,0,--,0,-11,0,0,0,-5,0,0,0,34,0,0,
利润总额(万元),4737,5158,2385,11613,8791,7898,6074,7047,7018,5549,2762,19045,10009,9437,6613,26339,11999,10944,5622,24379,15374,10956,5319,21774,16499,11080,3857,23077,18297,12272,2548,19978,16596,9388,3828,16157,10931,7774,2922,12043,8530,5557,2588,9070,6238,3909,1782,6570,6060,5006,
净利润(万元),4481,5466,3169,9513,7260,6389,4750,4176,5966,5546,3134,15671,7617,7254,5335,22921,9409,8816,3954,20758,12832,8373,3657,18864,14480,9824,3265,20214,14678,9910,2058,17840,14340,8147,3177,14019,9196,6464,2399,10155,7138,4600,2107,8213,5740,3615,1648,6064,5333,5006,
净利润(扣除非经常性损益后)(万元),3484,4807,2542,4669,3748,3778,2762,2389,5696,5374,--,15520,--,7198,--,22982,--,8634,--,20112,--,8223,--,18065,--,9851,0,22396,0,9967,0,17828,0,8141,--,12991,0,5880,0,8614,0,4304,0,8183,0,3394,0,0,0,0,
经营活动产生的现金流量净额(万元),-17030,-13809,-1556,27649,-7913,-16683,497,32394,-1928,-21119,-16683,13790,-12989,-16832,-10505,-28700,-36061,-30698,-16902,1534,-21931,-8418,-16017,21753,-16078,-45048,-24540,20321,9552,809,-7524,-5143,-15006,-15801,-15660,-5990,-24509,-24068,-26991,11185,-5776,3688,-5427,4064,-7156,3010,-199,5108,0,0,
现金及现金等价物净增加额(万元),-92668,-75943,-36167,38144,-7377,-13106,32143,59282,31977,57501,103772,-22134,-31626,-32279,-9709,13248,28529,-25870,-18992,7277,-11752,2504,6088,-13841,-26646,-42787,-30059,20272,4536,-2947,-26266,38148,25760,-10973,-14469,-5984,-17924,-16406,-19493,-8141,-20921,-12422,-12746,30956,17960,37626,-5675,574,0,0,
总资产(万元),711251,653502,661809,660812,633308,650134,655127,570736,554718,564193,559487,455574,418233,413313,431353,420804,428115,356986,352499,340693,323471,304133,319457,294524,299453,263057,280217,267362,234348,237192,249383,248100,233715,180638,168381,167315,157252,151317,151338,133242,118218,118737,108239,105738,88722,94498,52981,48212,42644,23182,
流动资产(万元),521162,466434,471869,477255,470818,484789,490283,435644,433218,449574,476310,379985,349599,347044,367747,358669,371476,310645,306770,299940,284984,273139,288651,263834,273075,251967,268737,256227,223291,225483,239143,238459,224533,171867,160327,160180,150589,144573,144646,126604,112290,113380,102890,104992,86898,92628,52273,47475,42037,22642,
总负债(万元),435640,380223,387039,394957,371793,392662,399543,321017,303472,307330,302950,202025,173701,167280,180991,176136,197293,175840,169764,162203,152734,136616,149105,128357,139178,117783,134674,125256,98046,106290,119241,120052,108990,100960,86922,90969,85805,82582,80392,64626,53149,56208,43482,43338,28795,36695,36833,27113,26409,12281,
流动负债(万元),294090,236693,243121,252257,224970,242020,244150,200507,171393,173307,177727,177866,150867,143065,156109,148782,160672,154051,148519,142138,132471,116939,128977,124404,134485,113732,131101,121580,94709,102447,114944,116572,105437,97605,83792,88731,83858,79593,79935,62737,49816,52956,41646,42090,26293,33580,35178,26239,25553,12281,
股东权益不含少数股东权益(万元),234064,233316,234753,231562,232462,236264,236590,231843,234038,240671,240153,236955,229205,230726,234971,229616,216008,167051,168238,164269,155835,153785,156296,152632,147993,143379,143530,140027,134500,129748,128952,126868,123611,78818,80559,75479,70554,67878,70196,67809,64797,62299,64507,62400,59926,57803,16147,21099,16235,10901,
净资产收益率加权(%),1.93,2.34,1.36,4.15,3.1,2.72,2.03,1.78,2.52,2.32,1.31,6.72,3.3,3.11,2.3,12.49,5.7,5.3,2.38,13.08,8.26,5.38,2.37,12.99,--,6.88,0,15.27,0,7.65,0,18.88,0,10.29,--,19.87,0,9.37,0,15.79,0,7.29,0,17.79,0,11.01,0,33.38,39.31,58.69,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
