报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.06,0.02,0.01,0.01,0.04,0.01,0.01,-0.13,-0.02,-0.02,0.01,0.04,0.05,0.04,0.04,0.04,-0,-0.01,-0.01,-0.16,-0.01,-0.01,-0.01,0.03,0.05,0.04,0.02,-0.12,-0.04,-0.04,-0.04,0.15,-0.13,-0.09,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,0.57,--,0.57,0.57,0.55,0.51,0.47,0.46,0.46,0.47,0.6,0.59,0.59,0.6,0.62,0.61,0.55,0.53,0.47,0.47,0.45,0.5,0.22,0.26,0.29,0.33,0.24,0.24,0.28,0.3,0.42,0.47,0.51,0.55,0.48,0.49,0.49,0.54,0.61,0.64,0.68,0.72,1,1,1,1,1.04,1.05,1.11,1.01,1.01,0.93,0.99,1.32,1.38,1.77,2.34,2.33,2.45,2.85,2.73,2.52,1.94,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.05,--,-0.15,0.09,0.09,0.11,0.1,0.14,0.19,-0.44,0.09,0.05,0.01,0.58,0.29,0.3,0.01,-0.06,-0.15,-0.21,-0.12,0.09,0.05,0.06,0.01,0.11,0,--,0,0.01,0,0,--,0.31,0,0,0,0.01,0,0,0,-0.1,0,-0.1,--,0.04,--,0.04,0.31,0,0.01,0.04,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),18149,9511,3474,23601,14219,7486,3062,13994,9813,7130,3906,14445,10241,7851,4193,12438,7404,4883,2416,9337,5388,4517,2313,10400,6774,4143,1521,4212,2724,1705,656,6317,5490,4361,1894,11703,7938,5234,3068,10586,8365,6123,3369,11967,8419,5463,2575,9967,7257,4864,2521,11931,8955,5849,2757,11112,8159,5467,9705,4317,8581,4754,10213,4993,12184,6339,13110,6372,13807,7459,13227,6630,15763,12626,10519,9398,
主营业务利润(万元),2373,1336,576,3423,2030,1185,559,1758,1590,1010,451,2840,1924,1377,728,2371,1071,586,359,760,342,262,90,719,521,252,189,521,166,73,36,214,251,150,--,891,761,491,301,839,619,373,171,1288,889,529,189,2021,1397,947,434,2758,2063,1356,640,2693,1974,1386,2189,794,1413,925,1464,787,-1083,-240,223,-725,243,789,1922,620,2226,1917,1492,1066,
营业利润(万元),296,-446,104,246,642,243,118,-1146,52,75,47,324,417,382,314,15,-32,-135,-109,-754,-354,-287,-236,-22,134,48,160,-1170,-489,-509,-385,-2869,-1193,-802,-434,-1791,-635,-611,-305,-2118,-1135,-738,-369,79,-545,-460,-389,-1554,-913,-685,-296,-2371,14,20,4,189,281,330,113,14,-713,-523,-3183,-644,-1047,0,181,0,274,0,0,577,2349,1882,1511,1080,
投资收益(万元),136,-28,-68,-416,51,--,--,--,--,--,--,--,0,0,--,--,--,--,--,-120,-119,-119,-72,337,255,226,106,-338,-389,-597,-11,64,--,--,0,0,0,--,0,0,0,0,--,41,0,0,0,-25,2,2,0,-71,0,0,0,-41,0,0,763,0,296,0,13,2,67,42,39,0,42,31,257,260,1,-2,2,-29,
营业外收支净额(万元),713,719,8,29,15,5,-8,-221,-263,-256,11,25,-16,-16,-0,238,-2,-2,-2,-691,319,180,123,320,360,318,3,--,--,-1,--,--,--,--,--,2471,0,--,0,-75,0,0,-1,-10,0,0,0,1,6,0,1,-88,-3,-1,0,-12,0,0,28,0,600,0,0,0,0,-6,0,-20,0,27,134,0,0,--,--,--,
利润总额(万元),1009,273,113,275,656,247,109,-1367,-211,-181,58,349,400,366,314,253,-34,-137,-111,-1445,-35,-107,-113,298,495,366,163,-1166,-491,-511,-385,1200,-1195,-803,-434,680,-570,-547,-241,-2193,-1141,-744,-370,120,-538,-460,-397,-1579,-904,-677,-295,-2531,10,19,4,136,280,329,904,12,583,-517,-3201,-581,-3694,-250,190,-746,503,853,2307,825,2295,1832,1253,828,
净利润(万元),997,257,102,221,615,222,109,-1367,-211,-181,58,375,421,390,319,350,-15,-122,-105,-1399,-62,-127,-113,249,431,332,156,-1079,-385,-391,-373,1298,-1187,-796,-426,680,-555,-547,-241,-2193,-1141,-744,-370,120,-538,-460,-397,-1579,-904,-677,-295,-2531,10,19,4,136,280,329,904,12,583,-517,-3201,-581,-3694,-250,165,-746,423,725,1963,701,1576,1557,840,538,
净利润(扣除非经常性损益后)(万元),125,-378,147,631,600,218,118,-1240,-42,-20,--,347,0,403,--,113,--,-120,--,-557,--,-232,--,-354,--,-188,0,-680,0,-390,--,-3000,0,-794,--,-1791,0,-611,0,-2303,0,-781,--,-976,0,-553,0,-1689,0,-677,0,-2442,10,19,--,136,--,329,-322,-554,-1278,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
经营活动产生的现金流量净额(万元),359,-3397,-823,-4398,783,2061,-3708,-5818,936,566,430,-343,-1323,756,838,1020,923,1230,1698,-3879,792,484,94,5173,2609,2702,67,-497,-1339,-1874,-1035,774,409,495,52,943,525,-322,-111,124,-180,-522,-302,2765,354,707,171,79,85,74,-177,-885,0,-882,--,369,--,307,2733,18,145,379,349,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-3279,-6525,-5532,6052,-5800,-6266,-6085,7129,67035,208,140,-329,118,-47,31,-1003,-601,-896,566,-129,355,-1028,-1131,1219,929,322,-91,-2302,-2580,-2378,-1134,1678,3507,1811,-1198,-151,-495,-743,-397,-564,-644,-769,-446,1518,-255,497,72,-314,-197,-91,-275,-1376,0,-1152,--,858,--,-882,802,-68,-282,-404,-328,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),88429,86562,89272,89336,88127,83733,83835,83757,97122,30886,30732,30514,30328,28818,28344,27376,29305,28846,27348,29513,23392,21025,21278,21624,16789,15953,14150,14371,11701,12285,15061,14823,16739,15055,11602,11301,12592,10878,11537,11273,12425,12907,13665,14203,14371,15160,15123,15321,16049,16394,17204,17187,20200,19777,20243,19807,19748,19562,19855,19207,19235,20207,20130,22249,22948,27715,26963,25158,25598,27092,24862,22881,17051,17286,13583,8253,
流动资产(万元),52054,51074,55371,55084,59122,55805,59048,61300,76240,10453,11420,11275,13111,11777,11057,10314,13010,13038,11227,13195,8893,8997,9574,10697,7753,7587,7024,8157,7264,8180,11035,10818,9295,7505,5386,6098,6865,6573,6993,6706,7781,8154,8763,9143,9134,9764,9595,9630,10229,10431,--,10922,--,--,13371,--,12553,0,--,0,0,11824,11408,14022,14200,19668,18138,17019,17365,18323,17396,17142,11476,11277,7652,5072,
总负债(万元),14389,14803,17865,18034,12307,12967,13188,13320,25528,26049,25669,25414,25176,23701,23166,22513,24728,24372,22849,25062,17829,15686,15944,16178,11125,10451,9212,9596,7538,8142,10951,10312,14622,12547,8865,8130,10375,8735,9089,8583,8683,8768,9152,9320,10145,10857,10757,10558,10611,10729,11156,10844,11310,10877,11359,10927,--,10255,10008,10251,10291,11976,11381,10560,10678,12001,11000,10724,10419,9440,7940,7229,8056,7089,5335,3742,
流动负债(万元),12176,10718,13771,13932,11915,12575,12788,12911,25095,25616,25236,24973,24703,23228,22693,22039,24221,23865,22342,24555,17314,15171,15429,15663,11125,10451,9212,9596,7538,8142,10951,10312,14622,12547,8865,8130,10375,8735,9089,8583,8683,8768,9152,9320,10145,10857,10757,10558,10611,10729,--,10844,--,--,11359,--,10491,0,--,0,0,12649,12058,11240,11367,12155,11157,10588,10291,8740,7240,7079,8056,6889,4935,3456,
股东权益不含少数股东权益(万元),73928,71643,71302,71199,75710,70660,70547,70438,71594,4838,5063,5019,5065,5034,4840,4521,4156,4048,4066,4171,5276,5211,5225,5338,5537,5438,4898,4742,4148,4142,4006,4391,1906,2298,2527,2953,2135,2143,2449,2690,3742,4139,4513,4883,4225,4303,4366,4763,5438,5666,6047,6342,8890,8899,8884,8880,9257,9307,9848,8956,8944,8231,8748,11689,12270,15714,15964,14434,15179,17652,16922,15652,8995,10197,8604,4511,
净资产收益率加权(%),1.37,0.36,0.14,0.31,0.84,0.32,0.16,-6.5,-0.55,-3.67,1.14,7.86,8.79,8.17,6.82,8.06,-0.35,-2.93,-2.55,-29.28,-1.17,-2.41,-2.14,4.94,--,6.52,0,-23.62,0,-9.16,--,35.12,0,-34.63,--,26.01,0,-22.62,0,-57.91,0,-16.49,--,2.48,0,0,0,-28.44,0,0,0,-33.31,0,0.22,--,1.55,--,3.53,9.62,0,0,0,-30.93,0,0,0,0,0,0,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
