报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.16,0.12,0.04,0.3,0.29,0.26,0.16,0.21,0.16,0.1,0.06,0.37,0.06,0.03,0.01,0.03,-0.04,-0.04,0.01,0.09,0.06,0.04,0.02,0.13,0.1,0.06,0.02,0.11,0.09,0.06,0.02,0.12,0.08,0.08,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.15,3.12,3.1,3.09,3.02,3.04,3.09,3.08,3.05,3.04,3.02,3.01,2.97,2.94,2.91,2.89,2.87,2.84,2.8,2.78,2.74,4.12,2.79,2.86,2.71,2.65,2.56,2.55,2.44,2.38,2.34,2.29,2.2,2.19,2.15,2.1,2,1.99,1.92,1.86,1.81,1.8,1.74,1.7,1.88,2.13,2.15,2.13,2.1,1.87,3.27,3.62,3.52,3.62,--,2.59,1.92,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.49,0.37,-0.06,0.71,0.1,0.1,0.09,0.47,0.48,0.53,0.04,0.81,0.45,0.44,0.19,0.37,-0.05,0.17,0.09,0.68,-0.11,-0.07,-0.31,1.09,0,--,0,0.6,0,0,--,0.33,0,0,0,0.72,0,0,0,0.02,0,0.32,--,-0,--,0.02,0.05,0.19,-0.14,--,0.4,--,--,--,--,--,--,
主营业务收入(万元),329498,218930,103826,423276,333226,220296,98958,389976,307555,195823,85384,348009,134418,87229,46234,153448,133676,91326,44466,152099,121013,81112,38402,136785,106888,67244,30510,125045,98397,66428,26892,104152,75385,50547,24191,114856,85065,56144,27534,103542,76028,49439,23068,83052,58696,39933,17938,77025,54478,37366,18571,65933,47557,31948,13816,14184,10993,8372,19647,11783,22831,20350,41891,20026,36770,20283,36868,34432,33116,
主营业务利润(万元),85301,54933,24520,108300,76424,51587,22102,86657,60649,39313,16556,79219,27946,18040,6686,29273,18976,13116,7448,31289,22523,14923,6937,29206,20707,13115,6295,23426,17730,11797,4819,19081,14031,9273,--,22807,15851,10960,5199,19953,13817,8351,3818,15764,11055,8045,3808,15757,11287,8667,4300,14682,10901,7511,3219,1033,908,853,2165,1746,3734,2484,5011,753,2435,853,--,1181,979,
营业利润(万元),20387,15709,5972,34307,29182,23493,13782,18548,14279,9599,2858,14355,1545,401,229,-1139,-1285,-1364,116,2117,2039,1333,542,3457,3084,1873,454,2667,2778,1781,501,2536,2368,1661,1123,6532,4214,2996,1237,5688,4545,2934,996,5311,3418,2961,1066,5793,3563,3189,1473,5590,3710,3047,--,-2234,-1000,-717,264,412,889,1106,3060,944,2901,0,--,1832,1409,
投资收益(万元),-59,-110,-129,9120,7831,7831,7691,-9,--,--,--,15,--,--,--,--,--,--,--,51,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,-396,-297,-198,-99,-396,-297,-198,-99,-446,-244,-174,-104,-721,-523,-373,-154,-601,-448,-258,-92,-270,102,22,225,0,0,25,0,0,210,56,--,2,1,
营业外收支净额(万元),2178,1304,263,3414,1917,1297,236,2026,937,421,268,2473,482,464,46,1524,280,236,204,617,142,67,14,320,72,64,-23,76,--,--,--,--,--,--,--,-39,0,--,0,-140,0,0,1,6,0,0,0,-64,-37,-31,-4,-92,-46,-6,-3,-49,0,-2,114,0,13,0,--,0,0,233,--,--,--,
利润总额(万元),22566,17013,6235,37721,31099,24789,14018,20574,15217,10020,3126,16828,2027,865,275,385,-1006,-1128,320,2735,2181,1400,556,3777,3156,1937,431,2743,2695,1727,506,3126,2417,1663,1117,6097,3938,2797,1119,5152,4075,2721,897,4871,3198,2823,1000,5008,3003,2785,1560,5115,3251,2813,1209,-2554,-944,-696,602,534,986,1128,3457,1021,3354,1442,--,1822,1393,
净利润(万元),17948,13285,4807,32216,27032,21897,12929,16736,12463,8088,2285,13713,1564,768,208,825,-958,-1084,307,2379,1544,919,485,3409,2566,1608,462,2906,2399,1528,544,3044,2015,1335,945,5196,3044,2054,833,4375,2945,2014,627,3563,2214,2044,707,3419,1996,1910,894,3159,1641,1567,644,-2587,-945,-704,748,365,763,743,2573,684,2300,966,1422,1299,1056,
净利润(扣除非经常性损益后)(万元),16584,11283,4741,20895,17533,13003,5049,15129,11727,7779,2091,759,--,379,--,-362,--,-1301,--,1747,0,850,--,3047,--,1564,0,2829,0,1568,--,2649,0,1334,--,4903,0,2046,0,4327,0,1999,--,3394,0,1913,0,3144,0,1714,0,3048,1652,1543,--,-2538,--,-703,465,242,595,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),21961,13315,6464,78664,42653,27799,10132,19045,18179,7779,9411,33590,12532,9376,-1581,18174,2542,2469,2224,12105,12203,13712,981,20830,11610,11229,4934,9457,-1228,4349,2194,17420,-2781,-1244,-4540,15943,6601,4625,340,8740,2628,1750,-1137,4754,1936,476,-12327,10536,7674,3352,1622,281,0,4722,--,-57,--,285,708,2773,-2052,--,3010,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),2153,-2318,1615,-959,15070,9231,6433,6352,1082,-11745,16114,5492,1550,9257,2136,-2515,-6824,180,229,2889,10761,10903,3890,-3179,3974,1401,14225,-22221,-20163,-3354,-2105,25447,16059,29045,-544,10992,-2671,5570,2971,-8282,-11424,-16223,--,8918,5973,-2676,0,10114,0,996,0,1311,0,1739,--,370,--,-181,-5977,-4631,5030,--,1531,--,--,--,--,--,--,
总资产(万元),546735,533207,515150,506181,504532,482661,464450,466226,444195,432899,449766,410722,206596,212567,205396,206175,186815,190015,185529,184457,187760,188638,176096,174969,179794,180570,184196,174112,168147,170433,160853,161413,146069,153289,127472,128445,114257,121458,118761,114487,107372,96713,102672,111447,98958,92599,92125,86307,81110,78134,74291,68928,74703,70953,69436,58738,44441,46555,54658,53511,52033,48577,47519,30676,31725,28137,--,14629,14151,
流动资产(万元),265464,256893,243532,233524,262572,256692,244599,238438,241510,232019,246378,207218,89407,94571,89530,86912,79356,84151,80137,80311,87317,90401,78584,75646,80679,80044,87727,75613,78668,91827,90953,92575,84529,92576,66743,65387,51745,58503,56190,49883,45820,36605,--,54075,46572,40440,0,41317,0,33452,--,0,--,--,24817,0,12668,0,--,0,0,23069,21512,6017,6957,16311,--,4026,6863,
总负债(万元),307318,289328,279749,275587,254080,278221,268130,280443,267747,260814,283490,274165,124565,131358,124615,125508,107752,110462,104450,103600,107462,108358,96203,95491,101071,102774,107015,97300,90878,94031,85375,86402,72026,79005,82970,82868,70872,78919,77456,73294,67929,58258,--,74340,63315,57145,--,53424,--,47444,--,40288,46915,43279,--,32767,16976,15395,23146,22358,21240,22950,22717,7849,9580,5349,--,9850,10616,
流动负债(万元),275467,260857,253083,248743,226822,251212,240253,256166,256506,249359,267290,263012,116185,122800,116992,117873,102113,104823,100811,101961,105708,106511,94333,93620,98549,100253,100476,90761,81504,84658,76000,77018,63026,70005,69970,69868,56872,64919,63456,59294,53929,44132,--,59803,48581,45231,0,41198,0,39444,--,0,--,--,39059,0,16976,0,--,0,0,22664,22486,7660,9440,5261,--,8101,7169,
股东权益不含少数股东权益(万元),239417,243879,235402,230594,246241,200316,192163,179234,175084,170710,164906,135114,80903,80107,79547,79339,77556,77944,79335,79027,78192,78081,77647,77162,76320,75362,74729,74267,73760,72889,71905,71361,70332,70508,40639,41697,39545,38556,37335,37230,35616,34685,34028,33400,32042,31872,31264,30557,29133,29048,28032,27137,26348,26274,25351,24707,27349,31017,31372,30989,30624,25461,24718,22827,22145,22788,5012,4779,3535,
净资产收益率加权(%),7.54,5.6,2.06,15.71,13.73,11.52,6.96,10.2,7.8,5.29,1.52,10.69,1.95,0.96,0.26,1.04,-1.22,-1.38,0.39,3.04,1.99,1.18,0.63,4.5,--,2.15,0,3.99,0,2.12,--,5.03,0,2.66,--,13.23,0,5.4,0,12.46,0,5.87,--,11.16,0,6.5,0,11.58,0,0,0,12.02,0,0,--,-9.95,--,-2.27,2.38,0,3,--,10.98,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
