报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),-0.37,-0.29,-0.27,0.29,0.35,-0.02,-0.17,0.32,0.34,0.09,-0.21,0.37,0.4,0.14,-0.29,2.91,2.52,0.98,-0.02,1.39,1.35,0.45,-0.16,1.12,1.01,0.46,-0.11,0.62,0.64,0.2,-0.13,0.5,0.39,0.09,-0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,7.35,7.1,12.28,11.63,11.34,9.88,9.34,9.29,8.67,8,4.34,4.45,3.6,3.02,2.62,2.72,2.77,2.31,3.03,3.2,3.08,2.77,2.55,2.66,2.79,2.65,2.4,2.58,2.72,2.54,2.42,2.69,3.23,3.62,5.22,5.38,5.34,4.89,4.59,4.34,4.8,4.44,4.17,3.96,4.9,4.64,3.63,3.46,3.23,3.1,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.21,-0.19,-1.24,2.92,2.51,1.52,0.49,2.79,2.34,0.67,-0.48,2.03,1.94,1.01,-0.11,2.01,2.26,1.35,0.06,3.29,2.45,0.32,-0.61,2.06,0,--,0,1.53,0,0,0,1.31,0,0,0,1.03,0,0,0,1.28,0,0.26,--,1.02,0.08,0.59,0.15,0.51,-0.03,0.05,--,--,--,
主营业务收入(万元),394551,210858,48228,654357,510409,291288,64972,791094,616383,346382,58340,769918,609584,338380,65948,827779,637988,336074,69470,570478,399747,204764,46875,411512,315428,176454,39663,349397,265560,139636,28744,251782,192223,93179,20823,194536,153775,80643,16182,182956,151840,85643,16759,176627,139219,76885,21850,145491,112584,56734,10977,88486,71765,37005,4315,70762,30686,40374,16223,30621,11973,18939,12494,13572,12274,
主营业务利润(万元),54168,28671,2268,130391,102948,353966,13598,937141,134514,70254,1891,151050,131504,75873,10178,265490,220094,113208,17843,161160,112303,52680,6633,105995,87154,48408,7433,90170,74281,36983,4204,61560,48759,22501,--,45016,36707,19737,2754,37996,31462,16369,1686,41001,32953,16991,3991,41080,34335,16773,2327,28997,24187,13055,1262,24349,10519,12847,5106,10293,3712,7022,2830,2879,2529,
营业利润(万元),-52227,-39818,-31493,-18802,-8475,-8385,-21017,10741,23459,1606,-24571,14956,32043,13244,-17304,135928,133413,54929,-2823,57815,57135,19710,-7221,31910,36783,17321,-5675,17519,27631,8152,-5178,9185,10787,2214,-3877,-2027,3147,562,-5147,-6548,-2694,-5124,-7501,-4667,1655,-2991,-3764,5188,8128,870,-3988,2747,9028,3441,--,4618,3975,4676,2038,4327,1356,4392,2892,2887,2535,
投资收益(万元),1641,1641,--,266,16,16,--,5614,-1649,-446,-673,1161,929,661,-592,6405,6331,2801,432,3800,2564,1418,132,1054,-781,-853,-1065,1733,267,568,-17,4192,3304,1067,447,3342,663,6,0,1480,-26,-26,0,-26464,-18465,-18465,0,1228,1142,791,349,1847,111,115,--,3025,361,748,316,260,168,0,0,0,0,
营业外收支净额(万元),9751,5992,2059,50298,44806,10357,3735,34002,18256,9535,2029,34795,16547,4710,563,29409,14955,4183,1444,19838,10409,2332,1080,16534,8478,3545,1197,16162,--,2494,823,12289,--,--,--,-465,0,--,0,30,0,0,0,-569,0,0,0,-481,-218,-169,-47,0,-22,-23,4,0,0,296,0,318,0,0,0,0,0,
利润总额(万元),-42476,-33826,-29435,31496,36330,1972,-17283,44744,41715,11142,-22542,49751,48590,17954,-16741,165337,148368,59112,-1379,77653,67544,22042,-6141,48444,45261,20866,-4477,33681,33931,10645,-4355,21474,17269,4204,-3809,11615,10475,3339,-5004,4462,3936,-2369,-7370,-21388,-9879,-19042,-3327,15763,16123,5303,-3130,10897,13417,5482,-1836,10122,5767,7621,3083,5737,2024,5409,2892,2887,2547,
净利润(万元),-32360,-25352,-23510,25248,30720,-1986,-15125,28020,30298,8243,-18062,31871,34399,12314,-13303,113022,97861,38276,-741,50542,47991,15290,-4981,35103,31658,14423,-3398,19200,20033,6313,-2762,10480,8191,1948,-2732,4425,4260,1388,-3736,915,742,-2921,-5617,-24963,-13843,-19147,-2738,10114,10755,3048,-2273,6752,9489,3363,-1464,6025,3841,6783,2525,4708,1721,4120,2040,2168,1910,
