报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-08-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.86,0.3,0.1,0.96,0.92,-0.1,-0.36,-0.49,-0.11,0.07,0.02,0.67,1.03,-0.13,-0.41,-0.41,0.06,0.08,0,0.46,0.4,-1.46,-0.83,0.24,0.11,-0.55,-0.42,0.86,0.52,-0.17,-0.28,0.12,0.24,-0.17,-0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,8.8,7.64,7.36,7.77,8.24,8.26,8.35,8.35,4.51,2.65,3.39,4.27,4.14,3.47,3.51,4.29,4.01,3.32,3.37,3.65,3.8,3.38,3.55,3.6,3.6,3.56,3.87,4.11,4.06,3.69,3.67,2.94,2.81,2.51,2.14,1.84,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,5.33,1.25,0.28,4.65,4.04,2.77,1.16,8.57,4.82,1.49,0.61,4,3.32,1.28,0.82,4.12,1.43,0.41,0.26,1.63,1.09,0.43,0.3,1.05,0,--,0,1.26,0,0,0,1.49,0.3,1.36,0.31,--,
主营业务收入(万元),197667,106860,52419,214712,177156,59295,12197,101742,90320,71012,35254,177149,163370,62123,9432,97687,88980,65196,32041,144566,112241,29545,11739,81661,67316,29934,12438,72275,41124,10656,1341,30724,26159,10450,3984,31086,20930,12822,4197,35373,26868,13234,3702,34744,23193,25048,18822,18439,
主营业务利润(万元),112601,59706,29570,114493,98940,29556,4571,46911,46151,37654,19100,94903,93590,33273,3169,48096,47185,35695,17264,73030,57121,-2476,-3813,35600,33906,8258,1907,48001,26322,4715,-1188,15822,15981,4077,--,8092,3581,1238,-974,13030,10778,3155,-1333,15072,10732,8801,5102,5692,
营业利润(万元),46840,15996,6907,46553,46720,-4508,-11941,-15692,-3583,3796,1748,26859,38665,-3818,-14129,-12245,3821,4260,1216,14461,14206,-33630,-19116,3823,1688,-13519,-9398,16926,9748,-2678,-4547,1628,4036,-2878,-2166,-3916,-5305,-4745,-3631,3655,3127,-1808,-4033,5098,3629,4978,3603,4446,
投资收益(万元),111,111,--,86,--,--,--,138,--,--,--,117,--,--,--,78,--,--,--,--,54,--,--,6861,288,288,288,900,900,450,450,450,--,--,0,1080,540,--,0,1648,928,360,360,648,648,576,1008,288,
营业外收支净额(万元),3767,3013,756,7129,3910,554,10,-277,10,6,-0,-481,-9,0,0,279,-15,-20,0,189,-10,-10,-10,228,49,107,55,-168,--,--,--,130,--,0,--,-1843,0,--,0,-56,0,0,0,-170,0,-282,-149,-178,
利润总额(万元),50608,19008,7663,53682,50630,-3954,-11930,-15968,-3573,3802,1747,26378,38656,-3818,-14129,-11966,3806,4240,1216,14651,14196,-33641,-19126,4051,1737,-13412,-9343,16759,9743,-2682,-4551,1758,3785,-2878,-2166,-4679,-4775,-4752,-3631,5247,4021,-1482,-3673,5576,4237,5272,4463,4556,
净利润(万元),26170,9241,3048,29423,28138,-3009,-7380,-9910,-2269,1423,323,13689,20971,-2550,-8361,-8434,1172,1527,58,6517,5560,-20490,-11635,3366,1566,-7762,-5885,12046,7353,-2413,-3897,1699,3430,-2428,-1637,-3963,-3930,-4456,-3355,4715,3708,-1381,-3515,5085,3841,4411,3896,3808,
