报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,
基本每股收益(元),0.1,0.12,0.12,0.43,0.5,0.5,0.48,0.16,0.15,0.13,0.11,0.11,0.16,0.14,0.11,0.94,0.85,0.84,0.13,0.29,0.22,0.15,0.13,0.24,0.19,0.14,0.12,0.37,0.29,0.2,0.13,0.45,0.31,0.19,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,3.61,--,3.58,--,3.09,--,3.05,--,2.98,2.96,3.08,2.97,2.93,2.9,2.17,2.02,1.95,1.88,1.86,1.73,1.68,1.63,2.2,2.08,2.02,1.93,1.86,3.47,3.33,3.21,3.15,2.99,2.89,2.88,2.85,2.85,2.8,2.76,3.08,3.01,2.92,2.87,2.83,2.78,2.71,2.67,2.63,2.58,2.51,2.47,2.43,2.42,2.92,2.9,3.02,2.94,3.01,2.91,2.72,2.58,2.67,3.05,2.61,2.41,2.38,2.05,1.92,1.96,1.03,
每股经营活动产生的现金流量净额(元),--,--,--,--,-1.9,--,-0.96,--,-0.64,--,-0.22,--,0.08,0.06,-0.25,-0.2,--,-0.05,-0.01,0.77,0.32,0.11,0.07,0.69,0.35,0.13,0.04,0.69,0.31,0.21,0.07,1.03,0.51,0.14,0.38,0.9,0,--,0,-0.22,0,0,0,0.32,0,0,0,0.73,0,0,0,0.55,0,0.31,--,-0.08,-0.12,0.28,-0.17,0.04,-0.2,0.25,0.01,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),115446,83042,47637,174634,124149,90700,52347,203674,146732,108058,58759,206853,147153,104796,59546,213472,151077,109787,65330,189240,131247,91806,51965,155932,106401,73177,40420,136821,96085,67415,39472,111863,75608,51835,28584,83675,56415,39601,22741,65308,44260,31443,18754,51872,36350,26292,15455,47611,33328,22497,12937,35572,25366,17821,10711,60351,33662,58560,25940,53712,25870,53348,23597,44018,20939,38155,18357,35720,16620,27290,12852,27648,23035,
主营业务利润(万元),24611,17777,10050,34891,26081,18656,9994,38892,28735,20981,11722,40950,29749,20921,11681,41325,30014,21551,12748,39250,27837,19635,10945,31474,22332,15834,8907,30783,22204,15110,8811,23951,16184,10728,--,13230,9353,5938,3310,10479,6897,5073,3043,8819,6101,4420,2421,8217,5457,3822,2244,6788,4655,3066,1615,4402,2950,6398,3239,7863,4105,7789,3736,4192,2525,3707,2079,3276,1633,2758,1450,1859,1350,
营业利润(万元),3652,5856,5223,21206,20453,20754,20519,8315,7493,6642,5205,9139,8214,7655,5221,12947,8468,7366,5656,14224,10485,7219,5663,11375,8209,6238,4004,11308,8640,5744,4509,8087,5567,3928,2516,6687,4132,2886,1900,4555,2900,2239,1547,4465,2939,2048,1126,3668,2035,1421,738,2182,1070,505,33,-3067,221,590,940,1443,1446,3501,1761,4282,0,3772,0,3300,0,0,1450,1859,1350,
投资收益(万元),2561,2321,757,19248,19254,19137,18725,1156,590,66,-201,-1823,-1189,-393,-217,-273,-80,9,-71,63,176,318,210,33,-102,-86,-164,-380,-278,-198,-119,-88,216,59,0,-518,-390,--,-130,-29,-98,-1,0,-55,-156,-106,-51,-280,-168,-115,-63,-39,25,25,15,-383,225,81,193,15,26,1726,384,240,65,221,51,186,95,22,5,25,0,
营业外收支净额(万元),1399,20,-0,-3016,1,47,108,-489,-44,-43,66,-994,79,-273,-20,29851,30206,30372,2,-272,-213,-245,1,277,239,38,1,839,--,--,--,--,--,--,--,-244,0,--,-9,-163,0,0,0,-37,0,13,0,6,5,7,6,1,2,-1,0,-2766,0,203,0,-47,0,0,0,0,1,0,4,0,-9,-8,0,0,--,
利润总额(万元),5051,5876,5223,18190,20454,20801,20628,7826,7448,6599,5271,8145,8293,7382,5201,42798,38674,37738,5659,13952,10272,6974,5664,11652,8448,6276,4004,12148,8994,5931,4498,8397,5830,4058,2481,5925,3707,2592,1761,4369,2797,2231,1525,4263,2800,1964,1083,3407,1884,1324,691,2149,1097,529,47,-6194,452,882,1135,1415,1416,5191,2147,4565,2674,4021,2154,3493,1722,2772,1355,1753,1060,
净利润(万元),4234,4582,4107,14624,17133,16997,16330,5622,5140,4516,3628,3840,5383,4818,3738,32190,29065,28670,4424,10089,7676,5127,4354,8289,6596,4822,3103,9881,7674,5248,3417,5942,4110,2567,1679,4338,2881,1992,1279,3146,2043,1543,1040,2902,1914,1240,714,2574,1702,1200,636,2077,1100,534,75,-5944,413,748,1012,1194,1248,4418,1869,3771,2241,3361,1768,2822,1427,2300,1152,1490,0,
