报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.1,0.07,0.05,0.22,0.18,0.13,0.07,0.04,0.1,0.07,0.06,0.47,0.49,0.41,0.35,1.02,0.81,0.6,0.47,1.03,0.78,0.55,0.79,0.6,0.76,0.86,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,5.07,4.98,8.22,7.86,7.65,7.44,11.74,11.27,4.27,4.03,3.69,0,3.21,2.45,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.21,0.17,-0.04,0.35,0.26,0.3,0.03,0.59,0.35,0.34,0.78,0.38,0.22,1.24,
主营业务收入(万元),49249,31624,14565,55164,29156,19382,9303,24742,20731,13149,6449,32362,27940,21714,11057,44071,32624,22851,10029,26556,19399,12787,20287,14701,18383,22258,
主营业务利润(万元),19467,12431,5943,20709,9925,6661,2860,7574,5947,4102,2038,11562,10536,8213,4270,16909,12419,8774,3897,9744,7083,4677,7528,5088,7136,8885,
营业利润(万元),3810,2546,1442,5548,4215,3278,1769,860,2598,1916,1026,7011,8117,6608,4017,10501,8189,5835,2690,5727,4390,3116,3944,3028,3676,5452,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,30,
营业外收支净额(万元),436,440,-5,540,647,27,-8,216,133,20,-2,956,295,302,-13,985,976,991,857,65,15,12,425,380,532,458,
利润总额(万元),4245,2986,1437,6088,4862,3305,1761,1076,2731,1936,1024,7967,8413,6910,4004,11487,9165,6826,3546,5792,4406,3127,4369,3408,4208,5909,
净利润(万元),3310,2394,1178,4856,3945,2744,1476,822,2261,1602,844,6765,7116,5852,3397,9802,7742,5762,3026,4942,3751,2619,3802,2896,3669,4140,
净利润(扣除非经常性损益后)(万元),2920,2007,1176,4399,3559,2707,1475,616,2132,1574,841,5931,--,5582,--,8929,--,4899,--,4865,3722,2598,3728,2865,3577,3939,
经营活动产生的现金流量净额(万元),-6683,-5210,-855,1061,-2260,-3241,708,4011,1786,2318,-1182,4892,3062,2465,-399,3370,2491,2855,180,3771,1698,1623,3735,1829,1055,5935,
现金及现金等价物净增加额(万元),-7846,-9134,-7524,-3614,-2209,-1434,2560,-14812,-15522,-6697,-3671,-13531,-15867,-6120,-2280,-9092,-7461,-5464,-2565,51680,373,425,1525,734,-1421,2121,
总资产(万元),137285,133627,128863,135081,106223,95628,97909,96465,93878,91803,94811,95269,90118,91672,96166,94791,92694,90368,89664,89116,34838,31642,30098,0,24527,25394,
流动资产(万元),91037,86078,81760,86681,61928,60242,62608,57855,58332,63340,69080,68847,76798,79572,84458,83345,83351,81758,81067,80553,26195,23025,21136,--,16478,17000,
总负债(万元),63862,63198,57720,65144,38926,29603,33574,33591,29539,28095,20315,21605,16123,19919,17267,19289,19253,18907,14556,17017,14357,12294,12409,--,9104,13640,
流动负债(万元),54899,54827,52593,59309,37156,27834,31805,31806,27739,26295,18515,19790,15922,19718,17066,19072,19189,18842,14491,16953,14126,12061,12177,--,8885,13414,
股东权益不含少数股东权益(万元),67931,67050,67841,66779,65932,64731,63463,61987,63426,62767,73529,72685,73017,71753,78899,75501,73441,71461,75108,72099,20481,19348,17690,0,15423,11754,
净资产收益率加权(%),4.91,3.54,1.75,7.54,6.17,4.33,2.35,1.24,3.29,2.24,1.14,9.23,9.51,7.62,4.4,13.48,10.69,7.91,4.11,25.53,0,14.26,23.7,0,27,42.09,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
