报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-06-30,2001-12-31,2000-12-31,2000-06-30,
基本每股收益(元),0.18,0.15,0.17,0.43,0.42,0.45,0.28,0.82,0.5,0.44,0.22,0.69,0.46,0.34,0.22,0.45,0.49,0.34,0.2,0.02,0.06,0.06,0.02,0.08,-0.04,-0.01,0,0.12,0.05,0,0,0.08,0.02,0.01,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.01,
每股净资产(元),--,--,--,--,--,--,4.11,--,3.53,--,3.46,--,3.02,2.89,2.92,2.7,2.75,2.6,2.45,2.25,2.27,2.27,2.28,2.26,2.15,2.18,3.38,3.38,3.31,3.26,1.62,2.1,2.01,2,2,1.97,2.2,2.2,2.17,2.16,2.16,2.2,2.2,2.12,2.1,2.09,3.31,3.31,3.08,3.07,0,1.85,0,1.57,1.46,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,0.55,--,0.46,--,0.14,--,0.4,0.35,0.24,0.18,0.61,0.33,-0.01,-0.37,0.1,0.08,-0.07,-0.3,-0,0.19,0.09,-0.53,0.03,0.14,0.34,0.19,0.39,0.5,0.29,-0.37,0,0,0,0.16,0,0,0,0.75,0,0,0,0.17,0,0,0,0.17,0,0.4,--,--,
主营业务收入(万元),107989,84829,38808,115360,79809,56743,47871,127925,54195,43338,22170,107165,68676,51902,30442,95078,56364,31009,15121,82094,47757,33534,12989,53369,29317,22678,10421,56064,41603,26725,12908,51798,28855,17868,11111,26682,22548,18686,8532,19042,12185,9466,4717,31357,13695,7984,3870,21062,3612,2928,985,6259,530,6149,5069,--,
主营业务利润(万元),11388,9597,5123,14001,7618,3814,2525,9130,5496,3749,2281,12591,5978,4099,3052,16448,3743,2035,2489,12511,6836,5342,2672,7444,1485,1112,537,7622,4241,2623,1384,8239,4136,2001,--,6471,5652,4504,1767,6348,4297,2985,1148,9470,3174,2024,957,6649,1279,1028,248,2288,301,3320,2662,--,
营业利润(万元),15236,12798,7649,17451,17318,16589,10710,24437,18105,15222,8109,24070,16756,12237,7975,14738,16200,12145,7118,131,1722,1719,459,2216,-1632,-575,-167,2520,1233,84,11,24,-517,-109,-467,-3395,233,436,49,-4234,-3163,-966,-996,202,159,286,10,4764,611,528,46,2117,370,1697,1312,--,
投资收益(万元),18411,12846,6941,24466,19484,18437,10161,35712,25371,20078,9825,40863,28687,22002,10123,32822,23952,16341,8681,11216,8264,4956,1822,6933,2328,1486,728,5905,3767,1587,533,1923,818,802,0,306,396,394,411,5184,4176,2579,2513,-366,17,125,44,-7,0,0,0,0,0,0,--,--,
营业外收支净额(万元),652,402,169,1083,555,403,161,5052,129,174,7,566,204,230,102,1243,504,159,134,407,132,76,76,1143,506,446,311,714,--,255,--,2021,--,427,--,-423,0,0,0,-62,0,0,0,-76,0,0,0,-380,-66,-65,0,0,0,0,-9,--,
利润总额(万元),15888,13201,7818,18535,17872,16992,10871,29489,18234,15396,8116,24637,16960,12466,8077,15981,16704,12304,7252,538,1854,1794,535,3359,-1126,-128,144,3234,1522,340,120,2045,582,318,93,-3248,909,928,470,1301,1340,1797,1556,179,353,544,177,4539,545,463,46,2301,363,2056,1403,--,
净利润(万元),13751,11409,6703,16184,15629,16228,10197,29716,18163,15777,8136,24917,16820,12192,7932,16289,17815,12443,7336,593,2162,2055,590,2746,-1322,-399,49,2875,1217,36,103,1385,362,133,54,-3211,711,833,269,579,1022,1427,1450,1275,466,437,84,3174,464,394,39,2301,363,2056,1403,--,
