报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.21,0.11,0.02,0.04,0.04,0.03,0.01,0.08,0.06,0.03,0.01,0.17,0.13,0.05,0.02,0.2,0.16,0.1,0.04,0.28,0.18,0.1,0.04,0.32,0.22,0.14,0.05,0.31,0.22,0.16,0.06,0.35,0.25,0.16,0.08,--,--,--,0.16,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,0,--,--,3.33,3.25,3.32,3.3,3.26,3.2,3.29,3.25,3.16,3.08,3.17,3.13,3.04,2.95,3,2.95,2.86,2.9,2.8,2.74,2.63,2.54,2.92,2.82,1.67,3.05,--,2.84,2.89,1.85,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0,--,--,0.14,0.03,-0.02,0.33,0.25,0.1,0.06,0.29,0.18,0.03,0.07,0.36,0.51,0.27,0.04,0.27,-0.01,-0.14,-0.21,0.19,0.35,0.17,0.01,0.26,0,0,--,1.2,0,0,
主营业务收入(万元),98232,55612,18956,90743,65109,40177,17443,84835,64963,40311,17900,104115,79412,51826,20961,105326,78316,48710,19918,109368,83466,49223,19675,85010,58422,35290,14068,87146,63979,41327,16096,83171,57833,35941,14906,66085,47193,33219,11699,52528,45718,40455,
主营业务利润(万元),19829,11156,3754,17148,13005,8589,3690,17226,13049,8231,3649,22491,16493,10108,3874,20509,15587,9907,4375,21374,15602,9176,3846,19072,13647,8233,2782,17250,13374,9343,3788,18270,13449,8695,3761,15140,11407,7828,2912,11759,12489,10047,
营业利润(万元),5991,2885,389,-494,-93,-178,-475,1302,1012,596,290,3960,2921,1149,452,4498,3977,2196,1043,5497,4212,2153,620,7306,4941,2903,704,5791,4548,3439,1181,8726,6499,3820,1403,6876,5271,3522,1234,4955,5948,5279,
投资收益(万元),646,604,130,668,436,323,140,1101,766,557,224,582,302,269,160,825,433,116,10,311,--,--,0,--,--,--,--,--,--,0,--,53,26,--,0,13,11,14,-8,-132,-151,-85,
营业外收支净额(万元),369,269,205,2046,1627,932,576,1089,469,240,113,754,504,365,206,889,573,486,151,2012,748,590,321,1123,914,767,645,1686,--,--,--,--,--,--,--,-240,0,0,262,0,0,0,
利润总额(万元),6360,3154,594,1552,1533,754,101,2391,1481,837,402,4714,3425,1514,658,5388,4549,2682,1194,7509,4960,2744,940,8429,5855,3670,1349,7477,5261,3883,1519,10276,7277,4429,1648,8110,6350,3987,1496,5399,12869,5445,
净利润(万元),5333,2482,344,929,966,567,116,1680,1236,706,248,3661,2773,1140,456,4361,3555,2079,866,6016,4013,2155,844,6883,4830,3037,1106,6686,4742,3574,1382,7699,5554,3536,1609,6228,4955,2915,1142,4144,8353,3900,
净利润(扣除非经常性损益后)(万元),4587,1394,-161,-792,-376,93,-11,119,147,-84,-60,3002,--,1236,--,2699,--,1213,--,4248,--,1680,0,6141,--,2397,0,5430,0,3217,--,6494,0,2965,--,5306,4066,2630,--,4119,3589,3914,
经营活动产生的现金流量净额(万元),-5290,-4004,-4155,83,-2659,-5303,-2349,6842,-666,-2509,-1031,6032,3074,620,-539,7220,5423,2083,1356,6305,3853,755,1452,7914,11072,5909,923,5885,-212,-3138,-4623,4048,7605,3768,160,4922,6856,3072,-553,8499,2526,7389,
现金及现金等价物净增加额(万元),-9091,-3438,-7161,-13586,-15430,-10804,-11056,729,-9259,-3970,-1637,-2237,-4859,-3986,-4089,1916,984,-9663,534,16296,5116,7683,13722,-10116,-9328,-8636,-6597,11097,15661,8470,-3077,-859,1546,-216,3322,-2411,-6727,-3465,-1884,-16167,21072,6401,
总资产(万元),194439,207554,114141,117011,114296,115913,115647,117133,114840,115755,112835,117278,117657,119687,114884,120716,120642,113026,123492,127054,116979,120287,120651,105319,104905,115106,111429,112958,102657,98915,87478,87138,85039,86337,88490,88117,54780,59676,--,50638,68416,44196,
流动资产(万元),71160,84580,64862,67828,64461,63033,62102,63721,61624,62673,59693,63785,63948,66117,61316,66420,65714,58283,68501,71487,56323,64189,64007,48605,49513,60678,59827,67017,57970,55998,49962,56266,57367,59448,63561,63580,31450,37177,--,30251,50493,24996,
总负债(万元),34709,50941,38933,42076,39320,41423,40496,41893,39752,41268,37703,42377,43587,47262,40942,47195,47932,41826,50222,54668,46631,51854,50316,35414,37638,49310,44751,47418,38786,34071,25299,26250,25954,27580,30029,31565,28203,35236,--,27920,44624,28863,
流动负债(万元),34103,50187,38609,41814,39016,21147,20209,21463,19298,40805,37269,41953,43209,26889,20439,26643,27523,41405,49788,54223,46114,36325,34748,34842,37638,49310,44751,47418,37843,33127,24356,25245,24813,26381,28830,30366,26932,33966,--,26575,42637,28863,
股东权益不含少数股东权益(万元),159042,156190,74302,73957,73994,73597,74240,74119,73709,73160,73822,73575,72700,71057,72554,72102,71288,69842,71916,71050,69066,67211,69177,68331,66306,64505,65454,64336,62408,63404,61238,59912,57397,55390,55406,53581,23637,21628,--,20142,20475,13114,
净资产收益率加权(%),4.72,2.79,0.46,1.25,1.3,0.76,0.16,2.27,1.67,0.95,0.34,5.03,3.81,1.57,0.64,6.09,4.96,2.88,1.21,8.67,5.85,3.14,1.23,10.38,--,4.61,0,10.66,0,5.79,--,13.57,0,6.41,--,26.78,0,13.5,--,20.2,50.74,35.01,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
