报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,
基本每股收益(元),0.38,0.33,0.27,0.49,0.32,0.28,0.25,--,0.23,0.21,0.19,0.33,0.25,0.18,0.32,0.8,0.69,0.56,0.41,0.79,0.62,0.49,0.35,0.7,0.51,0.41,0.29,0.67,0.5,0.41,0.62,0.44,0.33,0.5,0.34,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.86,2.79,5.78,5.46,5.33,5.21,5.26,4.85,4.65,4.53,4.69,4.34,4.16,4.04,4.33,4.04,3.85,2.21,1.79,0,0,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.5,0.39,0.4,1.07,0.9,0.57,0.24,1.44,0.84,0.66,0.43,1.17,0.83,0.62,0.38,0.79,0.6,0.56,1.16,0,0.58,0.97,1.01,
主营业务收入(万元),458705,330979,210881,532246,345495,248611,164109,405809,275872,203803,132281,380317,260052,195596,132452,331295,229024,169033,110000,247993,163557,120155,77524,199963,133601,97791,64224,174982,121667,90539,157870,109891,81419,135442,110276,
主营业务利润(万元),72703,58776,38195,94263,62692,297912,201033,71407,49756,39620,28821,450050,47248,34899,25913,61956,48035,38113,26487,57351,42414,32658,22568,51245,35074,27040,19118,43853,30448,24017,41235,28549,21881,33892,27529,
营业利润(万元),49694,43608,35779,60656,38568,33465,29665,39451,26643,24816,22090,39654,29618,21170,18814,46775,41031,33493,24367,47511,37283,29428,20800,41878,30674,24198,17511,34582,24518,19909,30666,21119,16339,24452,19319,
投资收益(万元),2323,1342,932,2118,1272,929,729,1381,953,760,534,969,678,671,561,814,698,682,593,1365,1113,838,489,1016,937,628,349,95,49,0,24,24,25,--,375,
营业外收支净额(万元),869,320,277,217,295,133,48,136,181,145,70,-228,-29,-48,30,1278,132,98,63,-10,-229,1,1,-44,-49,-51,-0,290,--,--,-48,--,--,-78,-3729,
利润总额(万元),50564,43928,36056,60873,38863,33597,29713,39587,26824,24961,22161,39426,29589,21122,18844,48053,41163,33591,24430,47501,37055,29429,20801,41833,30626,24147,17511,34871,24570,19942,30618,21155,16386,24374,15590,
净利润(万元),42746,36656,30413,51233,33051,28578,25358,33773,23019,21358,18953,33552,25040,17807,16062,40839,35069,28648,20772,40394,31463,24987,17665,35572,26162,20592,14886,29559,20846,16913,25385,17774,13579,20414,12429,
净利润(扣除非经常性损益后)(万元),42003,36374,30176,51029,32800,28466,25318,--,22864,21236,18893,33735,--,17848,--,38420,--,28565,--,40386,--,24986,--,35669,--,20643,0,29133,0,16849,25420,0,13518,20490,15724,
经营活动产生的现金流量净额(万元),107083,73401,34689,112555,77478,60571,42447,85274,58899,41469,25996,94331,51173,39347,20163,54452,45995,28994,12269,73216,42913,33437,21848,59584,42388,31409,19115,40108,30675,22769,47178,33148,23788,39672,41125,
现金及现金等价物净增加额(万元),-44726,-51370,-15792,37306,63050,-33712,-17877,-2493,-44295,-1339,-173,51776,17100,24831,16281,-10940,29038,1234,457,7963,-13334,-1273,7149,-34600,-41816,-36520,-2952,72335,80986,-1342,-7852,-6778,9109,4208,3638,
总资产(万元),966149,936656,986319,975030,971852,863114,876153,865683,799227,804191,785664,760922,681597,664009,660553,598923,534157,427274,422495,399627,339789,334008,327346,305646,280440,271137,298485,290978,276760,189208,185271,0,0,191021,193710,
流动资产(万元),177771,153036,198877,185608,209635,108922,125298,132559,111470,149611,143340,153584,101917,102606,123944,93831,132336,82024,84936,75700,56602,64950,78339,62118,58959,61657,99179,102104,109493,20003,20051,--,--,27050,24986,
总负债(万元),475267,453849,493591,514857,531075,526404,527159,543633,494353,500966,464863,460462,389326,378562,365491,320050,261625,161125,153382,151636,101700,102142,87631,83616,69143,65583,78300,85679,81242,99009,111985,--,--,143120,149630,
流动负债(万元),243625,254340,291959,286953,173176,181009,209376,230881,234395,243265,198557,215130,191462,173775,213937,168887,110340,108854,104846,112107,70872,84158,70515,66568,56159,52603,56174,63556,54205,71883,82676,--,--,96228,71423,
股东权益不含少数股东权益(万元),479478,472891,482799,450638,431561,329031,341362,314352,304044,302318,319814,299402,291100,284193,293753,277532,271095,264740,267671,246529,236593,230366,238215,220530,211297,205554,220185,205299,195518,90199,73287,0,0,47901,44080,
净资产收益率加权(%),9.16,7.86,6.53,14.41,10.2,8.76,7.75,--,7.63,6.96,6.14,11.68,8.8,6.26,5.62,15.65,13.28,10.98,8.08,17.33,13.32,10.72,7.7,16.98,--,9.55,0,24.05,0,0,41.89,0,0,37.6,33.74,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
