报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.38,0.26,0.47,0.42,0.24,0.45,0.49,0.61,
每股净资产(元),--,--,4.28,--,--,3.8,3.39,2.97,
每股经营活动产生的现金流量净额(元),--,--,0.45,--,--,0.72,0.56,0.12,
主营业务收入(万元),62205,39590,77078,60835,39097,74610,81488,72582,
主营业务利润(万元),16170,10412,20664,16354,10620,19632,20110,18172,
营业利润(万元),6646,4006,7113,6563,3575,6851,7444,8830,
投资收益(万元),--,--,--,--,--,--,--,1,
营业外收支净额(万元),302,280,529,279,231,423,271,267,
利润总额(万元),6947,4286,7642,6842,3805,7274,7716,9097,
净利润(万元),5850,3557,6451,5747,3232,6226,6669,7725,
净利润(扣除非经常性损益后)(万元),5597,3359,6008,--,3043,5870,6443,7397,
经营活动产生的现金流量净额(万元),5131,6138,6123,6408,6035,9830,7656,1645,
现金及现金等价物净增加额(万元),28500,33294,868,2496,6466,2751,-1975,4768,
总资产(万元),139696,145343,108991,--,--,98963,78639,74289,
流动资产(万元),105588,109913,76330,--,--,74542,58712,59619,
总负债(万元),43833,51786,50297,--,--,46876,32180,33515,
流动负债(万元),43266,44373,43366,--,--,45027,29420,30215,
股东权益不含少数股东权益(万元),95863,93558,58694,--,--,52086,46460,40774,
净资产收益率加权(%),8.12,5.88,11.65,--,6.02,12.64,15.29,24.96,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
