报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.13,0.09,-0.05,0.4,0.22,0.11,-0.05,0.56,0.51,0.48,
每股净资产(元),--,--,--,3.18,--,2.89,--,2.85,2.29,1.78,
每股经营活动产生的现金流量净额(元),--,--,--,0.06,--,-0.86,--,0.32,0.25,0.43,
主营业务收入(万元),22219,16067,4294,36245,22845,17414,4071,38353,28616,20263,
主营业务利润(万元),7874,5066,1375,11621,8205,5306,1207,12239,10358,8099,
营业利润(万元),1393,1001,-484,4073,2291,1190,-535,5434,5218,4693,
投资收益(万元),-78,-54,5,-22,-31,-54,-19,20,12,--,
营业外收支净额(万元),132,1,--,195,54,54,-1,531,187,133,
利润总额(万元),1526,1002,-484,4268,2345,1244,-536,5965,5405,4826,
净利润(万元),1345,867,-425,3584,1970,1005,-471,5016,4563,4059,
净利润(扣除非经常性损益后)(万元),1233,865,-425,3419,1924,959,-470,4564,4405,3963,
经营活动产生的现金流量净额(万元),-20024,-10363,-9911,552,-9938,-7749,-8684,2880,2267,3869,
现金及现金等价物净增加额(万元),-6935,-3381,-8641,1814,-5514,-5520,-5480,1291,3936,418,
总资产(万元),84636,75756,61026,65706,--,55820,--,56632,49004,32137,
流动资产(万元),55553,51145,36589,41647,--,35252,--,37117,33641,19867,
总负债(万元),38278,30638,32735,36997,--,29744,--,30890,28307,16064,
流动负债(万元),34874,27235,27731,32277,--,25454,--,29750,27507,12264,
股东权益不含少数股东权益(万元),45638,45118,28291,28710,--,26076,--,25743,20697,16073,
净资产收益率加权(%),3.62,2.35,-1.49,13.26,7.49,3.89,-1.87,21.66,24.86,35.9,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
