报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),2.64,1.9,2.19,4.93,4,2.7,1.37,3.56,2.95,2.26,0.93,2.53,2.03,1.76,0.77,2.5,1.88,1.67,0.76,2.3,1.71,1.3,0.62,1.89,0.94,0.59,0.22,0.09,-0.1,0.97,0.66,2.11,1.65,1.16,0.59,--,0.59,0.64,0.54,--,--,--,--,--,--,--,
每股净资产(元),17.96,18.12,34.43,32.56,27.62,26.08,24.46,23.08,22.74,21.82,21.28,20.16,18.47,18.54,17.76,16.53,15.3,16.97,15.55,14.66,14.52,13.75,12.21,11.57,12.32,12.3,11.27,10.72,10.17,11.02,12.81,14.6,14.06,12.72,11.97,5.92,5.55,--,5.27,4.87,3.02,5.38,2.79,--,--,--,
每股经营活动产生的现金流量净额(元),9.36,13.57,6.7,21.38,11.88,15.8,13.44,27.43,26.38,13.37,7.67,35.48,20.32,25.84,13.82,9.52,10.8,10.21,7.65,18.52,13.31,8.79,3.09,12.7,8.74,7.81,1.78,8.49,5.29,2.9,0.53,3.7,2.79,2.87,2.54,6.03,5.06,4.04,5.13,5.55,--,14.44,13.61,--,--,--,
主营业务收入(万元),47320600,33790900,17545700,46288200,34436000,23633600,13115400,36263100,27448300,18947400,10313600,29937200,22643600,15953100,8650400,24891500,18532900,12974900,7391500,18943900,13822600,9381800,5214800,14783500,16079700,11086800,5535400,13980300,10421600,7148500,3841200,16520400,12910200,8405100,4033700,8171213,6141500,5462700,6738300,6149600,6369700,6202667,4652639,2737500,4857496,2168134,
主营业务利润(万元),8074200,5942800,3346000,6234100,4961000,3251600,1666200,4633900,3770500,2757600,1197600,3237500,2523400,2055000,1034900,2991300,2152000,1630600,724900,2231700,1652000,1219400,549500,1958100,1080700,733100,272100,-230700,-379600,717200,553400,1716700,1237600,848700,438300,-1451686,-873800,442700,-479200,-313200,-274300,0,0,-204400,-173336,-103751,
营业利润(万元),8074200,5942800,3346000,6234100,4961000,3251600,1666200,4633900,3770500,2757600,1197600,3237500,2523400,2055000,1034900,2991300,2152000,1630600,724900,2231700,1652000,1219400,549500,1958100,1080700,733100,272100,-230700,-379600,717200,553400,1716700,1237600,848700,438300,618239,397300,442700,382200,336400,271300,268313,229037,146700,-173336,-103751,
投资收益(万元),10652300,8412100,3360900,7873500,5380900,3378000,1596600,5491700,4221900,2799700,1156900,3299600,2443800,1824800,616100,3257200,2337400,1817700,761800,3278200,2090600,1176500,619800,3038000,2464100,1388700,435900,2824800,2656700,2344500,1615600,5695000,4614200,2912400,1334600,1851307,1089400,880200,588500,298600,260800,76365,177153,351100,232399,--,
营业外收支净额(万元),22600,11500,3500,1200,-4700,10500,700,-11500,-16300,-22500,1700,-3700,-1300,-2900,-900,11300,5500,-4000,1700,3000,900,1400,2600,33800,16900,-2100,4900,-14600,-12700,-5300,-200,31600,41100,38500,600,7561,-6300,-100,-6600,0,-5800,0,0,-5200,-2488,143928,
利润总额(万元),8096800,5954300,3349500,6235300,4956300,3262100,1666900,4622400,3754200,2735100,1199300,3233800,2522100,2052100,1034000,3002600,2157500,1626600,726600,2234700,1652900,1220800,552100,1991900,1097600,731000,277000,-245300,-392300,711900,553200,1748300,1278700,887200,438900,625801,391000,442600,375600,321700,265500,262038,226555,141500,56575,40177,
净利润(万元),4827600,3464900,1996400,3927900,3168700,2136200,1080900,2815400,2333900,1791000,739300,2005000,1608500,1395900,606400,1947500,1451900,1275700,581400,1731100,1275600,961100,455100,1388300,692400,434700,163500,66200,-70500,710200,486000,1508600,1167900,806300,385000,598596,367700,394500,333800,260800,210600,182459,176093,128200,53628,38297,
净利润(扣除非经常性损益后)(万元),4811300,3456900,1993900,3921500,3167200,2128900,1080700,2834800,2353500,1812200,--,2009800,--,1398500,--,1943500,--,1279300,--,1731400,--,961200,--,1368900,0,437800,--,81300,0,715800,--,1485700,0,777100,0,569788,--,394600,--,262600,--,0,0,--,--,--,
