报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.28,0.14,0.03,0.28,0.24,0.08,0.02,0.24,0.19,0.07,0.03,0.34,0.25,0.09,0.03,0.42,0.47,0.36,0.67,0.54,0.31,
每股净资产(元),1.82,1.7,2.28,2.25,2.2,2.05,2.01,1.99,1.94,1.82,3.56,3.53,3.43,3.27,6.39,6.36,6.37,3.04,2.68,2.23,1.64,
每股经营活动产生的现金流量净额(元),-0.16,0.17,-0.09,0.52,0.24,0.03,0.04,-1,-0.9,-0.65,-0.65,-1.43,-0.92,-0.57,-0.56,-0.49,-0.15,0.12,0.44,-0.12,0.07,
主营业务收入(万元),48751,31319,13912,35072,28359,18413,6308,45095,33092,19087,8056,36153,21803,10366,2153,15966,14395,11097,20653,17177,12639,
主营业务利润(万元),14303,7115,2136,13681,10388,4412,1513,13442,8928,4695,1671,10584,7195,3548,741,5764,5111,3737,7021,4460,3060,
营业利润(万元),10128,4500,1114,9500,7065,2329,363,8198,5584,2095,550,5599,3765,1367,216,1986,2357,2067,3526,2175,1407,
投资收益(万元),1899,1273,630,2429,1576,1048,411,1552,962,--,--,--,--,0,--,--,--,--,--,--,--,
营业外收支净额(万元),239,263,-0,429,394,362,276,392,292,212,-54,75,12,36,21,580,422,23,68,112,42,
利润总额(万元),10367,4763,1114,9929,7459,2692,638,8590,5876,2307,496,5674,3777,1403,237,2566,2778,2090,3594,2287,1449,
净利润(万元),8728,4062,887,7528,6274,2242,515,6394,4982,1901,420,4487,3287,1193,201,2286,2349,1789,3114,1995,1106,
净利润(扣除非经常性损益后)(万元),--,3839,--,7206,--,1939,--,6107,--,1721,--,4430,--,1162,--,1715,--,1769,3045,1894,1064,
经营活动产生的现金流量净额(万元),-5855,6259,-2358,13874,6313,881,1093,-26568,-23991,-17469,-8710,-19047,-12297,-7561,-3739,-3265,-1017,600,2034,-452,259,
现金及现金等价物净增加额(万元),3324,9673,-4116,771,1297,-2294,-3818,-4062,-948,-3182,45,-17125,-11682,-5109,-2770,21801,25698,453,4507,-596,831,
总资产(万元),170574,143007,125150,118969,121353,118258,108050,113467,115233,99144,86625,72155,60845,57262,50384,49817,52985,26245,23525,19246,17670,
流动资产(万元),86156,73270,78215,82243,66475,71570,54319,59957,70157,87061,76876,65238,56559,54646,49224,48608,52066,25433,23098,18944,17445,
总负债(万元),100422,78269,63468,58191,61949,63408,54386,60298,63448,50573,39108,25077,15135,13647,7760,7395,10500,11062,10131,12565,13562,
流动负债(万元),91319,67273,59548,54503,55116,57869,44952,50796,48358,39917,32696,22102,14828,13396,7585,7221,10352,10878,9968,12496,13505,
股东权益不含少数股东权益(万元),68147,63380,60907,60001,58745,54631,53565,53070,51685,48570,47518,47079,45710,43615,42624,42422,42485,15183,13394,6681,4108,
净资产收益率加权(%),13.62,6.58,1.47,13.33,11,4.15,0.97,12.78,10.04,3.96,0.89,10.03,7.46,2.77,0.47,10.77,16.12,12.52,29.27,37.66,31.13,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
