报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.26,0.12,0.08,0.66,0.45,0.33,0.13,0.72,0.51,0.32,0.12,0.56,0.4,0.23,0.16,0.76,0.5,0.29,0.19,0.86,0.64,0.39,0.09,0.94,0.59,0.35,0.78,0.32,0.52,0.49,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.14,2.97,5.84,5.67,5.42,5.2,10.33,10.13,9.82,9.58,9.34,3.85,3.5,3.25,--,0,--,--,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.23,-0.3,-0.57,0.36,0.06,0.04,-0.56,0.34,-1.16,-1.3,-0.46,0.89,0.39,-0.74,0.65,0,0.99,0.16,0,
主营业务收入(万元),113489,69492,29330,114574,86870,59153,27748,131929,83507,51820,22072,99049,67828,40533,18737,71016,47875,27855,11156,48892,33899,21391,8563,40643,28060,17103,33241,21951,28764,17623,0,
主营业务利润(万元),43670,23099,8908,44575,34232,23770,10373,49412,31060,19419,7661,35398,23923,14752,6124,23209,15704,9112,3553,15715,11025,6961,2568,12534,8613,5232,10443,6560,7977,5817,0,
营业利润(万元),23717,10729,3831,30283,20011,14376,6609,31166,20949,13036,4857,21668,15529,9361,3172,13597,9874,5556,1989,7971,5951,3396,1175,6913,4229,2364,5225,2617,4223,2497,0,
投资收益(万元),199,199,83,13238,259,259,67,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,0,0,0,14,14,0,--,0,
营业外收支净额(万元),425,327,234,2073,1710,1560,-8,560,98,63,1,1097,811,132,95,1686,270,228,-18,353,120,115,7,253,67,244,905,207,616,-10,0,
利润总额(万元),24142,11056,4065,32356,21721,15936,6601,31726,21047,13099,4857,22765,16340,9493,3267,15282,10144,5784,1972,8324,6071,3511,1181,7166,4467,2608,6129,2824,4839,2487,0,
净利润(万元),21029,9389,3286,26309,17922,13064,5139,25982,17573,11009,4110,19217,13810,7982,2765,13056,8677,4971,1676,7068,5160,3061,1004,6032,3803,2223,5019,2061,3324,1638,0,
净利润(扣除非经常性损益后)(万元),20703,9137,3086,13644,16469,11738,5146,22572,17491,10956,4110,18290,--,7874,--,11623,--,4777,--,6768,--,2963,--,5703,0,1901,4140,0,2912,1644,0,
经营活动产生的现金流量净额(万元),3638,16627,-842,-5488,-18251,-14301,-10581,2830,-6775,-5299,-8974,-8120,-17941,-10459,-9731,6189,1075,763,-4792,2959,-9934,-11199,-3996,5688,2522,-4733,4169,-5800,6325,1055,0,
现金及现金等价物净增加额(万元),5868,32549,-22325,-16936,-6617,11000,-8101,44506,60000,-1680,-7438,-36083,-23689,-16347,-11304,-14854,-7892,-4224,-1892,56794,51006,51148,62445,7664,4101,786,524,-475,1490,2013,0,
总资产(万元),442818,420578,399692,387628,324533,311372,295761,281868,271357,193834,183196,174133,184447,185185,159161,148682,149241,137209,127286,121181,122152,118022,116022,47330,44230,45310,38182,0,30083,26405,31113,
流动资产(万元),309722,298928,304560,292061,249125,236226,227398,214742,210751,133000,121315,113800,126671,123705,130096,121711,126907,119133,116143,111062,112222,108307,106314,37648,34438,35557,28354,--,23571,21672,0,
总负债(万元),219627,208571,184577,175972,121653,107808,100227,91760,72944,71981,64276,59346,75258,81820,57542,49866,56021,47694,38486,34057,37662,35631,35688,22715,21844,24504,19600,--,16519,16207,18224,
流动负债(万元),200355,190881,176128,167463,112779,99834,92194,83727,66982,68840,61046,56147,72214,79403,57231,49855,55041,46714,37299,33070,36535,34504,34561,21588,20877,23557,15843,--,12062,10698,0,
股东权益不含少数股东权益(万元),219817,208571,211617,208331,199943,200656,192730,187591,196583,120257,117487,113376,107970,102142,100391,97600,93221,89515,88800,87124,84490,82391,80334,24615,22386,20805,18583,0,13564,10198,12889,
净资产收益率加权(%),9.81,4.44,1.56,15.72,10.18,7.41,3.48,20.09,14.87,9.15,3.56,17.92,13.27,7.9,2.75,13.94,9.58,5.55,1.91,10.35,7.4,4.88,1.25,27.93,0,11.32,31.22,0,28.03,23.01,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
