报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.68,0.46,0.15,1.1,0.84,0.57,0.16,0.97,0.61,0.91,0.75,
每股净资产(元),--,--,--,--,--,4.49,--,4.11,--,3.35,3.91,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.07,--,0.58,--,0.67,1.06,
主营业务收入(万元),80279,52460,20839,89094,67545,45135,19208,80444,57170,70958,55271,
主营业务利润(万元),21372,14229,5139,26389,19757,13479,4483,23475,15566,22432,17983,
营业利润(万元),12847,8493,2502,15704,12208,8289,2254,14419,9115,13573,11351,
投资收益(万元),212,88,21,11,3,--,0,--,--,6,8,
营业外收支净额(万元),688,489,310,1011,714,553,337,797,422,472,222,
利润总额(万元),13535,8982,2812,16715,12923,8842,2591,15216,9537,14045,11573,
净利润(万元),11077,7370,2278,13714,10450,7168,1979,12090,7666,11318,9415,
净利润(扣除非经常性损益后)(万元),10320,6888,1999,12849,9844,6702,1696,11413,7309,10915,9215,
经营活动产生的现金流量净额(万元),2498,644,941,5128,519,877,584,7287,123,8321,8265,
现金及现金等价物净增加额(万元),1417,11598,38281,-358,-2177,445,-983,-1858,-5437,-2837,5129,
总资产(万元),158610,152766,144859,99593,95294,92167,--,81393,--,76247,54660,
流动资产(万元),120421,124884,120629,76340,74693,72324,--,61715,--,62309,45478,
总负债(万元),49454,47515,41870,37104,36010,36157,--,30064,--,34417,24146,
流动负债(万元),45978,46899,41227,36189,34818,34689,--,28055,--,33540,24070,
股东权益不含少数股东权益(万元),109242,105324,103071,62552,59298,56019,--,51330,--,41830,30513,
净资产收益率加权(%),11.02,7.55,3.58,24.17,19.04,13.35,3.78,26.31,17.44,31.29,35.88,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
