报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.07,0.01,0,0.11,0.09,0.01,0,-0.04,-0.17,-0.11,0.04,0.18,0.2,0.1,0.03,0.2,0.23,0.18,0.04,0.85,0.71,0.5,0.83,0.5,0.52,0,
每股净资产(元),3.16,1.26,1.25,2.66,2.57,2.55,2.55,2.55,2.43,2.48,5.33,5.29,5.36,5.2,5.15,5.12,5.15,5.09,11.09,11.01,3.35,3.13,2.63,0,1.62,0,
每股经营活动产生的现金流量净额(元),-0.13,-0.01,0.01,-0.45,0.01,-0.25,-0.22,-0.73,-0.6,-0.42,0.33,-0.14,-0.62,-0.41,-0.32,-0.13,0.17,0.17,-0.16,-0.53,-0.49,-0.15,0.38,0,0.38,0,
主营业务收入(万元),81057,11125,5036,49079,33905,20597,8732,62788,45664,32993,21831,68026,47623,27786,10692,47158,34362,24045,9246,37172,23396,15339,23085,13812,17264,11810,
主营业务利润(万元),7808,2486,847,6716,4789,3078,1439,6161,5007,3466,2326,9508,7249,3969,2007,6367,5350,3814,1523,7215,5247,3499,5092,3232,3395,2550,
营业利润(万元),3640,106,118,2730,1732,-186,30,-150,-3488,-2141,397,1483,2347,1216,604,2196,2695,1974,251,3210,2753,1925,2805,1615,1249,1109,
投资收益(万元),28,20,26,10279,7439,60,32,10059,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业外收支净额(万元),406,402,42,239,523,513,-1,395,398,205,177,1018,420,390,126,336,301,283,215,268,119,70,254,144,0,4,
利润总额(万元),4046,508,160,2969,2255,327,29,244,-3090,-1937,575,2500,2767,1606,729,2533,2996,2257,466,3478,2872,1995,3059,1759,1439,1113,
净利润(万元),2745,376,98,2152,1777,254,42,-905,-3469,-2333,370,1811,2032,1029,340,2047,2373,1781,369,3050,2437,1698,2609,1518,1391,1097,
净利润(扣除非经常性损益后)(万元),--,-642,--,-7759,--,-450,--,-8554,--,-2371,--,1166,--,875,--,1799,--,1589,--,2947,0,1702,2541,0,1376,1018,
经营活动产生的现金流量净额(万元),-6981,-257,250,-9168,294,-5079,-4528,-15000,-12302,-8576,3433,-1420,-6355,-4259,-3207,-1316,1736,1763,-731,-2417,-1682,-517,1308,-2525,1067,155,
现金及现金等价物净增加额(万元),-6663,-10870,-12345,2124,-9169,-9623,-6995,2833,2814,-1333,8760,-19208,-19656,-16035,-4317,-7022,-2644,-942,-1416,31866,-2316,-1662,2231,-1592,1865,-40,
总资产(万元),266896,75411,81209,96956,101478,97929,97966,109147,119470,112275,108750,90768,86536,80192,64113,59708,57568,57982,56857,55574,18422,16650,14933,0,8670,5792,
流动资产(万元),145193,40892,56404,71945,52375,48656,50352,62956,57113,50934,63804,48444,46940,45420,53486,49791,51212,53005,52782,52056,15484,14066,13472,--,7928,5498,
总负债(万元),91401,17764,28456,40640,47149,44234,43885,55105,67809,59514,52098,34524,29448,24745,10299,6335,5477,6484,5850,4936,7007,5971,5952,--,4128,3141,
流动负债(万元),87353,13216,23408,35091,30744,24984,22560,35523,40909,32014,24598,19524,19448,14745,10299,6335,5477,6484,5850,4936,6297,5171,5952,--,4128,3141,
股东权益不含少数股东权益(万元),168715,50943,50666,54275,52398,51878,52327,52272,49860,50914,54879,54499,55274,53599,52105,51765,52091,51499,51008,50638,11415,10679,8981,0,4542,2651,
净资产收益率加权(%),4.17,0.72,0.18,4.07,3.38,0.49,0.08,-1.7,-6.63,-4.38,0.68,3.41,3.82,1.96,0.65,4.01,4.62,3.48,0.73,17.83,0,17.27,38.15,0,40.08,52.21,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
