报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.49,0.86,0.48,1.28,0.38,0.45,-0.05,0.73,0.85,0.77,
每股净资产(元),4.78,9.45,--,5.63,--,4.79,--,4.78,4.05,3.2,
每股经营活动产生的现金流量净额(元),0.26,0.36,--,1.83,--,0.9,--,0.85,-0.65,0.25,
主营业务收入(万元),27859,19232,8538,30654,11799,10204,1039,17476,15376,14302,
主营业务利润(万元),10944,7489,3625,13138,5303,4565,470,7639,7932,7195,
营业利润(万元),5327,4285,2622,7487,2272,2666,-200,4229,4845,4616,
投资收益(万元),143,72,23,83,49,31,14,9,--,--,
营业外收支净额(万元),2550,1165,268,242,62,11,10,152,198,90,
利润总额(万元),7877,5450,2891,7728,2333,2677,-190,4381,5043,4706,
净利润(万元),6684,4623,2473,6551,1927,2271,-190,3746,4338,3928,
净利润(扣除非经常性损益后)(万元),--,4506,--,6275,--,2234,--,3610,4170,4030,
经营活动产生的现金流量净额(万元),3563,2468,6448,9355,3862,4587,1912,4358,-3294,1294,
现金及现金等价物净增加额(万元),14155,28948,-1236,6552,2918,3898,3604,-448,-3848,4372,
总资产(万元),143725,127240,88004,73571,--,57380,--,38191,26689,24655,
流动资产(万元),123253,107868,64395,56043,--,42214,--,25724,15853,15995,
总负债(万元),78776,62992,58809,44865,--,32955,--,13792,6037,8341,
流动负债(万元),78776,61158,55975,42032,--,29855,--,13792,6037,8341,
股东权益不含少数股东权益(万元),64949,64249,29195,28706,--,24425,--,24399,20652,16314,
净资产收益率加权(%),14.74,13.02,8.26,25.03,--,9.16,-1.13,16.63,23.47,32,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
