报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
基本每股收益(元),-0.06,-0.05,-0.03,0.07,0.03,0.03,-0.05,0.05,0.05,0.06,0.04,0.36,0.26,0.23,0.06,0.54,0.33,0.33,0.53,0.17,0.39,0.27,
每股净资产(元),3.76,3.77,3.81,3.82,3.07,3.07,2.99,3.04,3.03,3.06,6.13,6.09,5.98,5.95,5.89,5.83,5.7,2.42,2.09,--,1.56,3.87,
每股经营活动产生的现金流量净额(元),-0.38,-0.47,-0.29,0.09,-0.23,-0.25,-0.22,-0.01,-0.09,-0.12,0.02,-0.56,-0.41,-0.36,-0.3,-0.26,-0.31,-0.49,-0.1,-0.38,0.17,-0.85,
主营业务收入(万元),50258,32423,12189,48921,31826,24344,3050,38651,26231,18356,7447,27562,19068,13440,3983,21765,15222,10231,18047,6429,12033,7169,
主营业务利润(万元),12735,7926,3307,14441,8833,6560,1012,11767,8229,5696,2337,10195,6720,4918,1705,8769,6607,4683,7251,2579,5527,3399,
营业利润(万元),-1117,-708,-241,2709,737,734,-1212,1773,1700,1618,580,3143,2414,2003,485,3585,2895,2268,3608,1168,2693,1738,
投资收益(万元),-293,-191,-65,-173,-60,-53,-26,-58,-49,-27,-14,-23,-1,--,--,--,--,--,0,--,0,0,
营业外收支净额(万元),288,157,36,558,261,130,117,309,129,62,58,942,371,339,150,691,249,28,70,2,-3,-9,
利润总额(万元),-829,-552,-205,3267,998,863,-1095,2081,1829,1680,638,4086,2785,2342,635,4276,3144,2296,3678,1170,2690,1729,
净利润(万元),-975,-949,-452,1115,491,427,-789,743,808,985,324,2821,2019,1787,491,3639,2624,1920,3101,986,2225,1439,
净利润(扣除非经常性损益后)(万元),--,-1043,--,951,--,392,--,568,--,992,--,2223,--,1648,--,3050,--,1897,3042,985,2227,1381,
经营活动产生的现金流量净额(万元),-6712,-8285,-5159,1593,-3591,-3911,-3434,-87,-1447,-1850,188,-4386,-3252,-2826,-2331,-2051,-2419,-2871,-562,-2248,1014,-1341,
现金及现金等价物净增加额(万元),-9448,-11825,-9296,3715,-5067,-5170,-3358,-7026,-7923,-7947,-2177,-11454,-11005,-10420,-5752,25097,25227,-3141,1606,-1191,1709,1002,
总资产(万元),147480,144510,143366,143593,72814,71636,69521,69849,69459,69547,68277,57723,57787,56750,56286,55007,52490,23505,21642,--,16849,11301,
流动资产(万元),111100,107679,108217,109185,59135,57804,56129,56638,56806,57483,56394,49086,50360,50039,50097,51541,49413,20468,18561,--,13843,8395,
总负债(万元),64306,60948,59402,60835,20956,19902,18974,18374,18576,18332,17176,8634,9700,9072,8789,9327,7826,9270,9327,--,7795,5172,
流动负债(万元),63350,59874,58258,59618,20770,19846,18974,18374,18576,18330,17167,8627,9684,9072,8789,9327,5826,7270,7327,--,7795,5172,
股东权益不含少数股东权益(万元),66232,66286,66986,67301,48167,48103,46886,47676,47434,47917,48040,47716,46915,46683,46171,45679,44664,14235,12315,--,9054,6129,
净资产收益率加权(%),-1.19,-1.15,-0.67,2.31,1.03,0.89,-1.67,1.56,1.69,2.05,0.68,6.05,4.36,3.87,1.07,13.72,12.79,--,28.85,--,29.53,22.25,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
