报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.02,0.77,0.4,1.37,1.06,0.7,--,1.3,1.15,0.82,
每股净资产(元),--,--,--,5.15,--,--,--,3.78,3.76,2.61,
每股经营活动产生的现金流量净额(元),--,--,--,1.82,--,--,--,1.4,0.56,0.41,
主营业务收入(万元),45167,30866,16264,54992,41213,27791,11822,51621,43641,31749,
主营业务利润(万元),13088,8890,4628,16125,12413,8280,3282,14812,12755,9186,
营业利润(万元),9960,7081,3727,12322,9764,6503,2463,11542,9764,6845,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),421,20,2,128,9,6,6,283,745,-47,
利润总额(万元),10381,7101,3729,12450,9773,6509,2468,11824,10509,6798,
净利润(万元),8876,6031,3169,10738,8366,5532,2098,10189,9033,5831,
净利润(扣除非经常性损益后)(万元),8517,6014,--,10630,--,5527,--,9949,8400,5872,
经营活动产生的现金流量净额(万元),12837,6010,4640,14325,14054,7158,4854,11027,4412,3240,
现金及现金等价物净增加额(万元),71992,61963,-3091,5507,13156,4023,6002,8797,3916,3883,
总资产(万元),130120,119805,53629,58536,--,--,--,51028,44044,29981,
流动资产(万元),113421,104193,37910,43349,--,--,--,36559,26517,15129,
总负债(万元),34020,26550,19410,18047,--,--,--,21277,14492,9462,
流动负债(万元),33570,26100,19110,17947,--,--,--,21177,14492,9462,
股东权益不含少数股东权益(万元),96100,93255,34219,40489,--,--,--,29751,29552,20519,
净资产收益率加权(%),15.47,15.55,7.53,30.58,--,17.01,--,29.41,36.08,57.64,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
