报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.09,0.05,-0.01,0.12,0.06,0.07,0.03,0.19,0.08,0.07,0.03,0.16,0.05,0.06,0.03,0.24,0.17,0.11,0.02,0.28,0.18,0.15,0.01,0.03,0.04,0.05,0.04,-0.22,0,0.01,0.01,0.02,-0.07,-0.08,-0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.28,3.29,3.31,3.28,3.21,3.15,3.06,3.04,2.95,2.91,1.43,1.42,1.43,1.43,1.42,1.39,1.68,1.69,1.69,1.68,1.6,1.58,1.65,1.66,1.62,1.65,1.69,1.71,1.68,1.71,1.7,1.7,1.67,1.66,1.66,1.65,1.63,1.6,2.22,2.22,2.16,2.09,3.32,3.31,3.17,3.15,3.01,2.95,3.13,3.03,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.47,-0.49,-0.41,0.03,-0.45,-0.34,-0.27,0.04,-0.26,-0.2,-0.05,0,-0.08,-0.06,-0.03,-0.03,-0.08,-0.06,-0.14,-0.03,0,-0.02,0,0.15,0,--,--,0.04,0,0,0,0.2,0,0,0,-0.55,0,0,0,0.12,0,-0.25,--,0.2,-0.59,0.12,-0.07,-0.44,--,-0.04,--,--,--,
主营业务收入(万元),120086,81425,31142,151668,96231,66468,28667,132616,85981,54512,20326,130788,66574,42235,17546,124772,75549,47296,16221,100830,64398,42723,6093,26056,13482,8011,1853,16896,10748,6968,3176,20987,10764,6980,3092,19282,10762,6572,2675,19577,9674,6967,1539,17227,9719,6860,2358,19971,11837,6355,2131,20348,13652,8544,2982,17967,6017,10760,4316,9918,4263,11681,7995,2411,1263,
主营业务利润(万元),22499,14178,6096,28976,17004,11375,4917,23473,15116,9945,3862,21744,12473,8316,3634,22979,15849,9696,3739,24048,15583,11015,1987,5657,3462,1929,483,2545,2516,1458,-303,5611,2874,1649,--,5895,2780,2063,865,6107,2989,2232,650,7121,3738,2402,1030,6099,3828,2396,824,7485,5190,2868,973,6986,2136,3503,1284,3241,1487,4540,2952,--,--,
营业利润(万元),2677,1320,-348,2840,1051,1169,622,3340,1776,1594,458,3588,1346,1469,702,5850,4313,2418,348,7472,4781,4161,259,105,650,672,665,-5360,-204,66,307,-25,-1834,-2180,-519,-1011,-1982,-1230,-386,617,-372,112,0,1497,673,335,54,1637,999,460,-41,2856,1763,481,22,3153,371,1688,528,1581,931,3370,1566,--,--,
投资收益(万元),1150,1133,--,832,824,824,824,847,839,839,824,693,693,693,693,712,712,712,712,645,600,600,--,1112,1112,1112,1303,600,600,600,600,1316,166,166,166,322,98,88,--,-86,0,0,0,-236,-161,-2,-1,-2,-3,-2,-1,-2,-3,-2,-1,-4,0,0,0,0,0,0,0,--,--,
营业外收支净额(万元),814,539,310,2051,1237,1071,244,2679,836,549,318,1546,495,326,183,1701,564,465,170,1017,638,229,-0,696,375,346,141,333,--,149,4,--,--,133,--,-7,0,--,8,-42,0,0,0,59,6,0,0,226,173,0,56,215,118,67,0,212,100,268,0,344,0,0,0,--,--,
利润总额(万元),3491,1859,-38,4891,2288,2239,866,6019,2612,2143,776,5134,1841,1795,885,7550,4877,2883,518,8489,5419,4389,259,801,1024,1018,807,-5026,67,215,310,347,-1685,-2048,-386,-655,-1845,-1102,-357,956,-254,406,45,1430,627,341,53,1862,1174,572,14,3069,1882,550,77,3376,471,2038,776,2140,1128,3368,1574,--,--,
净利润(万元),2884,1564,-207,3155,1589,1693,741,4767,2088,1698,779,3931,1319,1397,788,5996,4234,2707,561,7026,4597,3763,222,704,991,998,806,-4891,70,217,306,351,-1513,-1857,-386,-976,-1819,-1101,-347,319,-347,223,57,936,458,230,52,1484,1060,454,76,2322,1429,321,74,2557,315,2012,672,1805,1006,2761,1327,608,232,
净利润(扣除非经常性损益后)(万元),2800,1489,-240,2119,1055,1227,733,2779,1743,1496,604,2043,--,1374,--,5281,--,2627,--,6175,--,2982,--,419,0,706,0,-5223,--,70,--,-51,0,-1857,--,-1103,0,-1183,--,138,0,-71,0,783,0,222,0,1246,0,341,0,2107,1306,249,--,2329,215,1744,539,376,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-9695,-9834,-12406,-26,-3991,-4697,-4968,-3590,-7524,-5875,-8714,-6630,-11816,-12158,-10213,812,-11309,-8544,-6667,1019,-6555,-4899,-1044,102,-1844,-1337,-684,-581,-1819,-1273,-3070,-672,78,-502,88,3366,-698,-731,-842,895,-2349,-3846,-3714,4333,543,1138,-1867,-12091,-12262,-6567,-5196,1837,0,-3940,--,2007,-5787,1150,-700,-4399,--,-427,--,--,--,
现金及现金等价物净增加额(万元),-32077,-24161,-24023,36230,507,2328,-769,-3199,-5787,-5805,-9370,-10220,-13492,-15451,-10858,1824,-9164,-5871,-6808,1340,-8554,-4506,-716,-1966,-2941,-1753,-1114,292,-2204,-2589,-2254,260,-2200,-2096,-1792,-234,-3606,-2099,--,-1538,-3979,-4462,-3967,-845,-4358,-3710,-3002,-817,-3028,-4825,-1438,-532,0,-5446,--,-1556,-6465,-719,-2704,-7456,--,17937,--,--,--,
总资产(万元),217831,211606,212730,212742,177329,172692,168922,162159,147705,143142,134359,135438,120806,117264,115008,116213,121151,115545,110296,106497,100736,102940,44470,43791,42257,41463,40867,43415,49498,48114,52081,56608,59977,66943,67960,68568,67614,71303,74048,69309,67638,69955,66896,67117,64348,65979,68366,69688,67322,57956,56768,55630,58647,56066,55973,55935,51091,42255,38582,38299,34516,37825,12016,--,--,
