报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.13,0.11,0.03,0.6,0.32,0.17,0.16,0.99,0.61,0.36,0.12,0.83,0.52,0.28,0.67,0.16,0.48,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,7.81,--,7.87,7.76,7.46,8.68,3.16,2.65,2.57,1.26,4.31,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.02,--,-0.15,--,-0.07,-0.16,0.97,0.18,0.52,0.24,3.35,
主营业务收入(万元),106645,72537,38511,158406,100182,61963,29715,102791,65686,41259,18698,70802,45618,29163,49726,21117,33166,19032,14223,
主营业务利润(万元),57220,36160,19502,88285,57641,35448,15729,56958,33607,20790,8740,40810,26147,15701,27314,10584,17233,8143,5193,
营业利润(万元),26457,14201,6918,45829,31574,16142,6577,30232,16985,10159,3212,21186,13366,6812,12196,3026,7908,2979,1959,
投资收益(万元),10960,6147,2374,9370,7816,3056,1678,927,54,54,--,--,--,--,17,17,--,--,--,
营业外收支净额(万元),589,259,207,3392,675,722,87,271,274,365,9,1259,363,189,1956,-0,-23,-37,-14,
利润总额(万元),27045,14460,7125,49221,32248,16864,6665,30503,17259,10524,3221,22444,13729,7002,14153,3026,7885,2942,1945,
净利润(万元),14764,5828,1775,33022,17963,9621,4505,27287,16921,10048,3438,21031,12833,6491,13948,3225,8165,2265,1447,
净利润(扣除非经常性损益后)(万元),10241,4353,1657,26409,17615,9174,4439,27173,16836,9686,--,19893,--,6438,11985,3218,8188,1775,973,
经营活动产生的现金流量净额(万元),8950,1736,-8327,36518,29145,6120,1579,25673,547,813,-4271,9283,-1669,-3585,20078,3811,10855,2422,3347,
现金及现金等价物净增加额(万元),-38590,-2258,-16507,-32285,-101209,-90419,-68385,65180,-7395,59831,-6433,50624,125072,123382,17047,2363,41582,5181,1734,
总资产(万元),342925,351593,356551,351555,315690,278950,284761,278809,246012,251073,246095,244484,227585,220276,86845,71044,65087,17034,10200,
流动资产(万元),227372,239522,243276,247047,241485,205901,233407,226790,226673,234245,233361,233617,217776,210554,78629,63569,57843,11955,5924,
总负债(万元),44688,56714,51368,53802,59406,36880,36727,35311,24668,36719,24327,25789,17361,16988,18188,13574,10017,3791,5886,
流动负债(万元),43054,55071,49716,52141,57856,35330,35227,35210,24668,36699,24275,25757,17361,16988,18188,13574,10017,3791,5886,
股东权益不含少数股东权益(万元),258745,249490,255102,253548,232029,224574,233566,229714,215886,208962,217675,214380,206243,199845,65559,54875,53280,12554,4314,
净资产收益率加权(%),5.73,1.92,0.7,13.8,7.67,4.1,2.08,12.31,7.77,4.58,1.59,13.08,17.91,10.02,23.62,5.9,41.14,41.58,40.95,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
