报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
基本每股收益(元),0.14,0.13,0.08,0.36,0.24,0.18,0.1,0.29,0.13,0.11,0.05,0.1,0.1,0.08,0.07,0.54,0.63,0.55,0.33,1.2,0.29,0.82,0.58,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,5.28,5.27,6.92,6.84,6.9,6.79,4.34,3.8,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.18,-0.19,-0.17,-0.6,-0.53,-0.67,0.11,0.94,0.43,2.07,1.26,
主营业务收入(万元),118970,81302,40113,132229,96454,63805,29387,128319,91426,59880,24938,102068,74144,50056,24346,100174,74056,49023,22106,86762,18926,60841,53431,
主营业务利润(万元),26432,19071,8301,32981,22917,15405,6639,29900,19556,13157,5560,24255,16893,11311,5812,26539,19891,14030,6491,26696,5921,19587,16659,
营业利润(万元),6811,6066,1826,8842,5866,4219,1382,3812,1806,1387,819,1762,1256,1058,734,4874,5605,5159,2582,9629,2358,6777,5085,
投资收益(万元),-49,--,--,42,42,42,42,60,3,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
营业外收支净额(万元),540,350,99,328,215,200,11,365,184,36,-14,501,325,144,71,356,404,150,163,268,107,23,-175,
利润总额(万元),7352,6415,1925,9170,6081,4419,1393,4177,1989,1424,805,2264,1581,1203,805,5230,6009,5309,2746,9897,2466,6801,4910,
净利润(万元),5960,5162,1607,7483,4873,3811,1214,3565,1592,1314,654,1181,1156,952,697,4376,4935,3877,2271,8375,2029,5751,4030,
净利润(扣除非经常性损益后)(万元),5389,4798,1493,7020,4568,3543,1131,3050,1400,1219,641,749,--,800,--,4008,--,3764,0,8154,0,5733,4179,
经营活动产生的现金流量净额(万元),8397,7206,3496,8431,8066,6553,53,2870,187,2536,-613,7174,2131,-2297,-1590,-5600,-4977,-6290,803,6565,3044,14498,8795,
现金及现金等价物净增加额(万元),2749,1642,541,-2043,-2448,-679,-2944,-8218,-14479,-9831,-4737,-8557,-9416,-9507,-3485,25857,20559,38986,2094,2373,-2484,651,5173,
总资产(万元),193454,189423,188173,183553,176415,176556,187475,182463,171453,168598,167035,161506,158584,156140,160122,162466,152849,170602,119346,99724,69867,66238,51736,
流动资产(万元),123477,120115,117901,112635,108463,106567,116340,112852,108396,107108,104368,99451,100216,98258,101327,103779,101202,119079,71390,60438,42576,40892,33070,
总负债(万元),112389,108971,109964,106968,102440,103635,116419,112630,103516,100928,100116,95282,92431,90086,93370,96396,86213,105024,86799,71007,47607,47666,38653,
流动负债(万元),109120,105631,106555,103535,98999,100236,113157,109390,98379,95283,93657,88186,84837,81871,84728,87083,75261,95514,85624,69625,42607,42666,38653,
股东权益不含少数股东权益(万元),78101,77303,75398,73791,71228,70166,68296,67083,65109,64831,64778,64124,64100,63895,64574,63877,64435,63377,30373,26585,20251,18274,13084,
净资产收益率加权(%),7.84,6.78,2.13,10.64,7.05,5.56,1.72,5.43,2.47,2.04,1.01,1.85,1.81,1.44,1.09,9.68,14.24,13.59,0,37.36,0,36.14,36.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
