报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.08,0.08,0.04,0.11,0.06,0.07,0.02,0.12,0.08,0.12,0.11,0.1,0.08,0.09,
每股净资产(元),--,--,--,--,--,1.74,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.35,--,0.68,--,0.42,0.2,0.54,0.27,0.18,
主营业务收入(万元),103581,75005,35265,118331,81342,59050,27521,108299,74007,100750,56648,92259,65775,40226,
主营业务利润(万元),51884,41250,19088,60841,40132,31980,13825,58849,38927,54479,34616,51816,38800,25012,
营业利润(万元),16107,17119,7602,17470,8631,11386,3327,22030,13449,15243,14845,20782,16595,10266,
投资收益(万元),-119,-119,-127,0,40,20,20,53,10,72,-2,47,0,-2,
营业外收支净额(万元),5326,3744,1785,7607,4407,3153,1394,5988,4393,7003,2773,5305,3922,2608,
利润总额(万元),21433,20863,9387,25078,13038,14539,4721,28017,17842,22246,17618,26088,20517,12875,
净利润(万元),14561,14826,6373,18204,9189,10477,3109,19512,11921,19214,17105,16114,13074,9056,
净利润(扣除非经常性损益后)(万元),12725,13588,5915,15150,7364,9177,2689,17489,10641,12046,11508,14479,11853,8634,
经营活动产生的现金流量净额(万元),108142,76857,33390,112004,83257,55901,13928,108858,78923,67196,32287,85668,43932,28281,
现金及现金等价物净增加额(万元),5572,13375,45637,13378,48506,19048,-13221,-19676,-22664,-17702,-8907,62102,-13272,-26490,
总资产(万元),1440302,1426337,1351676,1312350,1314906,1291457,--,1215509,--,1074817,1059335,1049139,920139,776728,
流动资产(万元),157536,164162,188666,137127,162910,140372,--,119596,--,147108,149204,135014,68086,59634,
总负债(万元),1052300,1038668,962294,931187,944760,952658,--,875820,--,744975,733614,738681,629497,502926,
流动负债(万元),273134,288790,234144,257053,257814,269025,--,240974,--,150958,156931,192013,154300,98271,
股东权益不含少数股东权益(万元),325635,325900,325642,319269,310254,278686,--,276993,--,266128,264019,246914,230800,217726,
净资产收益率加权(%),4.51,4.56,1.98,6.31,3.32,3.75,1.12,7.22,4.46,7.49,6.7,6.75,5.83,7.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
