报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.21,0.13,0.09,0.51,0.35,0.2,0.09,0.6,0.51,0.34,0.34,2.15,1.87,1.45,4.72,4.22,1.49,0.18,0.26,
每股净资产(元),7.37,7.3,11.75,11.66,11.51,11.36,11.45,11.36,11.26,11.09,22.2,21.87,22.58,8.81,7.36,6.87,2.65,1.16,0.98,
每股经营活动产生的现金流量净额(元),0.18,0.05,0.12,0.44,0.04,0.01,-0.02,0.15,0.06,0.06,0.01,-0.17,-0.49,-0.86,3.14,3.04,2.18,0.06,0.24,
主营业务收入(万元),9223,6100,2923,14988,10944,6918,2647,13508,10249,6740,3276,17731,15179,11240,32287,27593,11792,2870,2949,
主营业务利润(万元),4029,2611,1141,6902,4638,2652,970,7548,5833,3951,1914,11028,9513,7176,25162,21740,8769,1817,1588,
营业利润(万元),3144,2295,907,5284,3811,2248,978,6834,5938,3965,1938,9850,8549,6319,20663,18579,6523,772,717,
投资收益(万元),-21,-14,-9,-39,-29,-13,-10,-30,-28,-16,-11,-21,-13,-0,-21,-18,-18,-24,33,
营业外收支净额(万元),749,208,167,608,402,130,68,273,87,62,60,694,365,120,209,168,45,19,474,
利润总额(万元),3893,2503,1075,5892,4213,2378,1046,7106,6025,4027,1998,10544,8914,6439,20872,18747,6567,791,1191,
净利润(万元),3334,2138,903,5094,3567,2013,885,6059,5121,3423,1698,9019,7577,5473,17774,15926,5612,687,994,
净利润(扣除非经常性损益后)(万元),--,1961,--,4580,--,1902,--,5832,--,3370,--,8430,--,5353,17592,15778,5574,671,565,
经营活动产生的现金流量净额(万元),2853,730,1222,4472,400,110,-231,1472,623,580,50,-865,-2461,-3252,11831,11453,8201,216,890,
现金及现金等价物净增加额(万元),7860,5494,-78,21918,17917,222,-1459,-15053,-3547,-2744,-920,12702,75097,-4224,7347,7305,6012,-219,-205,
总资产(万元),131630,130768,126657,126525,121610,120228,120968,120576,117174,115633,115293,114272,117343,36910,36455,35250,16532,6072,5182,
流动资产(万元),105293,104668,104884,105775,104351,104416,105039,104403,102579,40689,42500,42067,106010,26317,26339,26774,11388,2856,2234,
总负债(万元),10637,10928,8505,9278,5890,6061,5882,6411,3947,4104,3679,4356,3843,3680,8698,9342,6550,1702,1499,
流动负债(万元),6578,7044,4539,5283,2743,2570,2327,2977,2359,2484,2127,2767,3017,2866,7884,8620,6520,1702,1486,
股东权益不含少数股东权益(万元),118611,117415,118151,117248,115720,114166,115086,114164,113227,111529,111614,109916,113500,33229,27756,25908,9982,4370,3683,
净资产收益率加权(%),2.82,1.81,0.77,4.41,3.09,1.75,0.77,5.41,4.59,3.07,1.53,15.69,15.49,17.95,94.2,88.75,78.2,17.06,31.43,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
