报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.11,0.15,0.06,0.21,0.17,0.27,0.11,0.39,0.33,0.52,0.22,1.04,0.66,0.68,1.14,1.01,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,8.22,4.84,4.16,3.28,1.04,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.82,0.43,1.68,0.67,1.75,
主营业务收入(万元),407585,264436,132095,476421,359715,238008,121396,443704,332373,218166,111749,390515,292274,192771,344796,276472,248588,
主营业务利润(万元),106731,68894,32776,120803,92628,61737,30629,114507,85592,57368,27157,99051,72080,48422,82299,64015,56737,
营业利润(万元),17953,13675,5626,18842,16303,12288,5031,17031,15260,12073,4901,18668,14691,11371,18486,16740,12986,
投资收益(万元),1811,1235,--,5241,2575,2575,--,1056,124,95,--,84,--,--,--,--,16,
营业外收支净额(万元),315,270,59,1279,234,260,336,1434,374,60,260,1745,752,579,1621,987,1211,
利润总额(万元),18267,13945,5685,20122,16537,12548,5368,18465,15634,12134,5161,20413,15444,11950,20108,17727,14196,
净利润(万元),15482,11758,4783,17027,13993,10623,4547,15702,13281,10309,4384,17349,13146,10146,17061,15076,12070,
净利润(扣除非经常性损益后)(万元),13675,10478,4733,11468,11591,8205,4261,13586,12858,10177,4163,15795,--,9654,15730,14237,10968,
经营活动产生的现金流量净额(万元),-18567,6984,6816,27904,17551,12299,7651,27891,17683,15037,2482,18886,16491,6487,25173,10055,26286,
现金及现金等价物净增加额(万元),-82164,-74264,-72766,93256,-2520,10804,5437,-75029,-16979,-15673,-9125,95814,94574,3491,5589,4510,5245,
总资产(万元),361629,348812,322186,308855,299551,290760,291425,286135,283250,273839,268217,265143,258809,155919,154520,116394,80897,
流动资产(万元),260507,247386,240785,230495,125597,131713,136999,133726,196151,187810,192425,200466,198504,99279,101213,75137,50533,
总负债(万元),160534,147323,126376,117818,111635,104054,108715,107971,107507,99209,95172,96482,94351,83368,92114,67150,65280,
流动负债(万元),160534,147323,126376,117818,111635,104054,108715,107971,107507,99209,95172,96482,94351,83368,92114,67150,65280,
股东权益不含少数股东权益(万元),201095,201428,195734,190950,187917,186706,182711,178164,175742,174630,173045,168661,164458,72551,62406,49244,15617,
净资产收益率加权(%),7.82,5.99,2.47,9.22,7.59,5.82,2.52,9.07,7.68,5.93,2.57,17.23,19.06,15.04,31.48,40.76,93.69,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
