报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.21,0.11,0.15,0.54,0.44,0.32,0.24,0.71,0.57,0.38,0.29,0.65,0.35,0.72,0.67,0.69,
每股净资产(元),--,--,--,--,--,--,--,5.49,--,--,--,--,4.68,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.13,--,--,--,-0.31,-0.44,1.33,1.05,-0.51,
主营业务收入(万元),303907,184655,86680,354651,258188,169508,76031,315833,218127,137655,63694,253997,105223,216713,203594,147836,
主营业务利润(万元),24025,13668,7963,29841,22805,15034,8845,26651,19343,12550,7696,22433,10784,23216,21557,15680,
营业利润(万元),9491,5031,3532,10255,8234,5553,4190,11451,9454,6193,4893,10742,5736,11888,10991,8026,
投资收益(万元),432,298,154,109,--,--,--,--,--,--,--,974,532,329,53,--,
营业外收支净额(万元),1077,630,264,994,498,158,56,839,460,346,128,646,258,358,910,1104,
利润总额(万元),10568,5660,3795,11249,8732,5711,4246,12290,9914,6539,5022,11388,5994,12247,11902,9130,
净利润(万元),9283,4946,3297,10236,7938,5195,3926,11625,9398,6155,4802,10669,5718,11727,10752,8479,
净利润(扣除非经常性损益后)(万元),7981,4137,2927,9245,7436,5040,3855,10831,--,5815,4674,9389,4957,11082,10005,7552,
经营活动产生的现金流量净额(万元),9862,665,2147,4490,-1521,-1662,460,2138,-2799,-4572,2266,-5082,-7194,21714,17264,-7634,
现金及现金等价物净增加额(万元),12281,4347,6733,23372,22311,46449,-3203,-5597,-10757,-11655,-2806,1543,-8068,-8681,13842,3408,
总资产(万元),190755,181668,180087,174008,168710,178658,126757,123705,--,--,--,103080,99554,97495,91289,72465,
流动资产(万元),128487,119946,118672,112001,109316,120062,68958,65942,--,--,--,56326,60093,56676,57450,40743,
总负债(万元),31407,27871,25260,22541,19566,33827,33120,30382,--,--,--,18118,19615,15317,20744,19871,
流动负债(万元),29814,26174,23565,20796,18191,32403,31628,28860,--,--,--,15717,15457,10906,16128,15671,
股东权益不含少数股东权益(万元),152361,148023,149648,146351,144053,141253,90191,89865,--,--,--,81513,76562,79026,67299,49888,
净资产收益率加权(%),6.22,3.35,2.23,8.73,7.34,5.73,4.26,13.7,--,7.42,--,13.41,7.1,16.03,17.87,27.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
