报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.65,0.63,0.6,0.77,0.56,0.55,0.52,0.66,0.38,0.39,0.41,0.52,0.3,0.31,0.29,0.39,0.21,0.22,0.2,0.27,0.18,0.18,0.16,0.22,0.11,0.15,0.14,0.07,0.02,0.03,0.03,0.07,0.01,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.03,--,3.39,3.4,3.39,3.1,2.91,2.93,2.91,2.71,2.61,2.62,2.6,2.44,2.33,2.37,2.36,2.22,2.18,2.18,2.2,2.16,2.11,2.12,2.11,2.32,2.32,2.33,2.33,2.31,2.47,2.48,2.45,2.42,2.16,2.18,2.16,2.13,2.05,2.05,2.25,2.23,2.02,1.94,1.93,1.91,1.83,1.85,2.37,3,2.95,2.93,1.04,1.39,1,1,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.19,--,-0.24,-0.65,-0.17,1.33,-0.29,-0.74,-0.42,1.35,0.13,-0.31,-0.3,1.48,0.43,-0.15,-0.11,0.71,-0.15,-0.27,-0.2,0.67,0.18,-0.04,0.07,0.54,0,0,0,0.73,0,0,0,0.85,0,0,0,0.37,0,0,0,0.37,0,0.02,0,-0.42,--,-0.73,-0.11,0.02,0.11,--,--,--,--,--,
主营业务收入(万元),43595,39017,34459,66149,37739,33782,29853,58201,31330,28277,25306,49375,26887,24197,21536,40619,21640,19508,17538,30833,16976,15227,13511,25246,14008,12581,11233,19789,10349,9178,7990,15766,7495,7199,6285,13989,6885,6079,4955,10029,6045,5467,4604,33251,5612,4639,3865,10322,3810,3061,1994,15999,10088,2136,1138,11138,2667,1924,28812,18481,40943,21110,37736,29978,21409,12706,
主营业务利润(万元),19808,18574,17380,23012,17526,16247,15189,19257,12889,12536,12057,15040,10038,10043,9060,13275,8514,8320,7582,8894,6368,6113,5188,7371,4633,4979,4480,3753,1853,1715,1380,3323,1722,1828,--,3140,2151,1998,1124,1529,2256,1972,1382,9300,2451,2010,1675,4025,1939,1562,966,7606,3115,1097,536,1934,-628,-537,3527,3710,9294,4640,9788,7634,4198,1787,
营业利润(万元),18064,17663,17006,20359,16352,15211,14622,17079,11662,11647,11619,13485,8686,8913,8581,11412,7203,7468,7072,7250,5006,5073,4621,5972,3382,4176,3993,2130,591,841,930,271,526,889,778,178,537,659,408,-1304,700,816,685,5332,-36,259,810,1481,61,423,399,5883,1800,393,222,213,-2039,-1600,-3200,1437,4460,2738,5212,2610,1721,595,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-72,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,86,96,96,50,14,0,0,0,790,790,790,-43,180,225,-195,-87,-33,55,77,47,-20,313,215,156,46,-49,-39,-45,2,11,0,
营业外收支净额(万元),286,43,24,1297,-558,113,23,1322,-583,-463,21,1275,-237,-253,-267,-429,-1256,-1279,-1296,286,90,45,22,155,18,29,3,-69,--,--,--,--,--,--,--,-370,0,0,0,-39,0,0,0,-42,0,0,0,173,0,0,0,153,115,76,0,26,0,0,171,0,179,0,--,--,--,--,
利润总额(万元),18351,17706,17031,21656,15795,15324,14646,18401,11079,11184,11640,14760,8449,8660,8314,10984,5947,6189,5776,7536,5096,5117,4643,6127,3401,4206,3996,2061,591,840,932,2341,522,885,775,407,267,381,458,-1280,748,866,684,6081,721,1014,725,1834,393,307,350,6088,2020,546,307,220,-1606,-1280,-2874,1561,5231,3183,5257,2624,1770,591,
净利润(万元),13713,13254,12747,16279,11845,11530,10984,13868,8084,8263,8688,11014,6238,6449,6202,8220,4362,4605,4299,5649,3697,3723,3454,4607,2279,3093,2976,1487,340,591,683,1542,234,450,491,133,255,378,454,-1317,520,591,469,5627,728,1021,729,1751,392,303,352,6073,2020,546,307,220,-1606,-1280,-3442,930,3541,2019,3291,1446,1084,237,
